dailyViewcount,numShare,numSubscriber,watchTime,date
42738,907,4,198275.683333,2016-11-08
35779,683,5,175021.466667,2016-11-09
60832,1105,6,283880.766667,2016-11-10
77187,1115,7,343323.4,2016-11-11
77506,983,2,325663.116667,2016-11-12
70153,833,5,291827.933333,2016-11-13
81105,947,8,349685.8,2016-11-14
86392,959,10,366064.866667,2016-11-15
90813,1076,9,377694.183333,2016-11-16
102001,1144,17,421235.6,2016-11-17
75366,679,7,318347.966667,2016-11-18
94124,948,11,365166.116667,2016-11-19
85151,906,11,329749.116667,2016-11-20
105132,1160,17,415207.05,2016-11-21
111940,1127,17,445129.033333,2016-11-22
126075,1083,10,486474.516667,2016-11-23
132814,979,9,496116.35,2016-11-24
113920,920,10,432586.2,2016-11-25
114047,860,10,431693.75,2016-11-26
103000,883,15,389759.816667,2016-11-27
112601,912,16,431185.55,2016-11-28
122273,898,10,468455.566667,2016-11-29
123887,1046,12,469917.75,2016-11-30
128844,1045,19,484493.266667,2016-12-01
139922,948,16,522077.216667,2016-12-02
138619,922,12,502695.95,2016-12-03
114668,839,5,413208.116667,2016-12-04
127444,975,14,463319.683333,2016-12-05
126577,1033,23,455964.966667,2016-12-06
122936,981,9,447167.983333,2016-12-07
116645,865,12,424656.883333,2016-12-08
126240,815,13,463766.433333,2016-12-09
119730,765,13,430098.483333,2016-12-10
98781,789,10,346467.516667,2016-12-11
106316,753,10,385127.9,2016-12-12
100950,699,11,375568.183333,2016-12-13
106654,748,7,390621.916667,2016-12-14
108792,707,12,395301.783333,2016-12-15
122007,707,10,441723.716667,2016-12-16
121056,688,6,428428.35,2016-12-17
103217,613,8,364944.95,2016-12-18
105966,731,8,381666.9,2016-12-19
108361,642,5,391475.883333,2016-12-20
111832,685,7,399714.616667,2016-12-21
117635,711,8,422453.033333,2016-12-22
129384,711,5,460187.6,2016-12-23
130618,827,9,459462.183333,2016-12-24
139712,865,7,480676.2,2016-12-25
114440,760,6,398748.933333,2016-12-26
114658,667,7,403823.75,2016-12-27
120003,678,6,426060.216667,2016-12-28
142900,1225,9,512235.433333,2016-12-29
154714,1163,15,554902.683333,2016-12-30
190037,1140,15,677819.066667,2016-12-31
138686,939,6,476157.233333,2017-01-01
135441,1007,6,470189.866667,2017-01-02
135078,976,8,481024.383333,2017-01-03
131835,857,18,469738.9,2017-01-04
