dailyViewcount,numShare,numSubscriber,watchTime,date
15308,277,15,43341.4833333,2016-05-04
25290,288,23,72683.3833333,2016-05-05
17097,216,14,49902.0166667,2016-05-06
24865,241,13,67136.7666667,2016-05-07
36643,414,16,97680.4,2016-05-08
35458,438,18,92896.8833333,2016-05-09
35503,389,16,92898.9166667,2016-05-10
34077,306,7,89617.2666667,2016-05-11
28128,290,12,75822.3833333,2016-05-12
29087,298,8,79806.6666667,2016-05-13
29913,267,4,80853.35,2016-05-14
26980,257,5,72351.7666667,2016-05-15
25291,313,4,68270.1166667,2016-05-16
22178,238,8,62660.5333333,2016-05-17
23589,194,8,63241.75,2016-05-18
25608,228,5,69494.2666667,2016-05-19
30961,251,4,84482.1166667,2016-05-20
30858,479,7,84277.9,2016-05-21
25950,238,2,70100.15,2016-05-22
22629,248,5,62280.0,2016-05-23
24264,259,9,66345.55,2016-05-24
25058,220,6,68749.5833333,2016-05-25
26890,246,7,72679.1,2016-05-26
28502,264,5,78055.0666667,2016-05-27
27996,265,4,78539.9666667,2016-05-28
27158,269,2,73374.4833333,2016-05-29
25780,237,5,69333.3,2016-05-30
23730,240,6,64642.7,2016-05-31
24414,298,4,67126.4,2016-06-01
24409,253,6,66164.6333333,2016-06-02
29596,270,4,79554.7,2016-06-03
30409,263,3,81593.9833333,2016-06-04
27012,277,5,70679.0166667,2016-06-05
27606,333,4,73178.6,2016-06-06
27675,314,8,73089.6333333,2016-06-07
26961,294,5,71522.8,2016-06-08
26949,260,3,72272.9,2016-06-09
27961,286,4,76185.9166667,2016-06-10
28361,268,6,77427.6833333,2016-06-11
23758,242,6,64280.6166667,2016-06-12
22299,266,2,60381.7333333,2016-06-13
22894,272,2,61710.6666667,2016-06-14
21727,255,1,58610.7,2016-06-15
20489,242,4,54903.0,2016-06-16
23666,258,0,65101.3833333,2016-06-17
24758,219,3,67930.3333333,2016-06-18
21345,231,1,57141.0833333,2016-06-19
19830,204,1,53804.6833333,2016-06-20
21124,270,2,57224.1,2016-06-21
21217,234,3,57198.2,2016-06-22
21344,271,10,56840.5,2016-06-23
25719,301,5,68683.85,2016-06-24
28364,279,2,75565.15,2016-06-25
21799,239,3,58076.6,2016-06-26
22781,250,4,59244.8666667,2016-06-27
23886,241,6,61514.4,2016-06-28
23731,308,7,62336.0833333,2016-06-29
25034,267,0,64857.5833333,2016-06-30
25334,255,7,67657.4833333,2016-07-01
25893,258,5,69211.45,2016-07-02
25114,293,4,66829.6666667,2016-07-03
25387,214,1,67452.0666667,2016-07-04
20378,254,2,52641.7833333,2016-07-05
21633,252,1,56646.9,2016-07-06
20925,238,6,54891.0666667,2016-07-07
