dailyViewcount,numShare,numSubscriber,watchTime,date
1978243,33146,1168,4497681.0,2017-04-14
1490528,13821,589,3274693.18333,2017-04-15
1135974,10761,411,2448258.9,2017-04-16
1048334,10070,486,2292437.96667,2017-04-17
916223,8500,411,2070567.15,2017-04-18
868255,7462,397,1997797.36667,2017-04-19
869353,7240,369,2062562.75,2017-04-20
750611,6053,278,1823407.73333,2017-04-21
726963,5405,221,1775398.36667,2017-04-22
610260,4816,196,1500906.51667,2017-04-23
594505,4599,178,1505403.98333,2017-04-24
624987,4578,190,1575844.85,2017-04-25
589306,4527,168,1507001.06667,2017-04-26
592450,4854,181,1524222.4,2017-04-27
695907,5063,212,1794988.05,2017-04-28
894755,4771,256,2305325.78333,2017-04-29
752544,4125,231,1944131.58333,2017-04-30
768206,4413,237,2016994.71667,2017-05-01
830128,4615,293,2152717.53333,2017-05-02
729430,4196,238,1943398.58333,2017-05-03
686577,4226,208,1871275.7,2017-05-04
784559,4182,172,2143643.66667,2017-05-05
810556,3631,188,2181520.03333,2017-05-06
648861,3584,156,1753382.3,2017-05-07
647061,3647,159,1796069.51667,2017-05-08
643874,3572,134,1794503.35,2017-05-09
626850,3609,122,1756904.26667,2017-05-10
566470,3312,142,1584103.81667,2017-05-11
661475,3564,186,1829751.05,2017-05-12
654808,3020,117,1797380.55,2017-05-13
601144,3247,125,1606462.0,2017-05-14
527057,2953,153,1469364.43333,2017-05-15
541771,3081,123,1525300.38333,2017-05-16
531953,3098,138,1493108.36667,2017-05-17
545157,3209,136,1531276.2,2017-05-18
569904,3091,120,1621775.25,2017-05-19
562790,2938,95,1575094.61667,2017-05-20
469845,2851,96,1305221.43333,2017-05-21
481761,2856,114,1359998.3,2017-05-22
