dailyViewcount,numShare,numSubscriber,watchTime,date
749,1,0,883.266666667,2017-05-07
724,0,0,720.8,2017-05-08
882,0,0,809.083333333,2017-05-09
1295,0,0,1288.23333333,2017-05-10
857,1,0,869.5,2017-05-11
819,0,0,754.983333333,2017-05-12
705,0,0,663.933333333,2017-05-13
486,0,0,457.283333333,2017-05-14
550,0,0,553.633333333,2017-05-15
609,0,0,719.7,2017-05-16
615,0,0,697.883333333,2017-05-17
484,0,0,546.483333333,2017-05-18
555,1,0,598.366666667,2017-05-19
629,0,0,698.733333333,2017-05-20
819,0,0,886.35,2017-05-21
1397,1,0,1471.2,2017-05-22
