dailyViewcount,numShare,numSubscriber,watchTime,date
270812,3452,342,777819.383333,2015-06-19
460641,2691,352,1131446.1,2015-06-20
453402,2564,235,1022830.26667,2015-06-21
372063,2335,217,861829.966667,2015-06-22
302989,2011,153,688147.183333,2015-06-23
296533,2041,158,684916.65,2015-06-24
192178,1416,119,549997.95,2015-06-25
221154,1308,108,551432.966667,2015-06-26
109751,761,57,347596.4,2015-06-27
118824,1213,70,373403.816667,2015-06-28
153003,1285,97,490507.683333,2015-06-29
142960,1114,91,461003.2,2015-06-30
131305,931,89,426809.733333,2015-07-01
128924,947,75,427177.266667,2015-07-02
117661,781,58,381326.366667,2015-07-03
97176,572,46,311446.233333,2015-07-04
98944,753,48,317955.433333,2015-07-05
111419,853,50,370379.1,2015-07-06
117430,874,59,397824.75,2015-07-07
135802,876,62,449175.283333,2015-07-08
136346,782,76,447223.983333,2015-07-09
118325,849,56,397033.333333,2015-07-10
105736,725,46,353767.683333,2015-07-11
102139,774,52,341491.233333,2015-07-12
103116,779,47,355872.1,2015-07-13
101903,703,51,357724.983333,2015-07-14
101917,849,55,356230.383333,2015-07-15
96813,761,37,340108.35,2015-07-16
92411,729,46,324523.583333,2015-07-17
80613,627,32,282334.633333,2015-07-18
73583,633,27,258102.6,2015-07-19
83655,647,35,295621.8,2015-07-20
88108,669,33,314518.05,2015-07-21
86753,709,42,310123.833333,2015-07-22
87134,727,25,307537.75,2015-07-23
90877,669,39,311320.233333,2015-07-24
87403,624,44,294512.0,2015-07-25
85130,582,41,283691.183333,2015-07-26
94138,687,35,318935.433333,2015-07-27
94121,690,44,324186.55,2015-07-28
88742,632,34,305184.616667,2015-07-29
89871,646,31,310956.183333,2015-07-30
88960,602,40,304555.433333,2015-07-31
86607,614,36,290768.416667,2015-08-01
83493,606,43,282162.433333,2015-08-02
87772,601,32,304938.966667,2015-08-03
88465,719,45,305924.5,2015-08-04
93117,949,41,325386.533333,2015-08-05
99822,1000,44,347588.783333,2015-08-06
96425,671,38,332413.416667,2015-08-07
91757,604,45,308934.9,2015-08-08
87653,666,40,295116.533333,2015-08-09
93111,711,45,324079.483333,2015-08-10
91006,625,35,317297.7,2015-08-11
87333,732,41,305563.883333,2015-08-12
87987,731,33,311538.85,2015-08-13
89862,695,38,313997.083333,2015-08-14
86683,695,30,298648.433333,2015-08-15
82067,691,32,284167.5,2015-08-16
87277,718,28,306790.616667,2015-08-17
89709,710,29,319423.983333,2015-08-18
90235,777,40,318994.25,2015-08-19
89137,763,26,317744.083333,2015-08-20
93228,768,49,325744.166667,2015-08-21
93931,734,37,323050.2,2015-08-22
91637,706,39,315270.116667,2015-08-23
84837,737,37,302576.083333,2015-08-24
85106,799,41,304585.666667,2015-08-25
85842,775,26,305703.95,2015-08-26
87921,774,27,316800.466667,2015-08-27
89524,704,32,315453.333333,2015-08-28
92928,709,33,320595.566667,2015-08-29
153890,1484,107,507382.333333,2015-08-30
182129,1565,167,567469.716667,2015-08-31
140231,1170,93,497414.25,2015-09-01
126194,1021,81,453258.916667,2015-09-02
116629,969,73,420376.166667,2015-09-03
118301,905,58,414050.1,2015-09-04
120728,895,65,408843.316667,2015-09-05
110978,798,43,372908.116667,2015-09-06
101636,794,52,348587.733333,2015-09-07
94512,747,50,337543.983333,2015-09-08
93116,745,43,328804.05,2015-09-09
94905,776,48,332028.566667,2015-09-10
101568,937,41,348255.366667,2015-09-11
110536,709,61,372759.9,2015-09-12
97065,650,35,326620.933333,2015-09-13
88909,648,52,308468.116667,2015-09-14
86399,609,29,302780.1,2015-09-15
87649,603,48,305054.033333,2015-09-16
84632,649,41,294513.85,2015-09-17
92385,622,38,312490.933333,2015-09-18
100035,590,61,332130.516667,2015-09-19
88015,557,39,292214.3,2015-09-20
75265,496,34,266958.083333,2015-09-21
74939,508,38,262904.9,2015-09-22
75249,505,29,264149.983333,2015-09-23
75859,501,34,262619.866667,2015-09-24
77266,479,37,260470.15,2015-09-25
83849,456,30,274768.383333,2015-09-26
72996,489,24,243502.466667,2015-09-27
69838,434,27,238072.716667,2015-09-28
67307,409,35,232452.866667,2015-09-29
68344,477,22,234115.066667,2015-09-30
69292,466,27,233180.033333,2015-10-01
72067,447,24,236244.333333,2015-10-02
74940,427,34,237398.866667,2015-10-03
67312,456,34,217389.85,2015-10-04
62720,415,23,209136.116667,2015-10-05
63509,402,41,212072.283333,2015-10-06
65091,413,30,215745.433333,2015-10-07
66259,404,28,218462.833333,2015-10-08
69370,399,30,222755.233333,2015-10-09
68798,386,28,216730.6,2015-10-10
62694,409,42,203078.55,2015-10-11
60698,449,32,201149.933333,2015-10-12
57792,365,28,194905.666667,2015-10-13
57888,302,21,195137.583333,2015-10-14
58246,425,34,192071.25,2015-10-15
59480,338,28,194346.533333,2015-10-16
60720,341,26,195586.116667,2015-10-17
54404,320,30,176541.316667,2015-10-18
52191,332,28,173007.35,2015-10-19
53540,392,22,176210.383333,2015-10-20
53675,366,25,177403.816667,2015-10-21
53789,308,19,178117.8,2015-10-22
56294,314,23,181598.9,2015-10-23
56951,291,15,179528.783333,2015-10-24
49956,298,24,158379.25,2015-10-25
48462,324,14,159123.516667,2015-10-26
47389,287,26,156290.733333,2015-10-27
47965,347,15,156201.066667,2015-10-28
44647,276,25,144689.266667,2015-10-29
50047,293,21,160940.3,2015-10-30
49162,277,19,152306.116667,2015-10-31
48998,314,20,154059.616667,2015-11-01
46429,312,25,152666.316667,2015-11-02
47039,316,25,156551.35,2015-11-03
47781,336,21,155934.333333,2015-11-04
49744,335,17,160695.55,2015-11-05
50986,281,26,160839.75,2015-11-06
52474,317,19,163228.216667,2015-11-07
48045,305,18,151570.616667,2015-11-08
45303,300,21,147542.933333,2015-11-09
45703,298,10,147406.866667,2015-11-10
45471,308,19,148820.283333,2015-11-11
44840,276,17,147916.8,2015-11-12
48238,288,19,154622.466667,2015-11-13
47963,323,22,151390.1,2015-11-14
42262,327,24,135934.6,2015-11-15
40007,279,17,132902.183333,2015-11-16
40272,228,18,133022.583333,2015-11-17
41356,281,29,135783.233333,2015-11-18
42125,271,25,139411.8,2015-11-19
44254,479,23,143488.783333,2015-11-20
46872,325,16,148334.85,2015-11-21
42510,313,24,138089.95,2015-11-22
40838,280,16,135835.3,2015-11-23
42373,264,16,138309.266667,2015-11-24
46633,307,16,150055.783333,2015-11-25
61791,681,17,197377.15,2015-11-26
53696,374,32,181040.833333,2015-11-27
52188,385,22,172136.4,2015-11-28
49260,382,17,163288.3,2015-11-29
49398,370,28,174741.816667,2015-11-30
51378,285,16,175963.0,2015-12-01
51050,333,17,172630.583333,2015-12-02
49801,311,12,168756.0,2015-12-03
49461,294,19,162581.266667,2015-12-04
50282,300,20,161894.7,2015-12-05
45303,278,24,149916.933333,2015-12-06
46283,258,24,155454.516667,2015-12-07
45183,275,13,152881.916667,2015-12-08
43984,319,19,150225.683333,2015-12-09
45213,253,19,148900.216667,2015-12-10
47971,226,26,153563.6,2015-12-11
47468,301,23,152603.65,2015-12-12
42439,287,15,140328.666667,2015-12-13
41481,265,25,138838.4,2015-12-14
42288,258,18,142580.083333,2015-12-15
40613,209,20,137205.966667,2015-12-16
40482,248,17,135470.733333,2015-12-17
41370,235,21,135560.85,2015-12-18
41004,299,17,131385.45,2015-12-19
37587,224,12,120457.233333,2015-12-20
39523,253,19,129615.066667,2015-12-21
40401,253,14,131064.716667,2015-12-22
42079,253,15,136716.833333,2015-12-23
40721,252,14,130873.083333,2015-12-24
38040,289,16,119493.15,2015-12-25
36630,218,10,115226.833333,2015-12-26
36373,256,14,115095.883333,2015-12-27
36994,251,21,118154.766667,2015-12-28
38590,252,8,123641.183333,2015-12-29
39518,279,15,126436.6,2015-12-30
40875,323,14,129086.85,2015-12-31
36233,291,14,111008.75,2016-01-01
38292,261,23,118617.35,2016-01-02
