dailyViewcount,numShare,numSubscriber,watchTime,date
4933192,95718,9313,16903106.25,2016-09-06
7789369,102389,13567,24873067.5167,2016-09-07
6802886,76162,11317,21579655.0333,2016-09-08
4894705,49295,5968,15519195.1,2016-09-09
5110438,40122,6535,15958218.1333,2016-09-10
4000134,32952,4871,12683682.3833,2016-09-11
3338284,25448,3097,10842397.45,2016-09-12
3219084,24571,2296,10391791.6833,2016-09-13
3136242,22476,1688,9973070.73333,2016-09-14
2948140,20872,2077,9489191.46667,2016-09-15
3141786,21057,2319,9759995.53333,2016-09-16
3628040,21798,2667,11234593.6333,2016-09-17
3273010,21131,2161,10234400.85,2016-09-18
2995207,18245,1941,9613976.83333,2016-09-19
3146964,17933,2011,10202706.3667,2016-09-20
2997150,16832,1697,9894224.68333,2016-09-21
2931871,16174,1473,9780911.95,2016-09-22
3106389,17149,1308,10297120.95,2016-09-23
3035541,16895,1683,10071459.5,2016-09-24
2718829,16862,1397,8994592.05,2016-09-25
2501849,14506,1192,8515442.43333,2016-09-26
2495412,14393,1205,8514388.15,2016-09-27
2518208,14178,1277,8631631.78333,2016-09-28
2485841,14109,1217,8530356.35,2016-09-29
2606190,14330,1218,8857677.63333,2016-09-30
2806740,15023,1366,9470908.38333,2016-10-01
2523668,15333,1244,8497837.31667,2016-10-02
2298293,12749,1018,7984974.58333,2016-10-03
2292725,12318,935,7964529.36667,2016-10-04
2370346,12510,1124,8207224.66667,2016-10-05
2398260,12549,1030,8314615.26667,2016-10-06
2794512,13500,1191,9518328.36667,2016-10-07
2928671,14135,1195,9952337.41667,2016-10-08
2588852,14144,1112,8758831.03333,2016-10-09
2327119,11883,902,8152581.13333,2016-10-10
2398265,11800,923,8341822.61667,2016-10-11
2501979,12414,988,8644846.0,2016-10-12
2478738,12021,951,8543134.2,2016-10-13
2580955,12065,968,8744276.53333,2016-10-14
2891761,13561,1155,9672628.35,2016-10-15
2496681,13255,1014,8366434.13333,2016-10-16
2293442,11211,790,7937470.55,2016-10-17
2330041,11207,811,8106938.36667,2016-10-18
2344886,11782,819,8112596.6,2016-10-19
2363682,12132,743,8182583.8,2016-10-20
2630130,13088,1010,8991840.36667,2016-10-21
2908031,14041,1054,9775366.2,2016-10-22
2566972,13731,909,8599574.63333,2016-10-23
2403148,11541,894,8340732.18333,2016-10-24
2486093,11622,874,8578730.41667,2016-10-25
2560394,12141,875,8851606.1,2016-10-26
2677698,12299,915,9164168.48333,2016-10-27
2922962,13065,1017,9859202.23333,2016-10-28
3122189,13962,1117,10363159.8333,2016-10-29
2797993,13722,1015,9231484.38333,2016-10-30
2578605,11107,837,8880699.15,2016-10-31
3251066,12702,1330,9461206.93333,2016-11-01
2612452,12631,822,8970393.16667,2016-11-02
2554098,11544,851,8838276.88333,2016-11-03
2733249,11734,873,9324363.46667,2016-11-04
3068512,13638,971,10302104.7667,2016-11-05
2760741,13841,864,9182196.06667,2016-11-06
2390540,10757,709,8268807.76667,2016-11-07
