dailyViewcount,numShare,numSubscriber,watchTime,date
636083,3821,1597,2751869.58333,2013-09-26
831517,2035,1427,3583370.83333,2013-09-27
991869,1769,1450,4180943.36667,2013-09-28
877692,1549,1182,3686081.36667,2013-09-29
774286,1413,1038,3252958.96667,2013-09-30
676109,1226,836,2832340.73333,2013-10-01
593348,980,604,2548781.73333,2013-10-02
424237,767,412,1833582.41667,2013-10-03
430310,693,369,1831893.78333,2013-10-04
475484,697,407,2027514.31667,2013-10-05
418345,630,381,1796457.98333,2013-10-06
369256,680,378,1598452.83333,2013-10-07
360496,631,347,1568822.48333,2013-10-08
392211,702,381,1700852.7,2013-10-09
582691,920,726,2351106.51667,2013-10-10
609929,878,713,2409976.41667,2013-10-11
634822,813,716,2515111.65,2013-10-12
502162,774,589,2012380.33333,2013-10-13
510328,775,566,2054303.26667,2013-10-14
536647,742,632,2134819.18333,2013-10-15
593849,841,905,2279785.6,2013-10-16
572092,688,752,2208242.61667,2013-10-17
471047,669,467,1928368.33333,2013-10-18
468463,600,483,1934408.55,2013-10-19
375966,534,364,1559856.85,2013-10-20
345940,572,322,1446588.71667,2013-10-21
345331,522,348,1447621.35,2013-10-22
340090,507,375,1431132.75,2013-10-23
346308,551,331,1457950.51667,2013-10-24
371084,503,370,1547478.73333,2013-10-25
397404,456,395,1657521.08333,2013-10-26
389496,466,377,1579954.5,2013-10-27
342354,527,381,1412930.31667,2013-10-28
313452,453,329,1314240.65,2013-10-29
308531,458,307,1285921.31667,2013-10-30
281598,393,285,1172846.9,2013-10-31
332791,465,302,1357711.1,2013-11-01
344148,401,330,1412861.75,2013-11-02
313598,400,298,1278539.63333,2013-11-03
259366,461,241,1070132.81667,2013-11-04
261803,414,277,1088338.9,2013-11-05
274192,404,273,1122922.66667,2013-11-06
293979,437,293,1192450.25,2013-11-07
325792,420,320,1299245.25,2013-11-08
368336,440,357,1463652.56667,2013-11-09
319312,446,355,1255241.66667,2013-11-10
298150,454,326,1183957.63333,2013-11-11
277689,466,321,1111395.11667,2013-11-12
293549,458,340,1169422.58333,2013-11-13
293343,813,310,1168034.2,2013-11-14
346821,1089,348,1378349.5,2013-11-15
415410,1180,404,1649944.9,2013-11-16
342643,1136,346,1349665.21667,2013-11-17
261506,1115,257,1036882.88333,2013-11-18
281742,1092,290,1106178.1,2013-11-19
305914,1162,300,1198002.0,2013-11-20
303529,1131,302,1195980.56667,2013-11-21
324548,1180,323,1212376.16667,2013-11-22
362239,1112,337,1338118.41667,2013-11-23
300324,1108,307,1157191.06667,2013-11-24
267574,960,241,1044774.63333,2013-11-25
276759,1022,260,1074625.86667,2013-11-26
297338,970,298,1155563.28333,2013-11-27
303078,959,280,1168935.46667,2013-11-28
301674,922,264,1151374.31667,2013-11-29
345684,950,324,1306770.05,2013-11-30
305907,966,296,1147115.06667,2013-12-01
243209,891,229,926291.283333,2013-12-02
227155,883,191,856932.933333,2013-12-03
229099,926,245,859826.083333,2013-12-04
233090,834,250,873111.166667,2013-12-05
251217,809,227,938366.05,2013-12-06
282286,825,243,1053204.15,2013-12-07
251949,863,254,933585.816667,2013-12-08
219417,827,197,825201.983333,2013-12-09
223231,792,228,850215.566667,2013-12-10
212161,813,210,802585.25,2013-12-11
275300,876,278,1048630.23333,2013-12-12
258690,815,239,981681.1,2013-12-13
