dailyViewcount,numShare,numSubscriber,watchTime,date
111,1,1,216.6,2014-04-11
80,1,0,260.883333333,2014-04-12
167,0,0,531.383333333,2014-04-13
197,1,2,593.833333333,2014-04-14
263,0,0,902.85,2014-04-15
133,1,0,486.7,2014-04-16
198,0,0,702.766666667,2014-04-17
296,1,0,995.35,2014-04-18
242,0,0,762.516666667,2014-04-19
286,2,0,1122.1,2014-04-20
307,2,0,1096.08333333,2014-04-21
286,2,1,1033.31666667,2014-04-22
301,1,0,1303.15,2014-04-23
277,0,1,965.8,2014-04-24
280,3,1,872.5,2014-04-25
282,0,1,879.833333333,2014-04-26
253,1,0,949.4,2014-04-27
171,0,0,667.05,2014-04-28
173,0,1,748.25,2014-04-29
180,0,0,603.466666667,2014-04-30
265,0,0,1034.88333333,2014-05-01
224,1,1,807.85,2014-05-02
173,1,0,623.766666667,2014-05-03
166,0,0,653.916666667,2014-05-04
166,1,0,634.583333333,2014-05-05
201,1,2,774.016666667,2014-05-06
179,1,0,721.75,2014-05-07
154,1,1,521.3,2014-05-08
178,0,0,664.166666667,2014-05-09
177,0,0,710.116666667,2014-05-10
187,0,1,646.266666667,2014-05-11
204,0,0,936.65,2014-05-12
206,0,0,901.716666667,2014-05-13
206,0,0,649.033333333,2014-05-14
226,0,0,765.733333333,2014-05-15
168,0,0,536.833333333,2014-05-16
187,0,1,538.683333333,2014-05-17
202,0,1,750.283333333,2014-05-18
174,0,0,601.016666667,2014-05-19
215,0,0,709.366666667,2014-05-20
216,0,0,782.966666667,2014-05-21
227,2,1,730.166666667,2014-05-22
170,0,1,791.85,2014-05-23
173,0,0,561.833333333,2014-05-24
150,0,0,590.95,2014-05-25
199,0,0,785.633333333,2014-05-26
181,0,0,567.316666667,2014-05-27
205,0,0,761.133333333,2014-05-28
253,0,0,902.933333333,2014-05-29
253,0,0,911.666666667,2014-05-30
259,1,0,883.15,2014-05-31
282,0,0,930.5,2014-06-01
306,0,0,1037.88333333,2014-06-02
218,0,0,730.066666667,2014-06-03
249,0,0,1031.2,2014-06-04
170,0,0,835.2,2014-06-05
187,0,0,551.316666667,2014-06-06
169,0,0,643.0,2014-06-07
174,0,0,569.733333333,2014-06-08
215,0,0,685.05,2014-06-09
205,0,0,791.6,2014-06-10
196,0,0,569.116666667,2014-06-11
224,1,0,792.016666667,2014-06-12
193,1,0,631.783333333,2014-06-13
209,0,0,747.6,2014-06-14
226,3,0,744.283333333,2014-06-15
356,0,0,1258.66666667,2014-06-16
315,0,0,1105.28333333,2014-06-17
235,0,0,746.516666667,2014-06-18
276,0,0,1031.76666667,2014-06-19
220,0,0,806.85,2014-06-20
173,0,0,747.216666667,2014-06-21
206,0,0,540.916666667,2014-06-22
291,0,0,977.1,2014-06-23
275,0,0,965.85,2014-06-24
243,0,0,753.116666667,2014-06-25
281,1,0,856.166666667,2014-06-26
221,0,0,681.05,2014-06-27
220,1,0,816.716666667,2014-06-28
195,0,0,563.566666667,2014-06-29
215,1,0,801.55,2014-06-30
226,1,0,752.033333333,2014-07-01
258,0,0,814.2,2014-07-02
206,0,0,754.533333333,2014-07-03
150,1,0,511.766666667,2014-07-04
310,0,0,1075.11666667,2014-07-05
517,1,1,1631.6,2014-07-06
537,1,0,1812.9,2014-07-07
511,1,1,1888.95,2014-07-08
581,0,1,2198.05,2014-07-09
570,2,1,1919.91666667,2014-07-10
539,1,1,1926.08333333,2014-07-11
484,0,1,1607.43333333,2014-07-12
