dailyViewcount,numShare,numSubscriber,watchTime,date
48,3,0,330.9,2016-05-13
9,0,0,53.1,2016-05-14
6,0,0,62.3333333333,2016-05-15
54,0,0,548.6,2016-05-16
210,0,0,2900.61666667,2016-05-17
566,1,0,11174.55,2016-05-18
198,1,0,2411.38333333,2016-05-19
98,0,0,1323.15,2016-05-20
133,0,0,1168.03333333,2016-05-21
285,0,0,5550.6,2016-05-22
307,1,0,5855.73333333,2016-05-23
1049,3,0,18032.0333333,2016-05-24
3091,8,0,53874.45,2016-05-25
5388,14,1,97674.7166667,2016-05-26
5482,14,0,94551.15,2016-05-27
5321,11,0,91205.3333333,2016-05-28
5957,14,0,97126.4,2016-05-29
7000,22,3,112336.883333,2016-05-30
7335,32,0,117276.65,2016-05-31
6797,25,2,108141.866667,2016-06-01
5423,11,0,86267.5333333,2016-06-02
7464,23,0,124649.8,2016-06-03
7201,20,0,109599.516667,2016-06-04
6945,20,0,109285.3,2016-06-05
8304,16,0,134671.016667,2016-06-06
8839,26,1,139482.4,2016-06-07
8632,21,1,128639.6,2016-06-08
9278,21,0,144014.166667,2016-06-09
10031,10,0,143620.25,2016-06-10
8515,25,0,114173.283333,2016-06-11
7037,15,0,100784.283333,2016-06-12
7202,20,2,116386.75,2016-06-13
6472,15,0,111677.683333,2016-06-14
6585,7,0,110793.533333,2016-06-15
6893,18,0,110669.883333,2016-06-16
6434,9,1,100410.983333,2016-06-17
5169,15,0,76642.6833333,2016-06-18
4512,7,0,67533.9833333,2016-06-19
5471,11,0,88320.2833333,2016-06-20
5163,19,0,84140.4833333,2016-06-21
5332,10,3,88534.6333333,2016-06-22
5928,14,1,94196.2666667,2016-06-23
5155,11,0,81558.45,2016-06-24
4360,8,0,64603.7,2016-06-25
4910,21,0,68034.0,2016-06-26
4865,18,1,80432.1166667,2016-06-27
4272,10,0,72970.8833333,2016-06-28
4429,11,0,78631.3833333,2016-06-29
3967,4,0,70478.65,2016-06-30
3690,8,0,59967.1166667,2016-07-01
3082,8,0,48197.35,2016-07-02
2976,6,0,44213.7666667,2016-07-03
3178,3,1,47992.4833333,2016-07-04
3098,8,0,51403.9,2016-07-05
3226,14,0,56179.0833333,2016-07-06
3069,8,1,48470.5666667,2016-07-07
2977,11,0,50691.25,2016-07-08
2628,1,1,40915.7333333,2016-07-09
2900,7,0,45951.8833333,2016-07-10
2854,6,0,50670.0333333,2016-07-11
2663,4,1,47115.3666667,2016-07-12
2396,7,0,42031.15,2016-07-13
2476,2,0,43838.2666667,2016-07-14
2611,7,0,44783.85,2016-07-15
2427,6,0,36236.3166667,2016-07-16
2104,3,0,34467.6166667,2016-07-17
2777,4,0,46599.4,2016-07-18
2610,1,0,42909.5666667,2016-07-19
2350,7,0,37754.6,2016-07-20
2188,1,0,36759.5166667,2016-07-21
2623,1,0,40845.5666667,2016-07-22
2073,3,0,29612.85,2016-07-23
2094,1,1,28766.9166667,2016-07-24
2311,6,0,38076.0,2016-07-25
2162,1,0,34507.9166667,2016-07-26
2083,1,1,34283.8833333,2016-07-27
1965,2,0,31563.4,2016-07-28
1999,4,0,32038.0333333,2016-07-29
1644,1,0,24507.3166667,2016-07-30
1479,2,0,21552.95,2016-07-31
1513,2,0,25457.7833333,2016-08-01
1455,10,0,24598.55,2016-08-02
1538,2,0,26452.6166667,2016-08-03
1372,1,0,23046.35,2016-08-04
1452,3,0,24238.1833333,2016-08-05
1301,2,1,20210.6,2016-08-06
2374,4,0,39575.2333333,2016-08-07
5060,23,3,102276.8,2016-08-08
5130,16,0,103977.233333,2016-08-09
5667,18,0,108914.133333,2016-08-10
6525,18,1,124495.483333,2016-08-11
6907,18,0,127617.683333,2016-08-12
5391,18,0,92151.5166667,2016-08-13
6,1,0,8.05,2016-08-14
1,0,0,0.0833333333333,2016-08-15
1,0,0,0.466666666667,2016-08-16
2,0,0,40.95,2016-08-17
0,0,0,0.0,2016-08-18
0,0,0,0.0,2016-08-19
0,0,0,0.0,2016-08-20
2491,14,1,41133.75,2016-08-21
5195,17,1,96307.05,2016-08-22
6787,24,1,124617.766667,2016-08-23
8581,20,0,153756.216667,2016-08-24
9308,31,0,167637.933333,2016-08-25
10077,26,1,180763.533333,2016-08-26
9267,29,0,149354.683333,2016-08-27
9990,37,2,164036.383333,2016-08-28
13184,37,0,226114.833333,2016-08-29
13349,29,-1,229743.816667,2016-08-30
13058,35,0,226507.466667,2016-08-31
12581,40,2,218945.933333,2016-09-01
13907,37,2,229898.1,2016-09-02
12037,27,0,189604.583333,2016-09-03
10869,23,0,177252.2,2016-09-04
12546,35,0,214306.533333,2016-09-05
14752,30,0,253348.133333,2016-09-06
16227,42,5,274939.35,2016-09-07
15795,43,0,266669.7,2016-09-08
16716,34,1,261337.566667,2016-09-09
15517,24,2,234129.433333,2016-09-10
14271,28,0,228657.366667,2016-09-11
15544,39,0,259339.533333,2016-09-12
15111,27,1,260572.35,2016-09-13
15495,45,1,260114.15,2016-09-14
17487,49,0,288162.75,2016-09-15
18931,56,0,303132.85,2016-09-16
16645,47,1,255064.1,2016-09-17
15470,44,0,253057.866667,2016-09-18
16863,50,0,293868.783333,2016-09-19
16920,43,1,297014.966667,2016-09-20
16923,35,1,294161.316667,2016-09-21
16768,46,3,286192.833333,2016-09-22
17905,49,0,302707.7,2016-09-23
16854,40,0,261111.016667,2016-09-24
16398,36,1,273277.116667,2016-09-25
17783,46,0,307380.033333,2016-09-26
18817,59,1,311875.516667,2016-09-27
19472,67,1,323380.2,2016-09-28
19237,40,5,319872.45,2016-09-29
18222,64,0,291718.683333,2016-09-30
16428,54,2,243180.016667,2016-10-01
14702,27,0,231722.6,2016-10-02
16960,32,2,288877.75,2016-10-03
23536,70,2,387144.5,2016-10-04
25148,80,1,417462.766667,2016-10-05
24922,72,2,398260.016667,2016-10-06
22827,84,1,361921.45,2016-10-07
20712,49,3,307077.45,2016-10-08
18305,58,0,286873.5,2016-10-09
20889,47,3,352458.216667,2016-10-10
21127,54,1,350747.6,2016-10-11
21400,44,1,354488.816667,2016-10-12
20847,58,2,346317.483333,2016-10-13
