dailyViewcount,numShare,numSubscriber,watchTime,date
749922,6120,524,1108660.3,2016-11-22
1304308,6685,695,1533864.25,2016-11-23
1014973,3579,269,919382.533333,2016-11-24
951140,3228,224,832735.3,2016-11-25
955535,3123,220,827446.516667,2016-11-26
922729,3235,257,831082.25,2016-11-27
862310,2894,210,813917.816667,2016-11-28
846493,2731,207,782510.45,2016-11-29
782715,2569,196,746995.55,2016-11-30
172261,996,108,446754.683333,2016-12-01
160230,945,118,435731.733333,2016-12-02
153526,851,105,418424.2,2016-12-03
138120,857,82,375018.716667,2016-12-04
121828,735,75,351233.516667,2016-12-05
116006,676,82,338974.183333,2016-12-06
100823,535,64,300770.55,2016-12-07
109815,637,59,324569.75,2016-12-08
109944,624,52,321989.5,2016-12-09
112659,568,78,327635.8,2016-12-10
113401,703,77,326655.616667,2016-12-11
109855,663,71,328105.5,2016-12-12
96636,602,59,295686.5,2016-12-13
97256,576,57,297226.833333,2016-12-14
90511,570,38,276805.716667,2016-12-15
84902,557,42,258645.8,2016-12-16
83988,477,46,249207.716667,2016-12-17
76947,526,45,226200.25,2016-12-18
74207,438,49,225650.95,2016-12-19
74184,443,39,225575.833333,2016-12-20
72589,436,40,221888.116667,2016-12-21
70881,445,41,217112.516667,2016-12-22
68599,440,23,213195.416667,2016-12-23
61666,340,26,190641.466667,2016-12-24
55419,293,17,165522.233333,2016-12-25
59712,368,30,178993.133333,2016-12-26
62275,424,36,190544.716667,2016-12-27
62240,450,33,193760.016667,2016-12-28
61003,402,21,188543.033333,2016-12-29
63643,355,34,195936.683333,2016-12-30
60535,303,21,189208.283333,2016-12-31
50848,327,18,148572.1,2017-01-01
57730,388,34,171572.583333,2017-01-02
58316,382,28,174130.783333,2017-01-03
58494,416,27,176968.733333,2017-01-04
64070,448,24,193149.366667,2017-01-05
63402,402,28,191930.4,2017-01-06
62289,433,33,183646.416667,2017-01-07
60895,441,28,177646.433333,2017-01-08
63020,408,39,187274.883333,2017-01-09
63660,389,41,189135.55,2017-01-10
61007,415,30,183501.666667,2017-01-11
59938,335,21,181227.316667,2017-01-12
75072,469,41,225602.8,2017-01-13
75383,482,43,223766.816667,2017-01-14
69708,489,43,206635.45,2017-01-15
70596,499,44,213960.383333,2017-01-16
68008,448,0,206017.45,2017-01-17
69336,501,0,209255.266667,2017-01-18
67818,453,0,203721.05,2017-01-19
68010,462,0,203005.466667,2017-01-20
69125,408,0,205799.783333,2017-01-21
63741,462,0,187838.666667,2017-01-22
59843,492,0,184562.816667,2017-01-23
58540,443,0,181504.616667,2017-01-24
60640,465,0,187430.283333,2017-01-25
67839,504,0,203915.616667,2017-01-26
90621,772,0,263675.1,2017-01-27
86664,676,54,261103.5,2017-01-28
85124,689,60,255320.2,2017-01-29
87954,635,58,272466.233333,2017-01-30
92202,664,62,288328.1,2017-01-31
88864,654,58,276774.55,2017-02-01
82980,686,52,261970.3,2017-02-02
86780,676,54,276523.833333,2017-02-03
91439,661,61,288909.75,2017-02-04
84343,655,55,263595.866667,2017-02-05
80696,672,46,258008.483333,2017-02-06
79915,622,50,258866.766667,2017-02-07
80960,661,50,263034.083333,2017-02-08
85386,659,46,274710.883333,2017-02-09
88092,646,47,283278.383333,2017-02-10
90555,664,54,286792.1,2017-02-11
77317,608,44,242303.616667,2017-02-12
75154,527,47,246414.45,2017-02-13
74970,617,25,247823.316667,2017-02-14
77595,602,41,252239.366667,2017-02-15
78601,590,29,258287.6,2017-02-16
84484,671,50,274044.166667,2017-02-17
86540,631,35,275846.733333,2017-02-18
79551,649,46,250701.016667,2017-02-19
82132,624,36,265059.5,2017-02-20
79504,563,39,260145.85,2017-02-21
86075,697,59,280273.433333,2017-02-22
80934,602,29,267353.916667,2017-02-23
85136,646,36,281777.916667,2017-02-24
85634,641,37,277907.8,2017-02-25
77603,646,37,250060.483333,2017-02-26
79115,625,38,263312.6,2017-02-27
80830,602,41,269823.316667,2017-02-28
83715,631,33,278299.616667,2017-03-01
87259,715,45,290903.483333,2017-03-02
87793,702,30,294213.083333,2017-03-03
92940,686,38,306229.483333,2017-03-04
84507,738,27,279381.75,2017-03-05
81383,673,29,275734.533333,2017-03-06
83922,696,37,283310.683333,2017-03-07
83627,726,47,284663.85,2017-03-08
85934,664,47,291621.366667,2017-03-09
87798,673,35,295468.7,2017-03-10
93516,679,45,312327.966667,2017-03-11
84840,729,27,276572.833333,2017-03-12
84978,703,33,286369.083333,2017-03-13
86158,721,41,286457.966667,2017-03-14
86283,724,45,290796.2,2017-03-15
90860,765,40,305331.7,2017-03-16
102775,758,47,340171.35,2017-03-17
103374,798,43,333559.6,2017-03-18
89985,749,51,293098.233333,2017-03-19
90531,700,47,299637.583333,2017-03-20
90415,734,35,301139.566667,2017-03-21
94827,772,50,307719.75,2017-03-22
99792,766,75,322338.05,2017-03-23
102751,803,48,334799.6,2017-03-24
104712,683,46,336631.083333,2017-03-25
92134,695,43,293418.183333,2017-03-26
91863,719,52,300911.95,2017-03-27
95017,731,54,310889.233333,2017-03-28
96996,693,42,317474.2,2017-03-29
97430,716,31,320652.016667,2017-03-30
104644,752,29,341560.216667,2017-03-31
114558,779,39,367039.3,2017-04-01
105388,782,49,332538.0,2017-04-02
93390,676,27,302706.2,2017-04-03
95899,726,50,308692.25,2017-04-04
97319,753,34,312112.616667,2017-04-05
103055,692,57,326840.6,2017-04-06
106323,713,36,339541.033333,2017-04-07
110428,687,26,350967.25,2017-04-08
94439,650,25,295008.783333,2017-04-09
95521,678,37,301929.033333,2017-04-10
94704,679,39,298512.166667,2017-04-11
102124,667,36,315556.9,2017-04-12
109019,681,40,337039.583333,2017-04-13
117413,672,49,356473.7,2017-04-14
116468,739,48,348513.65,2017-04-15
104463,574,49,308048.783333,2017-04-16
109701,649,48,323022.9,2017-04-17
107510,608,42,322635.683333,2017-04-18
104997,649,53,317594.033333,2017-04-19
106986,639,51,327010.116667,2017-04-20
109868,630,49,336907.066667,2017-04-21
112226,622,52,337857.05,2017-04-22
105163,645,44,312432.65,2017-04-23
104836,652,44,318201.366667,2017-04-24
105945,658,41,323068.866667,2017-04-25
102597,670,52,314809.633333,2017-04-26
102506,606,46,311766.3,2017-04-27
113613,607,31,346994.916667,2017-04-28
118313,648,30,358476.583333,2017-04-29
106001,617,34,318089.116667,2017-04-30
92349,564,32,282090.15,2017-05-01
92708,571,46,287148.066667,2017-05-02
91423,557,44,281347.433333,2017-05-03
96566,559,40,296030.5,2017-05-04
103240,501,32,317260.883333,2017-05-05
104948,508,37,321742.266667,2017-05-06
91110,494,36,273859.283333,2017-05-07
87622,480,34,267718.85,2017-05-08
