dailyViewcount,numShare,numSubscriber,watchTime,date
426272,2164,13,2045141.0,2017-03-09
312101,886,72,1298866.83333,2017-03-10
232117,580,75,970104.933333,2017-03-11
128832,383,49,564347.1,2017-03-12
83058,279,57,351093.333333,2017-03-13
140186,374,96,564894.583333,2017-03-14
113552,274,85,438361.183333,2017-03-15
76467,216,71,312900.05,2017-03-16
74363,151,76,301902.233333,2017-03-17
80325,190,91,316584.45,2017-03-18
87354,209,63,324943.916667,2017-03-19
90676,288,88,333401.833333,2017-03-20
91399,253,85,333230.266667,2017-03-21
116418,315,103,442243.15,2017-03-22
116624,326,76,429619.15,2017-03-23
79202,177,61,283313.033333,2017-03-24
84843,177,78,307458.35,2017-03-25
77169,174,56,281883.683333,2017-03-26
61718,151,68,216795.4,2017-03-27
52681,152,42,184119.216667,2017-03-28
56822,115,52,196232.9,2017-03-29
98695,245,103,358417.583333,2017-03-30
94289,206,92,337627.616667,2017-03-31
86630,186,72,308092.966667,2017-04-01
76217,168,62,274813.9,2017-04-02
62260,173,41,219283.5,2017-04-03
59345,164,49,204009.966667,2017-04-04
55324,112,48,188652.983333,2017-04-05
62856,147,52,222888.116667,2017-04-06
68556,128,51,241850.833333,2017-04-07
79783,163,48,287953.166667,2017-04-08
72271,187,51,266418.716667,2017-04-09
62964,158,59,227088.75,2017-04-10
61941,156,52,226924.633333,2017-04-11
61398,127,77,221031.133333,2017-04-12
63020,116,47,225551.633333,2017-04-13
66718,117,51,237586.816667,2017-04-14
60497,101,43,214673.2,2017-04-15
56731,114,44,200170.566667,2017-04-16
59065,139,56,210504.75,2017-04-17
52586,122,51,185848.0,2017-04-18
59731,106,57,209363.4,2017-04-19
57018,112,51,198523.233333,2017-04-20
58767,110,56,200896.4,2017-04-21
61719,135,59,212083.233333,2017-04-22
56796,105,56,195794.983333,2017-04-23
48630,71,54,165126.0,2017-04-24
45728,87,36,153838.666667,2017-04-25
45900,88,45,153140.133333,2017-04-26
46372,75,42,149985.183333,2017-04-27
50933,110,41,164877.883333,2017-04-28
59973,75,56,199997.8,2017-04-29
55537,93,50,186427.183333,2017-04-30
47589,96,36,155636.116667,2017-05-01
44475,101,37,145361.0,2017-05-02
46660,116,52,154421.9,2017-05-03
45948,86,46,152175.483333,2017-05-04
46978,74,46,152617.1,2017-05-05
55738,94,38,184720.983333,2017-05-06
55433,112,51,188639.0,2017-05-07
45354,84,56,151475.833333,2017-05-08
42536,77,36,142785.583333,2017-05-09
52679,129,59,178446.566667,2017-05-10
48214,111,32,163127.083333,2017-05-11
51744,69,33,171384.616667,2017-05-12
63781,109,44,214805.733333,2017-05-13
48924,88,23,169375.583333,2017-05-14
41553,93,32,141886.083333,2017-05-15
37778,85,26,128005.933333,2017-05-16
40894,80,32,140770.033333,2017-05-17
46956,73,34,160333.2,2017-05-18
48734,73,39,165485.933333,2017-05-19
53937,85,18,187341.816667,2017-05-20
45923,98,28,165768.8,2017-05-21
41095,68,24,144073.483333,2017-05-22
