dailyViewcount,numShare,numSubscriber,watchTime,date
1213667,20333,1812,3686074.0,2017-05-04
1472586,17189,1530,4379190.15,2017-05-05
971513,7869,576,2928451.08333,2017-05-06
1000732,7292,611,2985251.18333,2017-05-07
1060069,7026,683,3253091.56667,2017-05-08
929935,5860,468,2932222.35,2017-05-09
905393,5565,478,2865944.53333,2017-05-10
610431,3895,267,1992547.83333,2017-05-11
742894,4514,303,2330475.4,2017-05-12
721078,4011,238,2301126.16667,2017-05-13
627457,3816,239,2031347.05,2017-05-14
565939,3524,199,1852349.56667,2017-05-15
662903,3733,245,2168071.63333,2017-05-16
713034,4013,251,2345881.98333,2017-05-17
775114,4017,250,2587473.5,2017-05-18
835065,3842,232,2807843.01667,2017-05-19
911234,4042,272,3097297.8,2017-05-20
763786,3951,242,2606238.3,2017-05-21
806512,3900,280,2744239.88333,2017-05-22
