dailyViewcount,numShare,numSubscriber,watchTime,date
489411,5771,734,1743127.6,2014-08-14
1642476,10392,1384,4840699.91667,2014-08-15
2469900,6873,1052,5819670.83333,2014-08-16
1372866,3648,646,3671003.25,2014-08-17
919651,3226,505,2806677.2,2014-08-18
788890,2839,438,2546915.51667,2014-08-19
703385,2474,384,2340475.85,2014-08-20
673763,2166,374,2268301.66667,2014-08-21
700973,2004,414,2344616.1,2014-08-22
674879,1970,335,2235547.96667,2014-08-23
581573,1652,286,1932064.73333,2014-08-24
528527,1776,312,1775531.83333,2014-08-25
552211,1877,314,1873049.68333,2014-08-26
547395,1766,325,1885895.95,2014-08-27
548049,1585,300,1883325.05,2014-08-28
545291,1475,272,1894782.51667,2014-08-29
568418,1326,296,1906502.86667,2014-08-30
523980,1211,274,1745889.38333,2014-08-31
510599,1351,272,1716844.7,2014-09-01
466610,1322,266,1618035.51667,2014-09-02
454672,1263,244,1602877.15,2014-09-03
456734,1306,249,1626246.2,2014-09-04
482497,1220,221,1704642.68333,2014-09-05
515297,1126,241,1768568.81667,2014-09-06
451040,1001,192,1551724.26667,2014-09-07
428586,1111,181,1522279.11667,2014-09-08
427744,1080,214,1516352.68333,2014-09-09
435123,1079,194,1545188.11667,2014-09-10
441830,1006,182,1571186.13333,2014-09-11
474227,1020,183,1669801.98333,2014-09-12
523854,1022,219,1782317.1,2014-09-13
455342,962,213,1555720.8,2014-09-14
444069,1103,206,1554492.6,2014-09-15
484097,1047,217,1697524.3,2014-09-16
480312,1084,208,1690950.7,2014-09-17
489806,969,206,1710596.23333,2014-09-18
523545,1021,159,1819944.95,2014-09-19
560748,991,200,1917721.06667,2014-09-20
452951,925,183,1568678.3,2014-09-21
431844,886,196,1545750.51667,2014-09-22
440148,883,188,1567290.78333,2014-09-23
428888,818,177,1529993.68333,2014-09-24
443563,869,185,1574473.38333,2014-09-25
471818,946,181,1659230.9,2014-09-26
504511,840,222,1728994.03333,2014-09-27
445836,790,200,1527611.03333,2014-09-28
425639,853,189,1505282.78333,2014-09-29
411213,762,163,1462930.33333,2014-09-30
413668,736,187,1473035.98333,2014-10-01
451353,895,187,1587487.61667,2014-10-02
474102,790,163,1651872.86667,2014-10-03
502326,722,196,1692577.81667,2014-10-04
446014,678,191,1499442.83333,2014-10-05
409991,701,160,1421765.18333,2014-10-06
419969,752,155,1453586.46667,2014-10-07
375873,660,139,1313314.66667,2014-10-08
367353,620,100,1287355.83333,2014-10-09
399425,647,149,1381537.66667,2014-10-10
408364,610,145,1383326.11667,2014-10-11
324383,506,132,1104976.61667,2014-10-12
296789,493,122,1048330.53333,2014-10-13
299804,588,119,1055446.55,2014-10-14
305877,573,116,1078752.91667,2014-10-15
306016,524,126,1079822.66667,2014-10-16
330881,487,98,1157314.88333,2014-10-17
358036,537,109,1215628.35,2014-10-18
300965,509,105,1024766.98333,2014-10-19
282836,481,94,998179.383333,2014-10-20
284551,488,108,999767.15,2014-10-21
293187,546,109,1028385.55,2014-10-22
303535,469,114,1058032.15,2014-10-23
327790,522,109,1140255.1,2014-10-24
348989,503,113,1192685.45,2014-10-25
329367,492,117,1108550.55,2014-10-26
326839,579,152,1131430.3,2014-10-27
364588,705,133,1214782.2,2014-10-28
431660,630,153,1432333.66667,2014-10-29
432574,615,140,1444922.0,2014-10-30
446435,566,141,1486982.03333,2014-10-31
497396,585,173,1600393.26667,2014-11-01
458078,552,172,1463105.15,2014-11-02
422433,623,149,1391997.21667,2014-11-03
430881,578,159,1419702.98333,2014-11-04
430004,645,155,1430244.76667,2014-11-05
451057,594,185,1486861.46667,2014-11-06
487905,667,170,1583729.71667,2014-11-07
523642,578,146,1661380.9,2014-11-08
442533,580,167,1401431.1,2014-11-09
402539,557,146,1315385.86667,2014-11-10
421138,508,150,1365236.15,2014-11-11
409955,571,170,1328841.88333,2014-11-12
426688,536,154,1384677.4,2014-11-13
651777,701,249,1859174.48333,2014-11-14
697083,668,251,1957610.25,2014-11-15
587128,547,226,1634123.93333,2014-11-16
532758,567,215,1531504.98333,2014-11-17
531251,568,229,1552253.63333,2014-11-18
562931,624,233,1600361.78333,2014-11-19
571041,591,185,1643945.56667,2014-11-20
563325,589,221,1665637.58333,2014-11-21
587682,508,207,1727763.78333,2014-11-22
506875,522,180,1491201.35,2014-11-23
471283,507,163,1431044.7,2014-11-24
483506,494,171,1477687.7,2014-11-25
528854,498,164,1613726.46667,2014-11-26
529788,480,170,1599245.98333,2014-11-27
501922,508,170,1506572.36667,2014-11-28
512814,461,167,1529828.36667,2014-11-29
453542,458,166,1341102.83333,2014-11-30
449954,466,137,1381651.4,2014-12-01
449199,438,148,1386932.38333,2014-12-02
446163,438,155,1382766.16667,2014-12-03
484127,511,161,1490120.76667,2014-12-04
514633,534,157,1573841.76667,2014-12-05
566439,511,152,1694480.66667,2014-12-06
502767,481,155,1497428.01667,2014-12-07
481255,504,154,1463415.61667,2014-12-08
493507,521,148,1484261.85,2014-12-09
499374,484,174,1509229.35,2014-12-10
488934,475,153,1489270.15,2014-12-11
527046,484,164,1589318.0,2014-12-12
560969,453,161,1669183.1,2014-12-13
485834,382,149,1422992.46667,2014-12-14
467023,423,153,1403383.1,2014-12-15
431885,400,143,1332859.78333,2014-12-16
452362,418,155,1388756.5,2014-12-17
454727,423,153,1403632.5,2014-12-18
487153,381,157,1495972.91667,2014-12-19
517975,414,141,1561430.2,2014-12-20
471914,389,140,1390814.43333,2014-12-21
475250,429,150,1417836.51667,2014-12-22
499732,396,150,1507858.5,2014-12-23
523622,302,102,1590808.71667,2014-12-24
485264,320,107,1415341.61667,2014-12-25
479740,329,111,1408681.38333,2014-12-26
474015,333,118,1387599.63333,2014-12-27
434205,316,105,1253268.73333,2014-12-28
459549,386,125,1350938.31667,2014-12-29
480693,367,112,1413723.06667,2014-12-30
558838,342,80,1657500.48333,2014-12-31
420440,257,97,1202996.81667,2015-01-01
455726,343,110,1328403.81667,2015-01-02
459365,369,96,1318659.88333,2015-01-03
415950,352,92,1178010.21667,2015-01-04
413101,313,86,1209049.2,2015-01-05
405267,318,101,1189671.56667,2015-01-06
396817,306,101,1186305.9,2015-01-07
422969,378,110,1254863.06667,2015-01-08
472975,404,133,1390142.33333,2015-01-09
506072,331,111,1467824.53333,2015-01-10
424803,282,117,1222785.4,2015-01-11
392421,304,103,1160675.38333,2015-01-12
396466,329,93,1181892.6,2015-01-13
401550,92,26,1197421.41667,2015-01-14
419967,283,99,1252856.41667,2015-01-15
480484,360,129,1419884.41667,2015-01-16
510595,333,136,1478283.15,2015-01-17
434541,309,104,1247049.4,2015-01-18
416550,304,97,1222629.31667,2015-01-19
389296,314,110,1154944.33333,2015-01-20
389302,310,125,1159063.66667,2015-01-21
402120,383,107,1196008.06667,2015-01-22
461048,528,87,1355754.83333,2015-01-23
489211,526,108,1417015.93333,2015-01-24
414037,547,96,1185404.91667,2015-01-25
402287,591,86,1178722.36667,2015-01-26
419520,614,103,1234775.2,2015-01-27
413797,656,114,1229812.1,2015-01-28
451963,567,106,1344323.11667,2015-01-29
474133,629,99,1419750.2,2015-01-30
484582,579,93,1426327.18333,2015-01-31
404956,547,77,1185883.06667,2015-02-01
381285,545,84,1148175.01667,2015-02-02
400938,556,98,1206012.86667,2015-02-03
410333,564,83,1225772.51667,2015-02-04
386827,538,84,1158851.4,2015-02-05
432284,561,71,1292087.68333,2015-02-06
466401,521,85,1367387.73333,2015-02-07
398595,612,83,1168830.96667,2015-02-08
382801,579,93,1161752.61667,2015-02-09
388208,548,94,1167183.6,2015-02-10
388322,540,92,1163925.48333,2015-02-11
392900,507,77,1182048.31667,2015-02-12
411009,521,73,1237002.6,2015-02-13
426553,538,83,1262478.98333,2015-02-14
354418,427,73,1041530.95,2015-02-15
357487,470,74,1060676.56667,2015-02-16
344524,439,76,1031634.88333,2015-02-17
348999,416,90,1049188.1,2015-02-18
361053,443,71,1084209.26667,2015-02-19
400299,489,80,1190003.08333,2015-02-20
421027,497,77,1231409.71667,2015-02-21
366504,474,83,1067187.48333,2015-02-22
347547,490,68,1035733.51667,2015-02-23
360102,519,70,1074887.25,2015-02-24
343763,398,68,1027796.6,2015-02-25
322289,395,55,978780.916667,2015-02-26
341565,411,50,1032305.03333,2015-02-27
367908,446,76,1085792.6,2015-02-28
309082,330,58,915138.716667,2015-03-01
295683,394,52,890435.183333,2015-03-02
304171,471,62,915076.866667,2015-03-03
310711,697,64,932095.55,2015-03-04
320706,573,59,960398.833333,2015-03-05
345663,605,57,1037497.21667,2015-03-06
376867,728,71,1105135.63333,2015-03-07
313064,585,49,912213.716667,2015-03-08
342593,644,61,1010328.03333,2015-03-09
335703,665,79,991704.15,2015-03-10
324741,681,47,965735.9,2015-03-11
311794,624,65,932772.316667,2015-03-12
321627,579,60,963522.8,2015-03-13
356444,685,58,1042942.58333,2015-03-14
304974,584,51,884833.483333,2015-03-15
289715,637,42,862821.133333,2015-03-16
291457,639,65,872129.166667,2015-03-17
304796,553,63,906202.2,2015-03-18
320887,541,57,954776.516667,2015-03-19
343477,584,56,1012682.25,2015-03-20
375078,540,79,1088428.03333,2015-03-21
321873,574,74,927528.0,2015-03-22
310331,562,56,918128.466667,2015-03-23
320142,607,55,954527.233333,2015-03-24
326955,595,50,976916.383333,2015-03-25
327302,536,66,978813.516667,2015-03-26
341885,490,60,1011512.06667,2015-03-27
365704,491,54,1052403.23333,2015-03-28
311314,483,55,893516.1,2015-03-29
305920,473,40,898285.533333,2015-03-30
