dailyViewcount,numShare,numSubscriber,watchTime,date
221290,3433,176,468599.583333,2016-03-25
123633,1430,42,284690.866667,2016-03-26
209403,1956,148,385638.95,2016-03-27
202983,1922,95,403891.366667,2016-03-28
187874,1810,60,397824.15,2016-03-29
235283,1839,97,507662.35,2016-03-30
257620,1935,87,534769.433333,2016-03-31
284265,1776,111,600641.783333,2016-04-01
277160,1845,100,579610.966667,2016-04-02
249006,1793,93,524380.2,2016-04-03
255851,1685,107,554781.316667,2016-04-04
225404,1558,53,505259.3,2016-04-05
229270,1526,66,519707.166667,2016-04-06
239080,1543,84,533762.766667,2016-04-07
258787,1376,51,581723.183333,2016-04-08
247911,1468,49,545899.1,2016-04-09
193758,1321,37,431050.15,2016-04-10
213204,1356,44,488309.516667,2016-04-11
236594,1305,76,539079.883333,2016-04-12
249979,1238,57,568940.883333,2016-04-13
279944,1300,91,637384.45,2016-04-14
296452,1233,65,684922.283333,2016-04-15
282889,1182,61,647655.066667,2016-04-16
237095,1202,58,539389.633333,2016-04-17
233435,1166,51,543741.333333,2016-04-18
203158,1033,35,478896.266667,2016-04-19
201856,1112,42,474589.616667,2016-04-20
205916,1156,34,479551.133333,2016-04-21
238334,1143,26,558807.833333,2016-04-22
252241,1094,44,579935.366667,2016-04-23
215017,1111,41,495049.2,2016-04-24
216579,1050,47,509397.183333,2016-04-25
219871,1168,46,512924.483333,2016-04-26
218925,1098,43,511251.05,2016-04-27
214825,1228,48,501873.883333,2016-04-28
224395,1327,36,522437.05,2016-04-29
229210,1334,40,523949.016667,2016-04-30
184735,1390,18,423804.116667,2016-05-01
187233,1206,28,435629.066667,2016-05-02
183003,1140,26,427158.383333,2016-05-03
177514,1177,21,408964.85,2016-05-04
182985,1105,23,422588.533333,2016-05-05
200018,1080,26,458645.366667,2016-05-06
201727,1060,23,456831.833333,2016-05-07
169946,1082,12,386255.033333,2016-05-08
162328,1045,20,374835.283333,2016-05-09
164981,1004,22,379270.233333,2016-05-10
162585,1080,18,374412.4,2016-05-11
165597,1005,23,379673.116667,2016-05-12
187072,1062,27,427407.75,2016-05-13
194679,1153,25,440168.816667,2016-05-14
163055,1140,11,365382.15,2016-05-15
160133,1067,25,367357.933333,2016-05-16
164072,1011,23,372905.233333,2016-05-17
165209,945,18,377406.866667,2016-05-18
178393,1068,15,407431.483333,2016-05-19
199291,1039,19,455845.366667,2016-05-20
198695,1044,19,450041.633333,2016-05-21
167259,1054,17,378027.883333,2016-05-22
167535,1144,30,383928.766667,2016-05-23
167964,1113,24,382208.166667,2016-05-24
165460,1070,20,374488.966667,2016-05-25
167695,1125,16,377287.533333,2016-05-26
181619,1084,19,408776.533333,2016-05-27
183484,1032,17,412904.05,2016-05-28
172176,1037,17,383298.3,2016-05-29
169439,1083,19,378817.55,2016-05-30
166412,1126,20,373552.533333,2016-05-31
173918,1090,29,391880.6,2016-06-01
181618,1164,23,407224.2,2016-06-02
204691,1075,21,459536.75,2016-06-03
206479,1167,21,461428.283333,2016-06-04
177191,1253,21,391329.416667,2016-06-05
178156,1115,19,401004.066667,2016-06-06
177438,1081,25,399625.266667,2016-06-07
175836,1106,25,396226.283333,2016-06-08
182125,1124,23,409152.016667,2016-06-09
192130,1123,26,433641.533333,2016-06-10
194874,1107,19,434651.416667,2016-06-11
168896,1076,21,372100.5,2016-06-12
166607,1037,22,371554.8,2016-06-13
172754,1066,20,385042.4,2016-06-14
177347,980,31,395645.616667,2016-06-15
180872,1165,30,401967.583333,2016-06-16
196591,1079,25,442893.883333,2016-06-17
201509,1083,33,452897.033333,2016-06-18
170898,1017,21,381215.716667,2016-06-19
173611,1005,23,388009.366667,2016-06-20
176106,1131,21,394668.116667,2016-06-21
176789,1134,23,394576.8,2016-06-22
185321,1105,21,416574.4,2016-06-23
193627,1050,29,439296.283333,2016-06-24
188183,1062,22,424301.116667,2016-06-25
153533,1000,19,342810.35,2016-06-26
158224,1042,20,353656.283333,2016-06-27
160204,1060,24,359928.233333,2016-06-28
161107,1017,26,361608.316667,2016-06-29
163647,1036,19,369241.583333,2016-06-30
176388,1052,23,398161.283333,2016-07-01
176230,995,13,394457.85,2016-07-02
165322,1006,22,368129.166667,2016-07-03
172256,966,15,383215.1,2016-07-04
153338,1048,19,339540.45,2016-07-05
155285,984,22,343209.3,2016-07-06
152327,951,15,336682.283333,2016-07-07
165105,985,19,369680.366667,2016-07-08
168947,974,19,375785.2,2016-07-09
145049,900,17,322622.533333,2016-07-10
144499,914,25,321340.3,2016-07-11
142010,921,18,316286.666667,2016-07-12
141006,900,18,314425.333333,2016-07-13
149252,990,11,330397.1,2016-07-14
154596,868,24,348358.816667,2016-07-15
154441,911,24,346621.566667,2016-07-16
128874,854,15,285152.933333,2016-07-17
129198,889,21,286634.866667,2016-07-18
129205,865,23,288145.966667,2016-07-19
129787,876,12,289973.816667,2016-07-20
139257,861,11,308726.416667,2016-07-21
149561,872,25,332149.383333,2016-07-22
143852,828,13,318261.2,2016-07-23
126051,821,15,275071.5,2016-07-24
125286,717,13,275566.183333,2016-07-25
127639,721,26,279935.933333,2016-07-26
124420,709,19,275404.616667,2016-07-27
123570,798,25,273646.133333,2016-07-28
136067,775,14,305066.566667,2016-07-29
137599,763,24,304918.133333,2016-07-30
118254,721,25,260923.616667,2016-07-31
117015,754,19,258595.8,2016-08-01
120338,803,21,263348.916667,2016-08-02
119459,804,18,263356.933333,2016-08-03
119539,781,12,265864.183333,2016-08-04
137092,763,21,304942.516667,2016-08-05
136814,696,13,302572.1,2016-08-06
119242,776,12,260941.483333,2016-08-07
112982,762,15,249222.6,2016-08-08
112657,711,22,249173.8,2016-08-09
111351,786,18,245809.0,2016-08-10
117104,764,19,259969.366667,2016-08-11
120624,685,20,269505.083333,2016-08-12
123524,727,20,271776.283333,2016-08-13
106259,705,16,231878.533333,2016-08-14
102907,644,13,228621.466667,2016-08-15
102834,765,17,227980.016667,2016-08-16
104284,717,16,233001.3,2016-08-17
108480,686,15,241970.083333,2016-08-18
116951,660,8,263177.333333,2016-08-19
121580,709,20,268544.766667,2016-08-20
103896,722,12,226765.216667,2016-08-21
101875,648,11,225990.216667,2016-08-22
106112,674,26,234914.65,2016-08-23
108170,661,19,239083.466667,2016-08-24
115874,693,13,252274.766667,2016-08-25
130467,664,25,278856.933333,2016-08-26
141122,686,23,290671.7,2016-08-27
104742,661,18,226527.016667,2016-08-28
108464,677,20,235883.266667,2016-08-29
106666,673,18,233792.066667,2016-08-30
108898,653,26,240047.233333,2016-08-31
109556,650,14,243949.116667,2016-09-01
122262,584,14,272536.4,2016-09-02
122498,697,17,271382.05,2016-09-03
110698,635,12,242633.25,2016-09-04
102955,651,11,228107.116667,2016-09-05
92958,619,19,209638.333333,2016-09-06
95825,623,7,214647.466667,2016-09-07
98000,645,9,219671.816667,2016-09-08
117891,616,8,261095.533333,2016-09-09
117097,627,11,260474.0,2016-09-10
95663,634,15,210696.016667,2016-09-11
92063,560,15,207639.316667,2016-09-12
95771,581,11,215842.0,2016-09-13
96636,671,11,216079.233333,2016-09-14
97178,600,9,220331.966667,2016-09-15
107349,599,8,243552.55,2016-09-16
110125,586,11,245377.4,2016-09-17
87573,647,10,191642.833333,2016-09-18
88795,608,10,199248.266667,2016-09-19
87479,542,21,198413.766667,2016-09-20
88056,560,9,198163.983333,2016-09-21
90706,568,12,204741.366667,2016-09-22
109045,605,9,243931.316667,2016-09-23
111228,626,13,246266.033333,2016-09-24
86293,637,15,190873.833333,2016-09-25
85019,596,8,191369.933333,2016-09-26
93422,581,14,206809.983333,2016-09-27
92350,619,13,206435.033333,2016-09-28
95923,614,5,215337.783333,2016-09-29
104930,570,16,236423.333333,2016-09-30
105564,600,14,232526.566667,2016-10-01
84328,632,12,183646.516667,2016-10-02
83963,600,7,186580.933333,2016-10-03
73274,370,9,163676.483333,2016-10-04
76490,370,16,171196.766667,2016-10-05
93478,523,11,207803.433333,2016-10-06
111356,559,13,249687.55,2016-10-07
121849,580,10,269949.616667,2016-10-08
100174,579,11,220503.816667,2016-10-09
99439,558,13,221655.1,2016-10-10
89352,499,6,202028.45,2016-10-11
92474,542,13,208977.7,2016-10-12
92544,561,14,211209.3,2016-10-13
106417,520,13,242973.416667,2016-10-14
110754,567,12,248299.316667,2016-10-15
89466,540,7,198905.4,2016-10-16
90161,564,9,204697.116667,2016-10-17
93083,564,10,212149.316667,2016-10-18
97496,551,8,220167.95,2016-10-19
104739,724,14,237170.116667,2016-10-20
119968,732,13,275568.333333,2016-10-21
125625,810,10,286307.216667,2016-10-22
103908,940,23,234538.066667,2016-10-23
99292,851,19,228838.766667,2016-10-24
102005,823,17,236628.366667,2016-10-25
103456,849,18,238469.916667,2016-10-26
107193,853,17,245754.366667,2016-10-27
120413,796,18,275923.583333,2016-10-28
125387,792,20,286317.55,2016-10-29
99811,709,11,225912.416667,2016-10-30
100227,583,14,231759.25,2016-10-31
100149,605,20,228004.466667,2016-11-01
100649,652,15,227939.316667,2016-11-02
103649,590,13,235052.166667,2016-11-03
115498,614,11,263346.8,2016-11-04
118464,655,19,266364.75,2016-11-05
100694,593,11,224677.433333,2016-11-06
101378,563,19,227094.166667,2016-11-07
99786,626,19,223530.2,2016-11-08
95417,548,9,215002.733333,2016-11-09
101220,585,13,228705.183333,2016-11-10
118515,617,12,265703.916667,2016-11-11
118634,685,13,262275.166667,2016-11-12
95730,682,15,212461.6,2016-11-13
94999,534,14,215112.85,2016-11-14
97554,570,20,219240.266667,2016-11-15
99176,635,12,223568.516667,2016-11-16
100884,662,15,230041.633333,2016-11-17
114083,571,17,258124.533333,2016-11-18
115438,601,12,257995.85,2016-11-19
94154,591,11,207613.35,2016-11-20
94752,537,19,212851.783333,2016-11-21
96438,578,11,218511.633333,2016-11-22
104697,561,9,237234.583333,2016-11-23
105528,560,9,235157.683333,2016-11-24
100350,537,10,223343.033333,2016-11-25
100546,555,6,222967.066667,2016-11-26
79563,579,12,176641.7,2016-11-27
81192,530,10,182803.933333,2016-11-28
85445,526,13,192732.433333,2016-11-29
