dailyViewcount,numShare,numSubscriber,watchTime,date
397340,7022,288,1558645.38333,2015-12-18
977935,11737,668,3634660.83333,2015-12-19
972715,9441,650,3502481.85,2015-12-20
1173880,9086,721,3847361.28333,2015-12-21
1206535,8243,661,3758473.2,2015-12-22
1108757,7217,592,3447573.05,2015-12-23
1042435,5600,489,3210292.76667,2015-12-24
864912,5058,361,2568104.06667,2015-12-25
808546,4676,302,2404043.83333,2015-12-26
779153,4664,332,2294850.76667,2015-12-27
787732,4629,318,2350546.93333,2015-12-28
750899,4393,316,2245633.48333,2015-12-29
745489,4185,280,2208009.75,2015-12-30
753288,3178,247,2204647.43333,2015-12-31
642989,3225,239,1792588.08333,2016-01-01
694395,3627,237,1968351.06667,2016-01-02
610628,3612,212,1756929.81667,2016-01-03
591398,3320,206,1741694.81667,2016-01-04
573683,3133,235,1704841.43333,2016-01-05
559784,3290,220,1684673.68333,2016-01-06
547235,3135,252,1670449.63333,2016-01-07
559981,3171,282,1728543.88333,2016-01-08
585148,2976,217,1767609.13333,2016-01-09
514412,2950,200,1548682.4,2016-01-10
475306,2769,208,1461167.31667,2016-01-11
453120,2624,189,1413484.9,2016-01-12
445122,2543,192,1390368.9,2016-01-13
433205,2499,210,1359535.9,2016-01-14
443647,2318,190,1394458.26667,2016-01-15
469776,2353,224,1452244.96667,2016-01-16
416172,2278,185,1278909.25,2016-01-17
405320,2040,173,1269524.83333,2016-01-18
407978,2182,191,1283527.11667,2016-01-19
411753,2183,191,1310052.3,2016-01-20
414286,2084,184,1311960.41667,2016-01-21
436104,2108,185,1358488.35,2016-01-22
446639,2112,197,1389550.36667,2016-01-23
393694,2039,184,1219756.53333,2016-01-24
372180,1934,175,1175435.26667,2016-01-25
378408,1890,164,1188012.93333,2016-01-26
385365,1985,178,1205749.96667,2016-01-27
384108,2036,199,1198882.78333,2016-01-28
399293,1877,165,1251621.2,2016-01-29
416851,1890,198,1304542.51667,2016-01-30
350320,1803,140,1086214.6,2016-01-31
331524,1691,142,1022353.71667,2016-02-01
327341,1675,179,1012391.36667,2016-02-02
335059,1703,162,1035115.4,2016-02-03
339386,1707,153,1046950.98333,2016-02-04
344496,1636,129,1066821.26667,2016-02-05
356824,1578,141,1097416.98333,2016-02-06
305047,1457,105,938792.733333,2016-02-07
296891,1519,129,916896.466667,2016-02-08
302819,1479,142,936256.066667,2016-02-09
305629,1520,139,942108.483333,2016-02-10
311842,1553,173,963814.483333,2016-02-11
334572,1540,142,1025748.03333,2016-02-12
358570,1540,142,1089331.25,2016-02-13
312800,1478,134,950211.05,2016-02-14
294629,1498,124,903225.183333,2016-02-15
274109,1420,135,847872.75,2016-02-16
275463,1393,113,848465.75,2016-02-17
270702,1332,145,837164.566667,2016-02-18
286189,1457,130,878099.6,2016-02-19
303001,1425,127,915521.616667,2016-02-20
267527,1390,109,805397.833333,2016-02-21
252302,1278,110,770767.733333,2016-02-22
254235,1217,122,779615.35,2016-02-23
263040,1406,142,810809.083333,2016-02-24
267211,1467,158,823657.2,2016-02-25
273129,1163,104,837865.916667,2016-02-26
280583,1259,153,861413.616667,2016-02-27
242959,1167,111,740287.6,2016-02-28
228735,1221,89,707947.5,2016-02-29
238272,1242,109,729317.5,2016-03-01
245017,1273,111,745004.783333,2016-03-02
251712,1257,111,766796.6,2016-03-03
266669,1329,125,809799.033333,2016-03-04
295237,1330,132,874890.45,2016-03-05
255993,1384,104,757681.683333,2016-03-06
236955,1220,120,709324.3,2016-03-07
237115,1169,112,705319.933333,2016-03-08
236480,1229,113,708589.616667,2016-03-09
247999,1256,133,737904.033333,2016-03-10
267296,1207,148,791034.166667,2016-03-11
290858,1349,144,853917.366667,2016-03-12
250022,1276,119,727202.383333,2016-03-13
233373,1264,102,699322.883333,2016-03-14
234116,1206,104,706320.716667,2016-03-15
236233,1167,91,707635.416667,2016-03-16
243238,1246,111,731843.916667,2016-03-17
254824,1170,127,763168.3,2016-03-18
263379,1204,92,777732.983333,2016-03-19
232766,1126,104,687327.166667,2016-03-20
219701,1066,93,661211.85,2016-03-21
218090,1067,89,658153.216667,2016-03-22
231061,1157,81,694885.333333,2016-03-23
249583,1073,106,750063.116667,2016-03-24
247403,1136,93,731872.15,2016-03-25
246262,1147,122,729150.416667,2016-03-26
220334,1090,101,641424.883333,2016-03-27
210518,1027,87,626448.433333,2016-03-28
204581,1061,63,611583.416667,2016-03-29
208899,1077,90,624199.55,2016-03-30
212709,1048,102,633297.05,2016-03-31
224190,1090,105,661014.516667,2016-04-01
231264,1050,94,679103.766667,2016-04-02
206932,1178,83,602461.5,2016-04-03
197220,1046,90,586138.35,2016-04-04
194667,975,80,584817.766667,2016-04-05
199686,971,96,597915.216667,2016-04-06
204086,1032,104,609818.45,2016-04-07
216792,945,99,639192.666667,2016-04-08
229998,1038,88,675305.75,2016-04-09
208294,1095,94,608820.766667,2016-04-10
191675,1018,93,569998.5,2016-04-11
191086,955,96,567568.866667,2016-04-12
186279,1069,92,556013.616667,2016-04-13
186461,939,78,557530.616667,2016-04-14
197502,905,92,589089.683333,2016-04-15
208221,881,89,610123.716667,2016-04-16
183754,915,73,538147.5,2016-04-17
175747,839,80,524855.266667,2016-04-18
186620,929,86,552574.166667,2016-04-19
183735,986,104,548879.583333,2016-04-20
190437,972,99,559278.233333,2016-04-21
