dailyViewcount,numShare,numSubscriber,watchTime,date
478661,7366,937,1173809.88333,2016-04-29
759846,8262,827,1724624.61667,2016-04-30
835129,10177,1051,1889005.71667,2016-05-01
834034,10824,1101,1981651.3,2016-05-02
821460,8388,891,1921706.73333,2016-05-03
931667,8857,1032,2161846.03333,2016-05-04
994290,9242,991,2368340.15,2016-05-05
977218,9676,757,2388546.86667,2016-05-06
996013,8964,679,2427461.06667,2016-05-07
911219,9316,661,2223299.03333,2016-05-08
944389,8833,700,2378809.23333,2016-05-09
999204,9093,773,2504690.36667,2016-05-10
1074233,8742,757,2722117.61667,2016-05-11
1142373,9513,821,2901441.95,2016-05-12
1186401,9780,784,2983404.46667,2016-05-13
1312758,10071,880,3243338.23333,2016-05-14
1121836,10176,785,2799262.76667,2016-05-15
1075891,10148,731,2775904.71667,2016-05-16
1143454,9399,856,2966629.8,2016-05-17
1142086,9850,808,2988839.6,2016-05-18
1201126,10140,841,3130098.46667,2016-05-19
1259289,9580,856,3284695.13333,2016-05-20
1329261,9960,926,3452911.26667,2016-05-21
1132542,9499,890,2953057.13333,2016-05-22
1099483,8631,762,2934115.31667,2016-05-23
1202619,9285,829,3199046.76667,2016-05-24
1371864,9867,1006,3637053.11667,2016-05-25
1386769,10166,962,3685494.43333,2016-05-26
1440626,10794,950,3798734.45,2016-05-27
1425144,11026,965,3729167.11667,2016-05-28
1325807,11318,814,3438430.23333,2016-05-29
1299377,10296,822,3429342.73333,2016-05-30
1303201,10491,764,3453650.1,2016-05-31
1330974,10953,809,3522258.8,2016-06-01
1355913,11283,760,3560437.21667,2016-06-02
1502596,11340,872,3925693.31667,2016-06-03
1494230,11755,880,3877427.31667,2016-06-04
1279727,11595,760,3331171.55,2016-06-05
1212619,10230,658,3228388.66667,2016-06-06
1239763,10858,694,3295232.93333,2016-06-07
1339014,11513,763,3545585.08333,2016-06-08
1424389,11720,830,3753654.26667,2016-06-09
1520956,12105,824,3967948.76667,2016-06-10
1551816,12678,841,4017042.21667,2016-06-11
1451709,13176,893,3744005.05,2016-06-12
1395584,12661,787,3699489.16667,2016-06-13
1446741,12312,778,3854420.03333,2016-06-14
1522401,12759,861,4040558.28333,2016-06-15
1601619,13618,912,4230532.66667,2016-06-16
1725092,13905,1019,4535994.7,2016-06-17
1747388,14829,1002,4530848.16667,2016-06-18
1622707,15108,977,4171296.31667,2016-06-19
1649836,14695,919,4341193.18333,2016-06-20
1604146,15007,904,4239789.4,2016-06-21
1695562,14858,994,4510907.16667,2016-06-22
1733055,15447,898,4599064.38333,2016-06-23
1834105,15925,920,4863664.46667,2016-06-24
1756327,15583,921,4585886.8,2016-06-25
1563580,15396,846,4058474.03333,2016-06-26
1654148,15212,911,4424482.1,2016-06-27
1715423,15937,894,4601068.98333,2016-06-28
1774152,15615,931,4786601.41667,2016-06-29
1841579,16300,923,4969937.36667,2016-06-30
1922778,16037,905,5139124.73333,2016-07-01
1802003,15993,885,4698758.46667,2016-07-02
1648529,15986,836,4297659.38333,2016-07-03
1712895,16030,858,4558425.66667,2016-07-04
1822428,16196,930,4838893.66667,2016-07-05
1860176,16080,981,4960612.38333,2016-07-06
1953421,16400,979,5220457.88333,2016-07-07
2161716,17630,970,5754865.8,2016-07-08
2228626,18022,1050,5863688.46667,2016-07-09
2061812,17790,1127,5384848.75,2016-07-10
2336746,19030,1198,6249087.4,2016-07-11
2426287,19206,1192,6451743.45,2016-07-12
2440193,19363,1198,6487976.68333,2016-07-13
2557102,19945,1147,6798823.36667,2016-07-14
2632070,20225,1218,6988753.45,2016-07-15
2655961,19620,1206,6988037.93333,2016-07-16
2413813,20211,1151,6288734.63333,2016-07-17
2606336,19914,1250,6962543.21667,2016-07-18
2594660,19769,1185,6952176.43333,2016-07-19
2564760,19626,1192,6852722.58333,2016-07-20
2652718,19548,1193,7098063.66667,2016-07-21
2924453,22000,1383,7770863.43333,2016-07-22
2839297,21279,1307,7460675.6,2016-07-23
2542952,20701,1265,6640101.48333,2016-07-24
2750757,20988,1275,7367893.9,2016-07-25
2932875,21319,1450,7835717.86667,2016-07-26
2947549,21059,1415,7905332.53333,2016-07-27
2992862,21597,1269,8013090.75,2016-07-28
3268921,22802,1398,8727529.31667,2016-07-29
3259999,22964,1451,8611788.01667,2016-07-30
2948435,22777,1354,7766119.01667,2016-07-31
3256641,22873,1446,8719850.83333,2016-08-01
3355139,22944,1413,8964533.95,2016-08-02
3259925,22532,1390,8745906.26667,2016-08-03
3396127,23007,1416,9059311.55,2016-08-04
3367758,22992,1366,8990920.41667,2016-08-05
3304365,22351,1345,8736382.76667,2016-08-06
2893222,21463,1220,7581239.2,2016-08-07
2931929,20600,1274,7855096.18333,2016-08-08
3017439,20749,1298,8060196.66667,2016-08-09
2906487,20282,1284,7802138.86667,2016-08-10
2946931,20918,1212,7872354.83333,2016-08-11
3040846,21906,1198,8083919.21667,2016-08-12
3031133,20883,1285,8004108.4,2016-08-13
2714379,20306,1160,7110427.53333,2016-08-14
2855150,20240,1133,7624901.16667,2016-08-15
2837032,19966,1118,7619188.83333,2016-08-16
2823262,19945,1156,7593872.73333,2016-08-17
2892887,20577,1176,7748157.86667,2016-08-18
3119114,21279,1296,8284887.01667,2016-08-19
3124333,20169,1262,8261033.45,2016-08-20
2778649,19440,1173,7290428.66667,2016-08-21
2904639,18668,1199,7791746.58333,2016-08-22
2938831,18814,1188,7894708.73333,2016-08-23
2954885,18352,1205,7933279.0,2016-08-24
2911369,18083,1119,7825844.38333,2016-08-25
3073673,19870,1137,8193424.88333,2016-08-26
3081130,20430,1171,8128949.5,2016-08-27
2745773,20115,1110,7150786.43333,2016-08-28
2861408,19296,1191,7542797.06667,2016-08-29
2932158,19268,1159,7778068.13333,2016-08-30
2982076,19930,1213,7923468.43333,2016-08-31
2981307,20004,1084,7901421.23333,2016-09-01
3164026,20110,1119,8315781.01667,2016-09-02
3346207,21647,1318,8670781.81667,2016-09-03
2967515,21178,1167,7642685.66667,2016-09-04
2836050,18371,1004,7498818.11667,2016-09-05
2874393,18470,1035,7641678.38333,2016-09-06
2995440,19115,1068,7931371.7,2016-09-07
2975250,18312,1045,7902114.45,2016-09-08
3085632,19180,1079,8134797.75,2016-09-09
3366466,20832,1195,8780311.8,2016-09-10
2897920,19931,1052,7521802.78333,2016-09-11
2707303,17379,879,7192391.38333,2016-09-12
2745731,17355,708,7299091.18333,2016-09-13
2776961,17193,658,7368685.73333,2016-09-14
2790791,16909,956,7395906.46667,2016-09-15
2856165,17238,952,7522194.61667,2016-09-16
3076117,18510,1055,8022780.93333,2016-09-17
2691315,18678,975,6981226.55,2016-09-18
2610399,15579,917,6926569.41667,2016-09-19
2585836,14774,862,6911000.25,2016-09-20
2571602,14699,845,6884600.1,2016-09-21
2570215,15135,773,6867397.31667,2016-09-22
2774022,16151,715,7341286.85,2016-09-23
2979281,17555,976,7817398.1,2016-09-24
2575800,17623,859,6722792.96667,2016-09-25
2419417,15891,735,6467793.6,2016-09-26
2521577,15546,768,6758071.4,2016-09-27
2522961,15362,760,6743133.63333,2016-09-28
2555551,15467,822,6810408.73333,2016-09-29
2689498,15835,870,7121481.58333,2016-09-30
2858090,17349,911,7485001.86667,2016-10-01
2489543,17215,860,6481916.51667,2016-10-02
2291647,14060,747,6109357.56667,2016-10-03
2284265,14166,720,6101136.38333,2016-10-04
