dailyViewcount,numShare,numSubscriber,watchTime,date
3383915,29434,3926,11089350.7667,2013-02-12
7421675,17825,3696,21369839.2333,2013-02-13
7106375,13197,3110,20793575.9833,2013-02-14
6228289,14504,3442,18537695.75,2013-02-15
1783466,16240,3867,6574836.46667,2013-02-16
1397890,12954,2703,5466042.08333,2013-02-17
987205,9132,1732,4144766.91667,2013-02-18
1066447,5383,986,4430659.13333,2013-02-19
1403914,4677,794,5654655.46667,2013-02-20
1715054,4927,975,6640006.25,2013-02-21
1638479,4719,836,6476937.0,2013-02-22
1712804,4591,919,6813646.0,2013-02-23
1538902,4296,718,6416557.11667,2013-02-24
1283072,3639,598,5599429.91667,2013-02-25
1212372,3242,552,5259009.88333,2013-02-26
1196947,3478,593,5181442.66667,2013-02-27
1341694,3942,602,5821356.06667,2013-02-28
1402529,3597,646,5922365.85,2013-03-01
1543830,3846,759,6353560.41667,2013-03-02
1479645,3690,714,6430946.4,2013-03-03
1316944,3388,622,5918495.98333,2013-03-04
1259326,3298,520,5587501.91667,2013-03-05
1403499,3524,603,5966308.63333,2013-03-06
1355882,3385,558,5884245.9,2013-03-07
1325216,3109,558,5512606.23333,2013-03-08
1427429,3213,636,5655672.55,2013-03-09
1362569,3295,597,5541315.63333,2013-03-10
1263184,3174,595,5256058.68333,2013-03-11
1285793,3062,594,5298561.01667,2013-03-12
1246976,2768,574,5072213.13333,2013-03-13
1204447,2886,534,4987101.63333,2013-03-14
1197336,2727,516,4713544.3,2013-03-15
1261747,2646,589,4836538.76667,2013-03-16
1212301,2850,528,4758018.13333,2013-03-17
1091677,2753,481,4544889.35,2013-03-18
1042492,2506,484,4277120.58333,2013-03-19
1064775,2686,470,4313516.56667,2013-03-20
1081879,2707,516,4318805.45,2013-03-21
1177627,2540,586,4500388.88333,2013-03-22
1277274,2618,582,4748070.55,2013-03-23
1135343,2606,577,4344190.86667,2013-03-24
1097566,2532,576,4381856.83333,2013-03-25
1170441,2633,576,4572386.06667,2013-03-26
