dailyViewcount,numShare,numSubscriber,watchTime,date
2274173,17542,741,4403045.26667,2016-09-02
3032818,19064,778,5802673.11667,2016-09-03
2756544,19821,725,5139187.08333,2016-09-04
2938330,24401,730,5772185.31667,2016-09-05
2230757,22541,628,4558596.78333,2016-09-06
3171626,24666,634,6520888.33333,2016-09-07
1451411,22468,487,3362582.18333,2016-09-08
1444350,21918,472,3388768.55,2016-09-09
1628496,20873,434,3832076.96667,2016-09-10
1400553,20074,390,3240365.15,2016-09-11
1424128,21715,388,3452773.66667,2016-09-12
1377618,20644,243,3375308.71667,2016-09-13
1308627,19328,293,3206778.08333,2016-09-14
1403512,19218,353,3490917.68333,2016-09-15
1886791,22199,392,4489961.1,2016-09-16
1693400,21145,349,4244325.76667,2016-09-17
1434391,21778,300,3531072.98333,2016-09-18
1452549,19616,334,3684312.38333,2016-09-19
1522853,19146,385,3871603.61667,2016-09-20
1587388,19394,358,4006830.63333,2016-09-21
1584979,19739,292,4038039.8,2016-09-22
1683967,20753,233,4342816.21667,2016-09-23
1926571,22216,365,4909494.71667,2016-09-24
1641058,22410,337,4087233.48333,2016-09-25
1636228,20513,390,4206025.33333,2016-09-26
1627297,21513,346,4204646.16667,2016-09-27
1552553,20135,330,4061377.8,2016-09-28
1476567,19502,261,3871792.23333,2016-09-29
1635432,21440,277,4292253.71667,2016-09-30
1864018,24028,297,4843210.1,2016-10-01
1497742,23582,261,3805322.15,2016-10-02
1467372,21050,291,3861644.91667,2016-10-03
1522095,21381,293,4003905.01667,2016-10-04
1521453,20661,250,4027529.86667,2016-10-05
1555027,24899,266,4108924.21667,2016-10-06
1851313,24453,316,4887623.68333,2016-10-07
2042124,25549,309,5379016.28333,2016-10-08
1676893,27207,278,4319199.85,2016-10-09
1627462,24101,315,4318859.16667,2016-10-10
1658345,24245,308,4389254.16667,2016-10-11
1743254,25331,320,4605409.18333,2016-10-12
1752215,25281,319,4655929.76667,2016-10-13
1903375,25649,323,5082375.9,2016-10-14
2297808,28533,359,6030433.25,2016-10-15
1910146,27977,350,4910352.51667,2016-10-16
1826101,24932,342,4825317.26667,2016-10-17
1849299,25002,338,4904469.75,2016-10-18
1904456,25792,362,5045556.95,2016-10-19
2021296,26930,349,5362990.28333,2016-10-20
2266834,27252,423,5974369.46667,2016-10-21
2721332,30480,444,7074886.81667,2016-10-22
2158890,28857,383,5516075.96667,2016-10-23
1979377,25327,372,5209987.6,2016-10-24
