dailyViewcount,numShare,numSubscriber,watchTime,date
1397612,19897,3178,5554961.18333,2014-03-24
2303758,14375,2656,8180660.28333,2014-03-25
1836522,9099,1762,6656694.56667,2014-03-26
1536060,6771,1259,5671669.28333,2014-03-27
1593488,6330,1385,5746605.55,2014-03-28
1588258,5520,1310,5693847.05,2014-03-29
1421772,5129,1206,5062493.61667,2014-03-30
1275453,4749,1086,4708456.0,2014-03-31
1289838,4625,1082,4706768.36667,2014-04-01
1319783,4570,1053,4834442.71667,2014-04-02
1405476,4419,1105,5017339.05,2014-04-03
1482244,4595,1162,5203826.31667,2014-04-04
1424152,4051,1016,5078601.41667,2014-04-05
1285608,3708,922,4601236.13333,2014-04-06
1207255,3655,867,4428630.13333,2014-04-07
1224137,3643,925,4501711.83333,2014-04-08
1243555,3705,904,4578033.31667,2014-04-09
1766610,6143,1491,5780052.7,2014-04-10
1315036,3732,945,4881174.15,2014-04-11
1432278,3135,1084,5164627.86667,2014-04-12
1333295,2954,964,4774237.05,2014-04-13
1391685,3489,1035,5038803.83333,2014-04-14
1444218,3758,1122,5206289.51667,2014-04-15
1345746,3497,992,4949945.51667,2014-04-16
1328654,3258,879,4907493.26667,2014-04-17
1365928,3098,791,4955105.25,2014-04-18
1206611,2943,737,4433060.53333,2014-04-19
1097489,2457,679,3994766.15,2014-04-20
1168901,2793,834,4303328.4,2014-04-21
1186739,3092,809,4383797.43333,2014-04-22
1165916,3071,829,4289760.28333,2014-04-23
1208224,3295,825,4483646.75,2014-04-24
1279571,3114,822,4693033.75,2014-04-25
1301453,3011,852,4726998.66667,2014-04-26
1285299,3001,853,4564967.2,2014-04-27
1260196,3082,832,4580441.03333,2014-04-28
1152818,2932,742,4250414.91667,2014-04-29
1165664,2763,684,4273793.61667,2014-04-30
1208722,2796,775,4406630.95,2014-05-01
1251819,3092,753,4534143.38333,2014-05-02
1242958,3047,742,4466582.48333,2014-05-03
1069385,2776,636,3863898.63333,2014-05-04
1016462,2714,646,3756875.45,2014-05-05
1018841,2663,652,3744273.98333,2014-05-06
1051585,2601,605,3859808.35,2014-05-07
1100591,2629,630,4048370.28333,2014-05-08
921415,1959,493,3436578.68333,2014-05-09
926574,1700,502,3415820.71667,2014-05-10
749576,1439,367,2786067.63333,2014-05-11
674755,1447,348,2630859.65,2014-05-12
672568,1539,382,2627268.6,2014-05-13
656590,1442,376,2580710.4,2014-05-14
664374,1363,395,2599656.45,2014-05-15
725358,1522,413,2794938.38333,2014-05-16
775535,1416,420,2946242.83333,2014-05-17
654226,1338,349,2496895.23333,2014-05-18
585054,1515,343,2276015.91667,2014-05-19
598423,1464,310,2317553.98333,2014-05-20
612907,1538,360,2375066.5,2014-05-21
605450,1445,388,2344266.65,2014-05-22
668438,1483,364,2548361.36667,2014-05-23
683150,1453,387,2551199.96667,2014-05-24
619247,1223,341,2319616.15,2014-05-25
592559,1320,358,2239653.28333,2014-05-26
560763,1262,348,2139823.38333,2014-05-27
580474,1245,349,2213831.96667,2014-05-28
626694,1247,348,2360648.03333,2014-05-29
660601,1346,384,2473198.66667,2014-05-30
655388,1239,374,2438044.55,2014-05-31
557012,1159,299,2078869.11667,2014-06-01
532775,1167,321,2035457.68333,2014-06-02
543713,1298,309,2070866.15,2014-06-03
569836,1271,335,2156712.98333,2014-06-04
575854,1211,327,2173446.56667,2014-06-05
615490,1202,372,2306546.73333,2014-06-06
634740,1104,373,2355547.38333,2014-06-07
550323,1060,331,2034308.15,2014-06-08
537806,1140,298,2005888.93333,2014-06-09
541219,1082,299,2017166.1,2014-06-10
565182,1088,333,2110897.31667,2014-06-11
547142,1050,317,2047688.96667,2014-06-12
558789,949,266,2082581.61667,2014-06-13
573146,993,291,2119534.23333,2014-06-14
497621,872,271,1829361.18333,2014-06-15
486859,1024,289,1816919.06667,2014-06-16
499122,938,263,1856103.91667,2014-06-17
505143,1011,300,1879807.65,2014-06-18
508321,942,276,1887689.66667,2014-06-19
545617,949,264,2029976.91667,2014-06-20
548296,999,291,2017259.31667,2014-06-21
474682,884,250,1750452.26667,2014-06-22
472412,950,252,1752995.21667,2014-06-23
469062,1016,256,1736909.48333,2014-06-24
467244,889,258,1737130.13333,2014-06-25
480180,880,259,1772537.83333,2014-06-26
530359,1039,264,1943638.98333,2014-06-27
494582,825,231,1797289.73333,2014-06-28
440906,804,263,1591275.38333,2014-06-29
520027,1011,321,1917200.56667,2014-06-30
503764,1117,313,1864194.51667,2014-07-01
504849,983,294,1874848.28333,2014-07-02
507788,975,315,1886138.88333,2014-07-03
495619,855,229,1814980.3,2014-07-04
479591,838,237,1746585.83333,2014-07-05
438367,843,243,1581476.1,2014-07-06
437063,881,251,1609823.38333,2014-07-07
443390,830,257,1628948.56667,2014-07-08
434080,781,217,1596297.53333,2014-07-09
466383,902,247,1709670.95,2014-07-10
494967,857,277,1818468.78333,2014-07-11
494150,814,262,1778319.33333,2014-07-12
419079,681,214,1488915.11667,2014-07-13
438633,785,240,1594913.5,2014-07-14
441721,768,262,1589210.58333,2014-07-15
446146,853,246,1604679.33333,2014-07-16
453214,797,246,1613589.96667,2014-07-17
475653,793,224,1695388.93333,2014-07-18
473797,704,228,1669049.66667,2014-07-19
411425,749,227,1440551.45,2014-07-20
433043,767,246,1530769.3,2014-07-21
437603,788,272,1560232.51667,2014-07-22
439656,736,251,1574816.18333,2014-07-23
434176,811,270,1559281.85,2014-07-24
460721,808,263,1644723.73333,2014-07-25
455365,780,211,1614936.26667,2014-07-26
398448,741,210,1402515.93333,2014-07-27
427302,782,241,1522108.56667,2014-07-28
428929,706,242,1526364.98333,2014-07-29
435804,795,230,1556044.08333,2014-07-30
455678,721,275,1627992.3,2014-07-31
494690,864,273,1756925.05,2014-08-01
623270,950,290,2150683.86667,2014-08-02
678163,1087,351,2265175.61667,2014-08-03
708942,1147,415,2414887.95,2014-08-04
727497,1194,393,2500570.8,2014-08-05
733973,1198,398,2529364.7,2014-08-06
748394,1117,407,2583804.46667,2014-08-07
781172,1162,409,2699955.01667,2014-08-08
773016,1100,384,2636704.81667,2014-08-09
677047,971,360,2281475.56667,2014-08-10
709518,1012,344,2420762.9,2014-08-11
712051,1070,378,2427696.81667,2014-08-12
722942,1066,364,2468197.16667,2014-08-13
745975,1167,356,2550342.6,2014-08-14
854457,1222,404,2887139.93333,2014-08-15
918083,1331,343,3023134.08333,2014-08-16
789208,1143,331,2600575.38333,2014-08-17
776929,1186,327,2612467.53333,2014-08-18
741557,1133,344,2528000.81667,2014-08-19
764656,1147,385,2598902.15,2014-08-20
777607,1122,340,2650045.41667,2014-08-21
830029,1021,402,2816324.21667,2014-08-22
856114,1174,355,2866996.23333,2014-08-23
752851,1046,341,2507797.48333,2014-08-24
722292,1085,343,2427088.83333,2014-08-25
738662,1109,332,2516507.11667,2014-08-26
719651,1135,328,2471670.91667,2014-08-27
725431,1113,314,2498030.83333,2014-08-28
768308,1188,321,2632369.38333,2014-08-29
783430,1059,341,2636575.05,2014-08-30
698581,995,302,2321742.81667,2014-08-31
679784,963,300,2292566.93333,2014-09-01
645248,975,269,2208901.61667,2014-09-02
647843,904,273,2225611.55,2014-09-03
638076,831,232,2201815.68333,2014-09-04
696941,944,281,2387946.26667,2014-09-05
769642,897,312,2571797.03333,2014-09-06
648381,775,243,2166855.68333,2014-09-07
607603,855,248,2074231.16667,2014-09-08
618955,822,265,2116985.26667,2014-09-09
633953,812,281,2168279.06667,2014-09-10
650838,852,265,2222322.81667,2014-09-11
720185,884,285,2440069.05,2014-09-12
788210,855,328,2605121.53333,2014-09-13
667136,859,268,2203178.25,2014-09-14
601265,848,267,2045469.03333,2014-09-15
613720,891,266,2089492.35,2014-09-16
615838,881,250,2098808.7,2014-09-17
600184,848,261,2025589.85,2014-09-18
689993,904,248,2326702.23333,2014-09-19
761483,909,290,2526244.7,2014-09-20
620904,774,250,2048048.11667,2014-09-21
593789,878,236,1989567.66667,2014-09-22
634320,891,265,2113102.8,2014-09-23
658291,896,284,2178365.35,2014-09-24
668557,980,262,2215750.71667,2014-09-25
719532,999,280,2381207.86667,2014-09-26
761089,888,267,2495906.4,2014-09-27
636330,853,283,2078985.23333,2014-09-28
590909,885,237,1974464.45,2014-09-29
583819,760,266,1958138.65,2014-09-30
607729,709,262,2041763.56667,2014-10-01
662956,809,272,2201496.06667,2014-10-02
715850,815,264,2359970.81667,2014-10-03
780493,792,267,2512039.3,2014-10-04
671806,736,282,2150062.43333,2014-10-05
618227,729,237,2029541.98333,2014-10-06
628436,748,263,2070613.98333,2014-10-07
640064,724,266,2111213.45,2014-10-08
660002,752,254,2177268.38333,2014-10-09
720583,760,270,2368688.65,2014-10-10
780865,767,300,2525074.86667,2014-10-11
646612,637,261,2074118.8,2014-10-12
622327,722,257,2044978.91667,2014-10-13
634871,754,284,2082392.58333,2014-10-14
665001,746,278,2191226.68333,2014-10-15
654677,691,229,2168999.05,2014-10-16
720014,725,289,2362663.58333,2014-10-17
776577,795,276,2512497.03333,2014-10-18
641952,634,273,2066090.21667,2014-10-19
609499,623,223,2010743.35,2014-10-20
620714,653,246,2049926.53333,2014-10-21
636369,717,280,2087615.48333,2014-10-22
669109,720,251,2198101.98333,2014-10-23
723064,693,256,2363017.73333,2014-10-24
749139,688,228,2416142.7,2014-10-25
663068,660,205,2084708.43333,2014-10-26
626151,631,213,2026524.78333,2014-10-27
593240,686,226,1928855.41667,2014-10-28
641508,629,233,2080125.65,2014-10-29
662600,678,232,2143572.21667,2014-10-30
719657,663,239,2323445.1,2014-10-31
768449,685,290,2413106.43333,2014-11-01
673848,658,212,2141968.15,2014-11-02
603381,654,242,1979894.03333,2014-11-03
603381,655,221,1987213.88333,2014-11-04
600655,655,246,1997330.05,2014-11-05
641815,628,239,2119124.0,2014-11-06
711576,745,229,2322945.55,2014-11-07
771966,725,235,2483236.38333,2014-11-08
642969,600,230,2065731.05,2014-11-09
614484,625,256,2014879.76667,2014-11-10
633320,661,259,2066804.98333,2014-11-11
663092,719,277,2143402.86667,2014-11-12
677459,656,254,2181783.46667,2014-11-13
732306,719,268,2355661.11667,2014-11-14
777975,705,242,2483327.95,2014-11-15
649910,654,227,2059702.0,2014-11-16
598319,588,246,1948344.91667,2014-11-17
599886,656,213,1953390.55,2014-11-18
612670,564,212,1994215.98333,2014-11-19
634701,600,223,2058855.23333,2014-11-20
696749,660,254,2238476.53333,2014-11-21
757076,668,228,2403496.56667,2014-11-22
633399,600,197,1994865.0,2014-11-23
589719,566,214,1915421.63333,2014-11-24
606827,560,181,1966098.16667,2014-11-25
647362,599,213,2097324.03333,2014-11-26
655995,568,218,2112811.91667,2014-11-27
673051,585,219,2161715.56667,2014-11-28
695578,585,234,2223939.9,2014-11-29
600974,544,221,1904702.41667,2014-11-30
585103,572,202,1906290.6,2014-12-01
600080,547,221,1952306.23333,2014-12-02
601319,578,196,1960296.33333,2014-12-03
632117,566,219,2051835.6,2014-12-04
692170,582,244,2236337.51667,2014-12-05
747273,609,239,2380390.31667,2014-12-06
641896,554,186,2043586.85,2014-12-07
606008,556,196,1970308.21667,2014-12-08
612351,604,202,1974383.11667,2014-12-09
639833,529,206,2060366.58333,2014-12-10
644830,507,217,2080061.66667,2014-12-11
698062,585,201,2249143.11667,2014-12-12
749247,597,223,2381565.81667,2014-12-13
620613,471,226,1962421.91667,2014-12-14
609632,540,209,1967582.78333,2014-12-15
571403,524,222,1880434.95,2014-12-16
602681,559,200,1974543.8,2014-12-17
650963,538,214,2089726.81667,2014-12-18
710580,622,223,2257590.56667,2014-12-19
734428,581,235,2299309.43333,2014-12-20
648558,536,214,2007135.28333,2014-12-21
651454,553,220,2058926.23333,2014-12-22
684637,540,237,2189579.28333,2014-12-23
723906,460,208,2315208.1,2014-12-24
641675,425,187,1963398.48333,2014-12-25
675392,559,223,2114297.21667,2014-12-26
690063,516,209,2156307.41667,2014-12-27
627377,512,212,1948563.51667,2014-12-28
678980,544,312,2142634.73333,2014-12-29
701200,540,268,2211167.38333,2014-12-30
878580,535,214,2786682.88333,2014-12-31
603204,406,172,1842776.01667,2015-01-01
670699,469,246,2105351.11667,2015-01-02
683784,476,223,2120099.13333,2015-01-03
610458,475,189,1883424.08333,2015-01-04
611614,495,215,1929515.45,2015-01-05
610172,502,211,1931333.36667,2015-01-06
607283,531,214,1940003.7,2015-01-07
629782,512,214,1995344.7,2015-01-08
713683,588,240,2228077.05,2015-01-09
786949,555,236,2404398.5,2015-01-10
660684,471,209,2030799.35,2015-01-11
600943,493,215,1916081.8,2015-01-12
622210,456,213,1984714.13333,2015-01-13
