dailyViewcount,numShare,numSubscriber,watchTime,date
4322664,111697,7075,10943540.4333,2017-02-16
4149472,59251,4447,10778419.4833,2017-02-17
2697145,32569,2114,7160768.4,2017-02-18
2198453,24724,1707,6070800.0,2017-02-19
2463969,24987,1785,6801550.8,2017-02-20
2230472,20828,1487,6293451.71667,2017-02-21
2115889,18489,1223,5933370.13333,2017-02-22
1964122,16364,1090,5617006.88333,2017-02-23
1798762,14162,777,5103697.48333,2017-02-24
1738915,12860,698,4874330.2,2017-02-25
1503983,12328,649,4277626.23333,2017-02-26
1427400,10670,576,4172705.5,2017-02-27
1393560,9624,535,4066963.0,2017-02-28
1348525,9234,518,3955659.16667,2017-03-01
1315326,8810,484,3900894.08333,2017-03-02
1394506,8494,501,4040893.48333,2017-03-03
1448368,8407,511,4093302.75,2017-03-04
1285148,8615,503,3659228.8,2017-03-05
1223702,7395,409,3595134.96667,2017-03-06
1234564,7201,480,3593878.15,2017-03-07
1223456,6807,448,3565271.88333,2017-03-08
1297682,7065,487,3755720.28333,2017-03-09
1403463,7620,566,3996815.56667,2017-03-10
1302366,6726,427,3700983.96667,2017-03-11
1221925,6393,381,3499335.15,2017-03-12
1146869,5531,336,3399334.75,2017-03-13
1193344,5325,356,3524220.36667,2017-03-14
1076001,5171,319,3213463.38333,2017-03-15
923980,4547,247,2799307.6,2017-03-16
936173,4254,261,2793326.88333,2017-03-17
978601,4403,300,2859583.7,2017-03-18
827598,4392,248,2444348.46667,2017-03-19
804439,4101,214,2429182.3,2017-03-20
784813,3954,219,2392385.9,2017-03-21
785455,3907,219,2388394.28333,2017-03-22
780267,3817,226,2359335.83333,2017-03-23
803007,3757,232,2403356.58333,2017-03-24
807512,3720,218,2377897.96667,2017-03-25
719728,4101,230,2130572.21667,2017-03-26
710218,3962,188,2154215.15,2017-03-27
692146,3374,185,2094086.15,2017-03-28
710170,3532,199,2147994.18333,2017-03-29
712137,3362,207,2145551.56667,2017-03-30
755339,3279,185,2243706.96667,2017-03-31
760959,3213,203,2217506.15,2017-04-01
670413,3466,192,1964281.68333,2017-04-02
620739,3062,181,1864109.61667,2017-04-03
581713,2828,128,1745720.48333,2017-04-04
576794,2882,126,1746311.4,2017-04-05
573035,2921,134,1732745.98333,2017-04-06
577191,2813,146,1726451.83333,2017-04-07
591106,2850,147,1751170.96667,2017-04-08
548692,3051,129,1640982.83333,2017-04-09
559564,2834,124,1704616.73333,2017-04-10
558649,2940,132,1699140.2,2017-04-11
559790,2884,137,1698278.8,2017-04-12
577377,2874,147,1742099.15,2017-04-13
562056,2790,126,1675797.03333,2017-04-14
534796,2607,109,1574539.3,2017-04-15
493636,2531,116,1437128.9,2017-04-16
503635,2792,136,1501785.98333,2017-04-17
494175,2591,140,1480651.31667,2017-04-18
492903,2601,138,1473976.88333,2017-04-19
540274,2618,165,1607091.85,2017-04-20
522985,2528,142,1550586.28333,2017-04-21
511055,2456,134,1495873.68333,2017-04-22
461200,2589,139,1349896.03333,2017-04-23
452968,2271,145,1357384.61667,2017-04-24
460302,2382,107,1384619.03333,2017-04-25
464329,2291,120,1389304.11667,2017-04-26
465939,2268,129,1387795.38333,2017-04-27
483496,2208,124,1423074.03333,2017-04-28
531274,2350,132,1528282.4,2017-04-29
487980,2299,131,1399693.21667,2017-04-30
596474,2506,157,1670557.8,2017-05-01
623476,2416,174,1750749.95,2017-05-02
530290,2238,141,1544794.23333,2017-05-03
450977,2111,112,1338346.16667,2017-05-04
474329,2056,115,1398988.38333,2017-05-05
484413,2041,117,1400317.33333,2017-05-06
422259,2073,113,1229519.93333,2017-05-07
409290,1989,108,1213585.36667,2017-05-08
402544,1985,109,1200457.46667,2017-05-09
407953,1909,117,1223679.21667,2017-05-10
397024,2038,113,1197775.08333,2017-05-11
444908,1955,110,1329086.93333,2017-05-12
445151,1969,94,1309531.81667,2017-05-13
407824,2128,98,1199855.23333,2017-05-14
377344,1819,100,1136854.88333,2017-05-15
383042,1788,90,1157734.41667,2017-05-16
382850,1846,87,1158197.08333,2017-05-17
369749,1959,67,1115132.51667,2017-05-18
393472,1901,85,1180000.38333,2017-05-19
406886,1879,87,1203209.3,2017-05-20
339350,1915,87,1011282.88333,2017-05-21
355953,1896,113,1077681.53333,2017-05-22
