dailyViewcount,numShare,numSubscriber,watchTime,date
145661,2984,64,421950.783333,2017-03-03
106749,1533,57,292868.35,2017-03-04
109883,1404,90,298529.216667,2017-03-05
113618,1256,76,298767.883333,2017-03-06
103303,1175,71,277975.883333,2017-03-07
94518,920,85,257981.333333,2017-03-08
115834,1202,91,308608.666667,2017-03-09
167867,1768,122,461208.55,2017-03-10
146439,1275,68,413880.883333,2017-03-11
136205,1377,76,377026.85,2017-03-12
136043,1357,93,383014.366667,2017-03-13
119709,1153,78,338540.85,2017-03-14
105238,1027,59,312130.383333,2017-03-15
107453,875,51,319072.883333,2017-03-16
106294,814,49,310729.266667,2017-03-17
114736,823,37,316285.883333,2017-03-18
87295,679,31,251697.166667,2017-03-19
86141,668,21,258349.466667,2017-03-20
83764,696,30,250147.55,2017-03-21
80329,573,22,240717.05,2017-03-22
77413,555,25,232546.016667,2017-03-23
103856,876,26,303274.433333,2017-03-24
89197,681,17,265159.166667,2017-03-25
80010,643,20,240361.733333,2017-03-26
84764,612,19,256852.566667,2017-03-27
89980,623,27,271495.95,2017-03-28
90317,591,24,274104.316667,2017-03-29
87148,577,17,267571.0,2017-03-30
89127,524,17,274152.083333,2017-03-31
83830,442,16,256011.216667,2017-04-01
74230,471,7,226079.5,2017-04-02
69058,439,5,218794.316667,2017-04-03
65045,455,16,206035.066667,2017-04-04
62810,441,11,198553.716667,2017-04-05
62413,416,12,196378.716667,2017-04-06
62709,398,12,197961.85,2017-04-07
60693,351,7,190254.0,2017-04-08
55641,349,9,171771.316667,2017-04-09
57249,350,7,181292.116667,2017-04-10
57632,359,6,182004.733333,2017-04-11
58433,393,12,184536.166667,2017-04-12
56473,365,4,178603.816667,2017-04-13
56296,349,8,176134.033333,2017-04-14
52001,291,6,162452.516667,2017-04-15
47176,259,5,144998.35,2017-04-16
48978,323,6,154316.0,2017-04-17
50231,311,6,159291.316667,2017-04-18
49021,324,9,154753.0,2017-04-19
50545,365,8,159966.583333,2017-04-20
53144,314,4,168620.7,2017-04-21
51724,290,9,160281.55,2017-04-22
48915,303,7,151567.1,2017-04-23
51243,351,4,161284.3,2017-04-24
53271,315,7,167535.616667,2017-04-25
52941,307,11,164707.8,2017-04-26
54176,314,4,166599.1,2017-04-27
57138,303,7,176464.95,2017-04-28
58532,236,3,177233.1,2017-04-29
52623,277,17,160112.216667,2017-04-30
50321,237,9,154168.9,2017-05-01
49310,273,10,152317.966667,2017-05-02
51027,278,1,158726.216667,2017-05-03
51613,276,5,159163.683333,2017-05-04
52762,237,12,161953.1,2017-05-05
51394,241,12,155199.216667,2017-05-06
46396,244,2,140002.883333,2017-05-07
47513,229,6,148417.366667,2017-05-08
48091,257,6,149524.833333,2017-05-09
47151,223,6,146654.7,2017-05-10
48485,270,3,149244.416667,2017-05-11
56339,238,10,173911.016667,2017-05-12
58838,244,8,179649.916667,2017-05-13
53742,252,4,164207.816667,2017-05-14
52059,241,5,160792.883333,2017-05-15
53127,257,2,163684.266667,2017-05-16
52902,228,9,163251.883333,2017-05-17
49742,221,8,152879.416667,2017-05-18
51000,258,5,155842.416667,2017-05-19
50474,233,6,151784.916667,2017-05-20
43394,239,3,129850.883333,2017-05-21
48477,271,13,146466.15,2017-05-22
