dailyViewcount,numShare,numSubscriber,watchTime,date
514,1,0,1252.78333333,2016-08-24
815,4,0,2026.83333333,2016-08-25
1133,1,0,2817.93333333,2016-08-26
1645,0,0,3759.93333333,2016-08-27
3966,6,0,9146.66666667,2016-08-28
6005,1,0,13573.0166667,2016-08-29
6784,9,0,15901.9333333,2016-08-30
7300,6,0,17316.5,2016-08-31
8213,19,0,19830.8666667,2016-09-01
10644,29,1,23993.8833333,2016-09-02
11115,42,1,25354.2,2016-09-03
10055,40,0,22834.0666667,2016-09-04
9602,41,0,22127.7166667,2016-09-05
11199,32,1,26673.2333333,2016-09-06
11403,36,0,27070.4333333,2016-09-07
12416,43,1,29336.8833333,2016-09-08
13543,32,0,31798.1666667,2016-09-09
13425,56,1,31991.7166667,2016-09-10
11365,82,1,27443.5333333,2016-09-11
11862,45,0,29253.3,2016-09-12
11703,64,2,29042.5166667,2016-09-13
12044,78,0,30061.9,2016-09-14
12741,82,0,30994.1,2016-09-15
13666,70,0,33506.2333333,2016-09-16
12704,66,0,30972.5333333,2016-09-17
11102,84,0,26820.7333333,2016-09-18
12931,96,0,31998.25,2016-09-19
12792,70,0,31181.4,2016-09-20
13702,64,0,34158.6666667,2016-09-21
14320,75,0,35245.2833333,2016-09-22
16003,64,2,38639.1333333,2016-09-23
14774,68,0,35236.3666667,2016-09-24
12751,79,2,30962.0166667,2016-09-25
13446,73,4,32878.0666667,2016-09-26
13649,64,1,33665.2666667,2016-09-27
14494,75,0,35387.4166667,2016-09-28
15424,87,0,37385.0,2016-09-29
14774,46,0,35985.7333333,2016-09-30
13887,74,0,33332.55,2016-10-01
11517,70,0,27524.1833333,2016-10-02
13012,72,1,31623.2,2016-10-03
13784,53,2,33716.75,2016-10-04
13021,16,0,31646.0833333,2016-10-05
13183,31,1,32814.8833333,2016-10-06
16364,79,1,39003.7666667,2016-10-07
16584,107,1,39400.55,2016-10-08
14902,104,2,35785.6833333,2016-10-09
15970,109,1,38496.0333333,2016-10-10
16710,93,1,40551.5666667,2016-10-11
17469,79,1,42712.65,2016-10-12
17746,102,3,43594.25,2016-10-13
19395,101,2,46844.1666667,2016-10-14
18439,101,0,43843.6666667,2016-10-15
16027,90,0,38631.8666667,2016-10-16
17881,73,2,44243.6666667,2016-10-17
17519,85,1,43172.9833333,2016-10-18
19319,92,1,46965.9333333,2016-10-19
21500,107,1,51400.0166667,2016-10-20
21963,80,2,51746.6333333,2016-10-21
21265,79,3,49503.65,2016-10-22
18395,107,1,43359.6166667,2016-10-23
20137,69,1,47631.1,2016-10-24
20145,66,1,48127.2666667,2016-10-25
21468,82,6,51010.9833333,2016-10-26
22887,79,4,54124.15,2016-10-27
26166,85,4,60362.9,2016-10-28
25169,115,0,58226.6833333,2016-10-29
21989,80,1,51343.6666667,2016-10-30
22493,54,4,54150.4166667,2016-10-31
22417,92,0,53091.9666667,2016-11-01
24563,91,7,57703.75,2016-11-02
26161,92,4,61708.6,2016-11-03
30410,119,3,71487.9,2016-11-04
28463,125,2,66314.5,2016-11-05
24323,98,5,57377.6,2016-11-06
23986,90,0,57428.95,2016-11-07
22314,91,0,53487.5333333,2016-11-08
23490,75,4,56768.5833333,2016-11-09
24008,76,2,58580.0,2016-11-10
30118,110,1,71583.2,2016-11-11
31571,157,1,76300.6,2016-11-12
25632,137,1,61918.2666667,2016-11-13
28331,150,4,67922.55,2016-11-14
29304,124,1,70678.6333333,2016-11-15
31352,139,3,75831.7333333,2016-11-16
33699,146,2,80366.4166667,2016-11-17
36000,115,6,84566.0333333,2016-11-18
34391,136,2,80708.95,2016-11-19
27814,123,2,65333.9666667,2016-11-20
29764,145,5,71480.8166667,2016-11-21
30349,135,1,71894.5166667,2016-11-22
36009,127,8,84524.8,2016-11-23
33088,140,2,76225.95,2016-11-24
31337,135,3,72659.0833333,2016-11-25
31467,136,2,74406.45,2016-11-26
26186,138,0,61884.0666667,2016-11-27
27234,121,3,64719.0333333,2016-11-28
28741,115,4,68444.4833333,2016-11-29
32251,126,3,75273.3833333,2016-11-30
32386,122,3,77015.5166667,2016-12-01
30662,105,1,72259.05,2016-12-02
26965,100,2,63017.3,2016-12-03
27973,119,2,66088.3666667,2016-12-04
28989,128,2,68572.6833333,2016-12-05
28699,141,4,67892.2333333,2016-12-06
26157,122,6,61835.7333333,2016-12-07
25815,106,8,61191.3833333,2016-12-08
26508,130,4,62118.2333333,2016-12-09
26163,114,0,60568.9166667,2016-12-10
24285,109,0,56178.3166667,2016-12-11
25021,100,0,58208.5,2016-12-12
25111,101,4,59000.4,2016-12-13
23105,105,3,55208.3333333,2016-12-14
22272,103,3,53952.2333333,2016-12-15
26094,89,7,59763.4333333,2016-12-16
25517,114,5,58809.45,2016-12-17
19688,104,1,47138.6333333,2016-12-18
20564,112,3,48650.4833333,2016-12-19
20424,108,2,48743.5,2016-12-20
21984,89,2,51933.8666667,2016-12-21
22430,99,3,53315.95,2016-12-22
22842,98,1,54222.7666667,2016-12-23
22192,119,1,51576.2833333,2016-12-24
24760,135,2,56935.6833333,2016-12-25
23865,102,0,56663.7166667,2016-12-26
24114,104,2,57342.1666667,2016-12-27
22516,99,2,53833.8166667,2016-12-28
22424,110,0,52676.95,2016-12-29
26071,93,2,61733.0666667,2016-12-30
27865,105,0,65329.45,2016-12-31
20194,73,1,47402.05,2017-01-01
19879,98,6,46809.3833333,2017-01-02
19668,72,1,46478.1166667,2017-01-03
