dailyViewcount,numShare,numSubscriber,watchTime,date
582416,10268,401,3166986.25,2015-09-23
554921,4691,385,2720972.18333,2015-09-24
470128,2747,432,2092170.58333,2015-09-25
564575,2548,475,2496259.76667,2015-09-26
533753,2379,407,2318941.63333,2015-09-27
432212,1708,288,1878999.38333,2015-09-28
314054,1144,197,1342611.4,2015-09-29
235783,876,100,1057369.9,2015-09-30
239998,853,134,1082007.5,2015-10-01
259133,919,108,1164372.28333,2015-10-02
318864,1130,129,1423088.48333,2015-10-03
263208,1022,122,1165563.2,2015-10-04
230205,951,119,1050726.66667,2015-10-05
220369,966,92,1015572.38333,2015-10-06
220882,967,102,1023657.66667,2015-10-07
217547,969,106,1001247.25,2015-10-08
226886,953,120,1036809.38333,2015-10-09
235747,943,93,1070562.38333,2015-10-10
203661,787,76,916720.283333,2015-10-11
188648,786,87,865214.316667,2015-10-12
180328,825,80,825129.516667,2015-10-13
184249,763,85,843981.466667,2015-10-14
184677,718,89,852065.283333,2015-10-15
198216,816,94,913461.566667,2015-10-16
199617,755,96,903838.25,2015-10-17
165392,666,71,745563.783333,2015-10-18
154720,636,82,725663.966667,2015-10-19
154137,665,68,722375.066667,2015-10-20
150387,576,77,703026.416667,2015-10-21
150131,570,64,700336.933333,2015-10-22
175469,601,81,817097.5,2015-10-23
174519,576,69,800283.55,2015-10-24
147076,500,80,670474.566667,2015-10-25
139699,548,54,645093.566667,2015-10-26
145880,568,75,677221.35,2015-10-27
135554,499,67,629842.216667,2015-10-28
151790,561,72,713642.75,2015-10-29
164506,574,66,769448.466667,2015-10-30
169736,591,68,791220.1,2015-10-31
154300,574,72,696932.35,2015-11-01
146900,573,68,665710.116667,2015-11-02
142922,506,62,657481.05,2015-11-03
140118,542,66,648482.8,2015-11-04
148009,541,66,693642.116667,2015-11-05
155320,558,72,715725.65,2015-11-06
174347,555,94,771834.366667,2015-11-07
207038,678,222,726114.933333,2015-11-08
154415,576,120,615288.683333,2015-11-09
137868,527,81,602066.833333,2015-11-10
142613,478,73,648387.4,2015-11-11
141064,475,84,647351.133333,2015-11-12
145381,466,63,665552.466667,2015-11-13
142822,431,56,644366.1,2015-11-14
114897,386,39,518382.033333,2015-11-15
109648,437,49,501318.216667,2015-11-16
113093,455,42,511496.1,2015-11-17
116220,398,54,528146.1,2015-11-18
121180,440,45,559014.866667,2015-11-19
132973,421,63,616235.45,2015-11-20
140103,495,55,639629.016667,2015-11-21
121311,433,45,542635.55,2015-11-22
116579,450,53,535291.366667,2015-11-23
123400,462,57,565716.083333,2015-11-24
130362,449,59,606865.583333,2015-11-25
130832,375,45,602072.883333,2015-11-26
129929,432,47,593257.983333,2015-11-27
140146,463,40,627278.383333,2015-11-28
126669,468,34,564502.016667,2015-11-29
128280,459,44,591913.216667,2015-11-30
106480,399,32,502654.066667,2015-12-01
105333,336,32,513277.25,2015-12-02
102485,353,29,507338.8,2015-12-03
110443,347,31,549200.183333,2015-12-04
114041,333,33,564854.616667,2015-12-05
94810,318,24,455357.2,2015-12-06
84210,293,33,409946.433333,2015-12-07
88716,285,22,432020.966667,2015-12-08
90448,298,27,456136.383333,2015-12-09
103703,345,30,508048.233333,2015-12-10
118443,354,26,578168.1,2015-12-11
121143,356,26,589631.566667,2015-12-12
92559,273,20,456756.183333,2015-12-13
100041,317,28,502753.666667,2015-12-14
94737,333,20,480418.266667,2015-12-15
97258,395,27,499651.933333,2015-12-16
94835,350,15,485748.066667,2015-12-17
97050,309,16,501652.583333,2015-12-18
94292,315,16,493309.55,2015-12-19
72219,259,9,376539.316667,2015-12-20
71054,256,12,372539.25,2015-12-21
66685,237,11,342213.05,2015-12-22
73112,268,15,381381.066667,2015-12-23
75927,208,17,397984.55,2015-12-24
66958,251,12,331192.4,2015-12-25
63270,224,12,312220.0,2015-12-26
57922,207,13,280839.6,2015-12-27
59494,254,10,289597.85,2015-12-28
60886,253,13,300254.9,2015-12-29
64398,279,13,319584.816667,2015-12-30
81106,224,7,405682.433333,2015-12-31
63820,260,11,305963.516667,2016-01-01
66735,255,15,317709.283333,2016-01-02
55228,275,15,255288.733333,2016-01-03
52554,269,7,245295.7,2016-01-04
51498,234,16,239558.583333,2016-01-05
52181,204,8,244396.7,2016-01-06
51029,223,15,237995.516667,2016-01-07
54494,234,9,256396.566667,2016-01-08
62159,239,12,285244.65,2016-01-09
50648,246,6,225756.116667,2016-01-10
45514,222,11,205445.066667,2016-01-11
46090,203,11,209877.95,2016-01-12
46681,180,14,212292.716667,2016-01-13
47862,209,7,219453.916667,2016-01-14
52810,239,10,247124.283333,2016-01-15
58156,220,13,261557.316667,2016-01-16
48108,208,9,213465.733333,2016-01-17
44992,210,8,203687.65,2016-01-18
41937,201,10,189396.683333,2016-01-19
42373,179,6,192838.666667,2016-01-20
45322,218,10,206747.35,2016-01-21
50920,201,14,230367.483333,2016-01-22
54108,207,9,245572.916667,2016-01-23
45216,215,6,202072.383333,2016-01-24
39858,206,10,184036.15,2016-01-25
41453,201,14,188560.733333,2016-01-26
42101,212,5,190574.283333,2016-01-27
41966,221,10,189967.2,2016-01-28
45256,177,9,213853.333333,2016-01-29
47929,195,5,224788.05,2016-01-30
39494,198,6,179191.083333,2016-01-31
36888,255,8,167431.166667,2016-02-01
37362,166,4,169558.416667,2016-02-02
38330,213,6,176910.316667,2016-02-03
38794,179,8,181594.083333,2016-02-04
47017,230,4,223648.116667,2016-02-05
52978,255,10,251790.966667,2016-02-06
42759,195,3,201170.4,2016-02-07
37109,161,5,178440.616667,2016-02-08
39388,172,10,189331.966667,2016-02-09
39618,187,7,190678.383333,2016-02-10
44124,196,17,214229.2,2016-02-11
52805,238,5,258506.833333,2016-02-12
56334,238,5,269446.833333,2016-02-13
49254,190,8,234644.266667,2016-02-14
44878,181,3,210532.0,2016-02-15
42103,191,7,199404.7,2016-02-16
42683,238,10,201981.516667,2016-02-17
42868,188,9,201501.983333,2016-02-18
48577,201,5,231247.45,2016-02-19
52352,232,4,245929.916667,2016-02-20
43688,192,4,203115.25,2016-02-21
39159,199,7,184679.933333,2016-02-22
39215,167,5,183518.55,2016-02-23
40059,155,10,191314.3,2016-02-24
39891,167,8,189250.4,2016-02-25
44520,203,4,212606.533333,2016-02-26
52586,202,9,260374.333333,2016-02-27
42192,174,4,203856.7,2016-02-28
36876,172,6,180013.183333,2016-02-29
37760,198,7,183645.45,2016-03-01
38354,176,9,186333.366667,2016-03-02
37875,186,6,180676.833333,2016-03-03
39096,161,5,185250.783333,2016-03-04
43368,202,4,199328.766667,2016-03-05
36487,183,6,162865.866667,2016-03-06
33300,134,8,152023.266667,2016-03-07
33751,151,3,157431.383333,2016-03-08
33549,155,6,156085.25,2016-03-09
35056,173,5,161405.433333,2016-03-10
39256,169,3,182907.85,2016-03-11
41909,203,9,190436.65,2016-03-12
35309,179,4,158992.483333,2016-03-13
33316,177,5,153654.216667,2016-03-14
34168,142,6,156971.05,2016-03-15
35790,192,7,163673.8,2016-03-16
39075,172,9,178758.766667,2016-03-17
41097,174,5,188858.316667,2016-03-18
46324,145,9,211487.633333,2016-03-19
40251,151,6,181466.35,2016-03-20
38087,196,4,174454.45,2016-03-21
38413,149,2,180133.916667,2016-03-22
43028,168,2,210597.3,2016-03-23
47045,177,5,229888.65,2016-03-24
49230,162,6,235093.8,2016-03-25
47058,175,5,224861.316667,2016-03-26
40557,134,2,189426.133333,2016-03-27
38244,178,7,181236.066667,2016-03-28
38024,157,3,180014.716667,2016-03-29
37728,155,6,179014.666667,2016-03-30
39129,173,3,188121.6,2016-03-31
42098,168,3,199380.783333,2016-04-01
41671,158,5,194602.6,2016-04-02
32548,185,9,144705.083333,2016-04-03
32345,165,4,146488.216667,2016-04-04
30335,154,4,138350.966667,2016-04-05
30970,174,9,139988.7,2016-04-06
31499,127,7,143430.316667,2016-04-07
34333,165,6,155222.35,2016-04-08
36291,160,6,162920.283333,2016-04-09
31133,170,7,139068.666667,2016-04-10
27836,169,3,124323.7,2016-04-11
27896,143,4,125034.416667,2016-04-12
27088,128,6,123967.916667,2016-04-13
28501,126,4,127499.483333,2016-04-14
31314,102,2,141172.466667,2016-04-15
34542,136,2,153259.4,2016-04-16
29335,131,4,127130.583333,2016-04-17
24358,109,2,109693.2,2016-04-18
22952,141,2,105467.733333,2016-04-19
20986,113,5,98432.3833333,2016-04-20
21496,105,4,97733.2666667,2016-04-21
26453,112,5,122491.933333,2016-04-22
31182,115,5,143175.1,2016-04-23
26479,145,3,118563.766667,2016-04-24
23911,104,6,109011.733333,2016-04-25
24275,112,4,110825.9,2016-04-26
18842,86,4,87174.5333333,2016-04-27
19406,130,2,90521.3166667,2016-04-28
22045,122,2,102414.083333,2016-04-29
24920,117,3,115648.95,2016-04-30
21621,129,2,98676.3166667,2016-05-01
19877,124,4,91150.8166667,2016-05-02
20636,119,4,96765.0333333,2016-05-03
20266,121,3,95341.1166667,2016-05-04
20623,124,3,96427.6833333,2016-05-05
20195,114,1,95482.25,2016-05-06
22144,122,2,103569.15,2016-05-07
18848,108,1,87344.4333333,2016-05-08
17783,90,3,81967.5,2016-05-09
18538,101,1,86761.1333333,2016-05-10
20038,121,1,94568.7833333,2016-05-11
19559,106,2,94204.1833333,2016-05-12
21693,87,3,103785.716667,2016-05-13
23591,121,4,113277.783333,2016-05-14
19730,90,3,93162.0166667,2016-05-15
18337,100,1,88088.2,2016-05-16
18052,74,0,88721.2,2016-05-17
16084,72,1,76517.2,2016-05-18
15800,86,2,75572.65,2016-05-19
17866,74,2,86368.0166667,2016-05-20
19661,79,2,94770.4,2016-05-21
17372,78,1,83443.9166667,2016-05-22
16220,92,2,78610.2333333,2016-05-23
17303,84,1,82675.45,2016-05-24
18011,83,5,86533.6833333,2016-05-25
18575,93,3,89898.7333333,2016-05-26
23924,116,6,114586.616667,2016-05-27
22219,97,3,107808.9,2016-05-28
21792,105,2,102440.5,2016-05-29
20761,116,1,100588.633333,2016-05-30
19976,101,1,97627.9666667,2016-05-31
19810,108,2,96739.15,2016-06-01
19754,87,6,97221.25,2016-06-02
22263,96,2,109554.866667,2016-06-03
21865,83,4,108236.133333,2016-06-04
17902,86,4,85724.3166667,2016-06-05
16930,81,1,81421.85,2016-06-06
