dailyViewcount,numShare,numSubscriber,watchTime,date
950148,9593,1268,2730093.35,2016-03-26
891526,7617,801,2419431.68333,2016-03-27
793331,7576,650,2240128.48333,2016-03-28
822341,7788,782,2479773.75,2016-03-29
1071556,9229,1232,3338038.5,2016-03-30
1307895,9478,1091,4212831.01667,2016-03-31
1467068,8906,1143,4754401.43333,2016-04-01
1417582,8224,958,4410958.48333,2016-04-02
1366664,8034,864,4313775.81667,2016-04-03
1369285,7403,733,4461413.98333,2016-04-04
1252219,6938,648,4179090.48333,2016-04-05
1678564,7133,692,5132865.21667,2016-04-06
1150544,6605,499,3862772.08333,2016-04-07
1460858,6845,561,4944465.36667,2016-04-08
1648854,7282,679,5541819.25,2016-04-09
1565337,7488,636,5258564.33333,2016-04-10
1596013,7249,636,5515823.01667,2016-04-11
1633738,6829,601,5621469.26667,2016-04-12
1660874,6425,642,5800790.33333,2016-04-13
1689823,6485,634,5850745.76667,2016-04-14
1676620,5807,546,5905335.85,2016-04-15
1705865,5840,493,5849428.68333,2016-04-16
1598242,5994,572,5399225.01667,2016-04-17
1635037,5785,590,5702233.9,2016-04-18
1492826,5494,494,5302456.58333,2016-04-19
1472180,5470,477,5264355.46667,2016-04-20
1714721,6145,528,6047904.85,2016-04-21
1961625,5940,595,6875628.2,2016-04-22
1965428,6095,546,6867950.46667,2016-04-23
1809289,6397,574,6278499.98333,2016-04-24
1781392,6142,591,6288307.35,2016-04-25
1663799,5940,513,5883592.93333,2016-04-26
1657856,5650,486,5898191.73333,2016-04-27
1833104,6871,557,6487129.41667,2016-04-28
1944445,7270,539,6859522.6,2016-04-29
1911523,7249,502,6717634.16667,2016-04-30
1474049,6850,415,5144584.43333,2016-05-01
1440813,6311,403,5100820.75,2016-05-02
1742498,6840,448,6034144.16667,2016-05-03
2020736,7326,454,6864252.4,2016-05-04
2033440,7061,494,7023224.1,2016-05-05
1608582,6170,352,5655902.38333,2016-05-06
1685003,6454,314,5745360.01667,2016-05-07
1441556,6374,304,4905506.33333,2016-05-08
1368329,6099,307,4767082.18333,2016-05-09
1415814,6387,297,4920774.36667,2016-05-10
1505719,6492,378,5139182.86667,2016-05-11
1519654,6146,336,5144281.61667,2016-05-12
1675057,6230,348,5653682.2,2016-05-13
1847820,6441,332,6185869.73333,2016-05-14
1551649,6371,321,5245675.15,2016-05-15
1492026,5939,310,5116172.86667,2016-05-16
1407113,5947,324,4887713.33333,2016-05-17
1420456,5735,335,4921312.31667,2016-05-18
1453100,5853,311,5015633.88333,2016-05-19
1573957,5794,311,5400359.96667,2016-05-20
1548935,5625,304,5256974.16667,2016-05-21
1346972,5527,241,4558858.56667,2016-05-22
1268490,5573,293,4392918.55,2016-05-23
1284588,5507,299,4387328.36667,2016-05-24
1273956,5507,299,4302877.95,2016-05-25
1321635,5494,352,4426085.6,2016-05-26
1485555,5676,394,4913720.5,2016-05-27
1431480,5426,306,4737631.01667,2016-05-28
1315618,5368,291,4324544.25,2016-05-29
1272023,5255,312,4274360.2,2016-05-30
1248356,5223,306,4203631.23333,2016-05-31
1296057,5325,328,4383650.96667,2016-06-01
1288054,5380,335,4335794.85,2016-06-02
1365503,5007,286,4586729.88333,2016-06-03
1382915,5243,299,4604682.95,2016-06-04
1197250,5236,261,3961639.46667,2016-06-05
1188462,5069,279,4004031.41667,2016-06-06
1190442,4953,308,4034616.28333,2016-06-07
