dailyViewcount,numShare,numSubscriber,watchTime,date
47685,856,39,120412.85,2015-11-24
42404,373,65,110636.916667,2015-11-25
46143,359,77,122352.783333,2015-11-26
39158,410,80,103210.366667,2015-11-27
40918,418,74,110594.383333,2015-11-28
33550,331,63,90927.2833333,2015-11-29
15785,145,19,44844.0666667,2015-11-30
14058,97,14,38435.7666667,2015-12-01
11968,84,20,32438.2333333,2015-12-02
12485,109,18,35360.55,2015-12-03
14994,105,19,42752.6333333,2015-12-04
15825,108,21,45571.7,2015-12-05
13904,104,16,39959.3833333,2015-12-06
13577,96,23,38717.0833333,2015-12-07
12806,103,17,36807.0,2015-12-08
13057,120,20,38034.25,2015-12-09
13451,104,15,38248.5333333,2015-12-10
14856,120,21,42635.0666667,2015-12-11
13349,73,8,38955.9,2015-12-12
12313,95,14,36539.9833333,2015-12-13
12708,98,10,36636.8833333,2015-12-14
13167,99,14,38415.0666667,2015-12-15
13203,105,13,38362.1666667,2015-12-16
12043,93,13,34806.9,2015-12-17
12595,96,12,36457.1,2015-12-18
13373,77,7,38222.0,2015-12-19
11537,74,10,33100.85,2015-12-20
12183,102,19,34922.1,2015-12-21
11276,103,9,32525.15,2015-12-22
11309,75,13,33285.9833333,2015-12-23
10208,65,8,30055.0833333,2015-12-24
9117,56,5,25861.8833333,2015-12-25
9519,89,12,27639.85,2015-12-26
9337,69,13,26653.5333333,2015-12-27
9626,75,11,27806.4166667,2015-12-28
9942,86,8,28347.4166667,2015-12-29
10323,94,6,29650.6666667,2015-12-30
10919,59,8,32664.65,2015-12-31
9612,74,10,27011.85,2016-01-01
10970,86,14,30753.9666667,2016-01-02
10014,97,9,28147.3333333,2016-01-03
10639,111,21,29758.05,2016-01-04
10859,94,19,30470.6833333,2016-01-05
11305,103,10,31619.7333333,2016-01-06
11076,99,17,31297.2,2016-01-07
11288,86,10,32738.3166667,2016-01-08
11638,78,16,33282.8666667,2016-01-09
11165,98,10,30405.55,2016-01-10
10601,76,14,28920.5,2016-01-11
10805,97,11,30613.6,2016-01-12
10721,98,7,30138.8166667,2016-01-13
13290,103,6,38755.05,2016-01-14
14321,112,20,42502.3666667,2016-01-15
14273,97,18,41743.85,2016-01-16
13123,114,20,37768.8166667,2016-01-17
12773,104,10,36736.2333333,2016-01-18
12321,81,20,35583.8666667,2016-01-19
11837,95,10,34187.8333333,2016-01-20
12851,119,20,36620.0166667,2016-01-21
12984,82,14,36936.6666667,2016-01-22
13432,116,11,38876.6333333,2016-01-23
12133,101,10,34388.1333333,2016-01-24
12024,91,11,33957.1,2016-01-25
13066,121,8,36546.6,2016-01-26
13908,102,8,39338.8333333,2016-01-27
15456,106,15,42896.7666667,2016-01-28
19349,111,28,53479.9833333,2016-01-29
19304,109,20,54943.8333333,2016-01-30
16604,125,16,46990.8166667,2016-01-31
14290,85,15,40287.85,2016-02-01
13561,100,17,38996.0666667,2016-02-02
14344,91,16,41451.8666667,2016-02-03
