dailyViewcount,numShare,numSubscriber,watchTime,date
390481,6755,1008,1303173.48333,2014-05-01
965527,7521,2110,3026481.56667,2014-05-02
531460,2090,1168,1628715.25,2014-05-03
412425,1332,890,1214097.7,2014-05-04
334337,878,669,981500.85,2014-05-05
326664,752,688,954222.083333,2014-05-06
407380,758,619,1082070.51667,2014-05-07
347217,645,455,950177.116667,2014-05-08
286135,651,421,854217.1,2014-05-09
314023,617,440,924235.083333,2014-05-10
266789,472,393,789245.4,2014-05-11
220291,366,290,672722.466667,2014-05-12
213296,427,298,662590.4,2014-05-13
206609,420,284,647719.266667,2014-05-14
212788,404,295,664388.6,2014-05-15
234929,451,376,716683.583333,2014-05-16
262625,485,381,805990.966667,2014-05-17
221723,388,271,684555.016667,2014-05-18
216541,363,293,661259.233333,2014-05-19
206288,323,263,640958.783333,2014-05-20
203260,388,271,634646.716667,2014-05-21
209587,358,309,649215.016667,2014-05-22
230228,396,351,702940.783333,2014-05-23
260292,418,382,798175.183333,2014-05-24
213931,317,250,665488.3,2014-05-25
188799,305,240,587186.4,2014-05-26
188875,286,265,585641.683333,2014-05-27
206717,345,254,628429.816667,2014-05-28
204997,338,294,628382.533333,2014-05-29
245251,390,438,738586.133333,2014-05-30
251240,419,402,757190.133333,2014-05-31
217512,352,331,660985.366667,2014-06-01
188007,309,254,574337.783333,2014-06-02
186825,312,255,572824.266667,2014-06-03
196225,268,212,600043.116667,2014-06-04
195965,333,266,597571.316667,2014-06-05
205560,332,286,617232.933333,2014-06-06
243314,367,294,730426.216667,2014-06-07
238565,323,318,734573.25,2014-06-08
209352,285,264,647956.383333,2014-06-09
208748,272,258,639297.633333,2014-06-10
212480,280,248,652350.8,2014-06-11
201427,266,250,617395.333333,2014-06-12
205341,248,233,615018.55,2014-06-13
225526,263,276,675292.55,2014-06-14
209827,244,238,622078.183333,2014-06-15
193427,233,237,582629.483333,2014-06-16
210482,287,267,625036.983333,2014-06-17
207860,252,230,619877.166667,2014-06-18
195785,262,203,587296.916667,2014-06-19
201615,208,209,597695.516667,2014-06-20
211536,275,229,623282.533333,2014-06-21
196264,223,214,579541.083333,2014-06-22
179265,261,204,536833.85,2014-06-23
172747,219,198,518676.05,2014-06-24
171020,171,192,513712.516667,2014-06-25
177352,229,248,534534.866667,2014-06-26
189649,250,225,564421.75,2014-06-27
182087,191,190,541714.483333,2014-06-28
161037,175,161,479147.883333,2014-06-29
158542,179,184,475171.8,2014-06-30
161423,169,186,479922.466667,2014-07-01
168645,193,181,500380.133333,2014-07-02
166492,186,232,495700.6,2014-07-03
163210,184,202,483626.833333,2014-07-04
169003,207,204,501333.3,2014-07-05
154880,190,187,458171.866667,2014-07-06
175395,216,219,514496.716667,2014-07-07
184759,232,241,534398.016667,2014-07-08
189876,239,259,542383.683333,2014-07-09
183476,240,207,538964.883333,2014-07-10
174538,212,216,512795.366667,2014-07-11
163360,212,195,480322.316667,2014-07-12
153111,194,193,442904.016667,2014-07-13
161278,207,182,474765.916667,2014-07-14
164782,191,202,480764.4,2014-07-15
159576,211,167,470580.233333,2014-07-16
159179,175,205,472488.616667,2014-07-17
160503,167,213,470204.583333,2014-07-18
176712,208,223,501631.633333,2014-07-19
150956,160,177,433401.15,2014-07-20
155895,169,201,452674.25,2014-07-21
150916,171,182,441557.116667,2014-07-22
146184,175,173,429302.983333,2014-07-23
151145,175,163,438970.7,2014-07-24
157081,188,187,453624.333333,2014-07-25
145745,159,168,422133.533333,2014-07-26
134495,146,177,384213.55,2014-07-27
141998,134,187,407461.333333,2014-07-28
140850,146,146,408208.116667,2014-07-29
137970,184,165,404232.533333,2014-07-30
150661,170,201,434975.133333,2014-07-31
151609,205,183,436443.516667,2014-08-01
146784,188,183,426675.683333,2014-08-02
137181,181,142,395309.316667,2014-08-03
137197,162,158,399408.983333,2014-08-04
140196,161,153,406371.033333,2014-08-05
139675,176,180,404417.316667,2014-08-06
140055,136,202,405484.033333,2014-08-07
144407,156,166,417801.783333,2014-08-08
141843,217,215,411274.6,2014-08-09
130915,181,165,376023.8,2014-08-10
136513,141,165,395764.85,2014-08-11
133310,176,149,386039.15,2014-08-12
133239,153,137,387475.866667,2014-08-13
135708,137,164,394958.783333,2014-08-14
136401,155,153,393290.333333,2014-08-15
135296,145,140,389605.966667,2014-08-16
125879,150,137,359759.683333,2014-08-17
127178,131,123,369257.15,2014-08-18
124625,131,147,360222.333333,2014-08-19
124020,147,131,356910.283333,2014-08-20
126498,152,158,365573.483333,2014-08-21
127212,104,178,362185.7,2014-08-22
134871,138,192,383800.866667,2014-08-23
122277,142,151,347197.166667,2014-08-24
113550,145,133,323837.75,2014-08-25
113347,144,124,325118.366667,2014-08-26
112220,117,124,323719.5,2014-08-27
116459,126,135,328147.4,2014-08-28
115630,122,117,327826.483333,2014-08-29
120047,134,142,340733.733333,2014-08-30
108466,113,116,308000.15,2014-08-31
105504,90,109,299871.0,2014-09-01
98810,110,102,286725.05,2014-09-02
99147,103,128,287183.45,2014-09-03
96866,94,97,283902.6,2014-09-04
102265,110,114,295032.516667,2014-09-05
117655,98,129,336136.35,2014-09-06
99310,108,116,284304.1,2014-09-07
85579,88,86,248479.416667,2014-09-08
85990,94,92,251825.733333,2014-09-09
89529,96,83,262191.466667,2014-09-10
87599,110,113,255387.466667,2014-09-11
93699,138,112,268888.766667,2014-09-12
107380,102,107,304255.15,2014-09-13
94479,100,105,269805.2,2014-09-14
76204,84,66,220306.7,2014-09-15
77298,81,93,224365.3,2014-09-16
79530,87,71,231486.816667,2014-09-17
80046,95,90,231720.0,2014-09-18
82127,89,91,237507.266667,2014-09-19
97087,94,84,279757.95,2014-09-20
84067,89,109,242288.166667,2014-09-21
66914,75,68,196286.983333,2014-09-22
70907,84,84,208151.65,2014-09-23
71990,99,82,210936.3,2014-09-24
73054,86,74,216433.7,2014-09-25
85167,94,100,245972.933333,2014-09-26
102761,114,99,294129.166667,2014-09-27
91488,94,102,262468.483333,2014-09-28
72643,98,83,211641.716667,2014-09-29
74715,95,74,216653.5,2014-09-30
80069,88,92,230176.466667,2014-10-01
82789,101,97,238041.366667,2014-10-02
92092,109,98,260674.116667,2014-10-03
108842,97,134,305128.55,2014-10-04
97310,94,118,273644.216667,2014-10-05
79908,77,80,230133.383333,2014-10-06
81869,74,66,235278.4,2014-10-07
84545,60,89,242717.433333,2014-10-08
83076,75,66,236445.366667,2014-10-09
89557,96,79,254689.933333,2014-10-10
103125,107,104,292596.533333,2014-10-11
87082,62,96,248425.2,2014-10-12
71754,72,79,206602.5,2014-10-13
69946,70,68,203428.516667,2014-10-14
75418,73,78,219941.55,2014-10-15
77122,87,90,223107.6,2014-10-16
85849,85,90,245200.066667,2014-10-17
98853,88,84,279693.65,2014-10-18
84327,74,106,237804.7,2014-10-19
70500,64,81,202517.633333,2014-10-20
72155,67,63,205770.683333,2014-10-21
75617,81,75,215391.083333,2014-10-22
80035,73,99,227841.25,2014-10-23
