dailyViewcount,numShare,numSubscriber,watchTime,date
3864916,82856,3422,9634596.31667,2017-03-04
2325467,52340,1586,6310994.41667,2017-03-05
2629215,49063,1740,7293033.86667,2017-03-06
2763497,43955,1612,7671230.51667,2017-03-07
2634591,37901,1329,7346358.38333,2017-03-08
2781652,37363,1241,7749723.23333,2017-03-09
3106433,37099,1404,8397241.78333,2017-03-10
3061138,34273,1181,8445169.0,2017-03-11
2448052,31762,862,6782250.65,2017-03-12
2246001,27800,780,6535732.56667,2017-03-13
2240360,27097,746,6511194.86667,2017-03-14
2265048,26245,724,6546894.66667,2017-03-15
2354172,26106,748,6811083.18333,2017-03-16
2457786,25341,728,7090267.53333,2017-03-17
2714098,26341,700,7752020.9,2017-03-18
2266340,25517,628,6418223.85,2017-03-19
2291448,26363,602,6636700.03333,2017-03-20
2301120,25088,686,6718895.6,2017-03-21
2372138,24774,696,6941438.1,2017-03-22
2360961,24298,656,6919673.85,2017-03-23
2641486,25204,667,7652705.56667,2017-03-24
3030500,27604,718,8736186.65,2017-03-25
2540746,26886,593,7275407.5,2017-03-26
2404002,24435,606,7109200.53333,2017-03-27
2271607,23058,568,6709273.71667,2017-03-28
2423958,22752,613,7199605.96667,2017-03-29
2552090,24026,574,7560006.18333,2017-03-30
3043466,27011,721,8885937.63333,2017-03-31
3294236,27788,675,9545069.8,2017-04-01
2718538,26604,589,7803917.13333,2017-04-02
2698401,25008,589,7964509.73333,2017-04-03
2838548,25203,618,8360483.55,2017-04-04
2841706,24800,619,8402968.55,2017-04-05
2930849,25946,655,8618678.26667,2017-04-06
3116998,26627,626,9135225.35,2017-04-07
3440236,28265,610,9950665.03333,2017-04-08
2903820,27302,550,8315199.91667,2017-04-09
3130156,27354,615,9127813.48333,2017-04-10
3025919,26464,548,8826443.0,2017-04-11
2907922,26616,567,8471368.65,2017-04-12
2833530,26150,523,8191026.41667,2017-04-13
2636468,23856,464,7542117.31667,2017-04-14
2950872,23089,501,8563818.16667,2017-04-15
2674903,24893,545,7664753.0,2017-04-16
3004473,27701,620,8701159.43333,2017-04-17
3202050,26468,677,9232319.5,2017-04-18
3084122,25367,682,8961205.08333,2017-04-19
3180910,26234,655,9295674.06667,2017-04-20
3356869,26862,666,9763520.38333,2017-04-21
3720764,27427,684,10786689.85,2017-04-22
2979584,25885,589,8564713.91667,2017-04-23
3031798,24797,619,8867781.53333,2017-04-24
3157990,25255,618,9262725.15,2017-04-25
3313234,25020,603,9739031.75,2017-04-26
3479489,26839,682,10179198.3167,2017-04-27
3888313,29653,748,11240374.7667,2017-04-28
4275517,31193,749,12317624.9667,2017-04-29
3626157,28297,712,10325420.2,2017-04-30
3567803,28307,667,10232657.4833,2017-05-01
3289341,24641,608,9665057.95,2017-05-02
3528647,24811,621,10363504.2667,2017-05-03
3752885,26351,729,10991631.6833,2017-05-04
4166242,27670,727,12159171.8667,2017-05-05
4524944,28431,757,13128620.25,2017-05-06
3970581,27893,681,11430206.05,2017-05-07
3888615,25470,663,11402495.9167,2017-05-08
3919605,25273,662,11499738.4167,2017-05-09
3948332,26145,682,11564838.9,2017-05-10
4021020,26834,685,11808214.7,2017-05-11
4982839,28330,664,14714459.55,2017-05-12
5365165,29106,730,15762171.3833,2017-05-13
4083898,27379,580,11762631.1333,2017-05-14
4194281,25892,622,12374056.9667,2017-05-15
4082561,24939,630,12154247.2833,2017-05-16
4265080,24964,611,12668108.7667,2017-05-17
4140743,26189,598,12062540.2833,2017-05-18
4416665,26735,675,12817315.1,2017-05-19
4556185,27580,691,13158316.9,2017-05-20
3486551,26022,565,10045533.35,2017-05-21
3759600,23971,549,10922569.35,2017-05-22
