dailyViewcount,numShare,numSubscriber,watchTime,date
881574,21595,0,1558224.1,2017-01-26
1059691,17643,0,1899433.6,2017-01-27
896567,13637,770,1666414.46667,2017-01-28
691716,10474,510,1319848.03333,2017-01-29
665660,9364,462,1345903.43333,2017-01-30
644418,8746,469,1319972.48333,2017-01-31
646240,8207,447,1357625.4,2017-02-01
644552,7221,304,1381622.26667,2017-02-02
637634,6544,292,1358776.2,2017-02-03
632565,6599,269,1354665.56667,2017-02-04
566530,6542,222,1218462.06667,2017-02-05
553570,5800,224,1229599.1,2017-02-06
560446,5512,225,1259737.53333,2017-02-07
586382,5432,200,1339839.71667,2017-02-08
612204,5551,209,1406921.71667,2017-02-09
593372,5151,211,1350308.43333,2017-02-10
607026,5569,242,1384564.33333,2017-02-11
569665,5540,200,1320572.43333,2017-02-12
495919,4229,134,1211354.15,2017-02-13
454073,3851,127,1110629.35,2017-02-14
461846,4252,141,1117714.15,2017-02-15
466054,4115,158,1127610.68333,2017-02-16
516795,4320,189,1222673.75,2017-02-17
562226,4596,183,1323202.85,2017-02-18
495058,5328,182,1168091.61667,2017-02-19
467301,4285,179,1136601.13333,2017-02-20
435906,3836,121,1070691.98333,2017-02-21
501805,4131,181,1211057.91667,2017-02-22
474109,3657,138,1150822.45,2017-02-23
529847,4130,151,1262693.58333,2017-02-24
540036,4015,138,1275705.06667,2017-02-25
426020,3985,133,1016284.9,2017-02-26
432415,3824,127,1029208.98333,2017-02-27
405839,3395,127,976520.633333,2017-02-28
413512,3644,129,998764.3,2017-03-01
406208,3496,120,987728.233333,2017-03-02
430976,3706,125,1021331.48333,2017-03-03
473474,3976,132,1111142.51667,2017-03-04
410079,4073,111,962851.216667,2017-03-05
375250,3242,99,912538.783333,2017-03-06
380164,3255,97,925889.3,2017-03-07
400084,3350,121,966800.416667,2017-03-08
430580,4322,118,1041431.7,2017-03-09
446647,4484,158,1082507.53333,2017-03-10
494009,4534,130,1188530.41667,2017-03-11
427836,4343,117,1026966.13333,2017-03-12
377506,3504,119,943267.166667,2017-03-13
380509,3502,96,942218.316667,2017-03-14
393209,3752,115,975285.333333,2017-03-15
395722,3474,116,981850.65,2017-03-16
426759,3846,114,1041016.31667,2017-03-17
465278,4608,142,1106394.05,2017-03-18
396864,4353,124,948221.1,2017-03-19
361704,4023,107,890614.8,2017-03-20
360336,3672,108,893639.833333,2017-03-21
365760,3595,106,897794.716667,2017-03-22
362398,3553,105,888297.6,2017-03-23
402711,3735,98,968293.6,2017-03-24
447981,4629,126,1077611.8,2017-03-25
392400,4394,96,947147.75,2017-03-26
350562,3487,98,874316.85,2017-03-27
345426,3425,71,857579.8,2017-03-28
357523,3564,79,883194.833333,2017-03-29
346529,3390,86,855090.983333,2017-03-30
360546,3613,101,868184.866667,2017-03-31
396954,3820,84,938285.383333,2017-04-01
361788,3977,93,837552.2,2017-04-02
331263,3256,104,798942.3,2017-04-03
322782,3233,80,778249.8,2017-04-04
345987,3415,89,826328.9,2017-04-05
355700,3597,108,839196.85,2017-04-06
362912,3597,75,852698.083333,2017-04-07
392005,3870,89,915588.55,2017-04-08
335713,3735,81,777353.05,2017-04-09
321591,3291,81,765172.883333,2017-04-10
317179,3252,74,753225.833333,2017-04-11
350080,4409,71,796493.266667,2017-04-12
360845,4270,89,832708.516667,2017-04-13
344987,3577,77,802008.766667,2017-04-14
333842,3228,68,779782.016667,2017-04-15
286681,2810,56,656783.483333,2017-04-16
288623,2972,60,679785.25,2017-04-17
278577,2858,59,664550.533333,2017-04-18
288537,3081,80,686010.633333,2017-04-19
293846,2798,60,702865.283333,2017-04-20
299375,2756,51,707361.3,2017-04-21
304982,2831,63,716345.4,2017-04-22
256200,2693,55,600201.6,2017-04-23
227432,2234,35,546471.366667,2017-04-24
231605,2214,52,553560.783333,2017-04-25
228825,2231,55,547665.3,2017-04-26
229786,2041,46,547579.816667,2017-04-27
243855,2251,40,571625.733333,2017-04-28
261668,2436,55,605087.35,2017-04-29
226620,2290,43,516268.683333,2017-04-30
219876,2419,50,511346.2,2017-05-01
190093,1751,40,454467.85,2017-05-02
188523,1859,34,453745.75,2017-05-03
179926,1648,42,428515.9,2017-05-04
197200,1854,42,461636.583333,2017-05-05
227827,2103,39,528662.483333,2017-05-06
197048,1911,44,459159.85,2017-05-07
184718,1710,46,439438.016667,2017-05-08
178516,1510,42,427709.583333,2017-05-09
180618,1568,37,431907.016667,2017-05-10
180112,1642,37,430156.616667,2017-05-11
207992,2012,40,479798.466667,2017-05-12
224783,2025,36,521246.633333,2017-05-13
186062,1752,42,435981.65,2017-05-14
169958,1504,34,407574.416667,2017-05-15
171148,1476,46,409225.916667,2017-05-16
172084,1571,43,410243.866667,2017-05-17
172909,1550,39,407414.733333,2017-05-18
183183,1596,47,419410.233333,2017-05-19
206126,1863,43,468481.516667,2017-05-20
169996,1723,37,388129.5,2017-05-21
158675,1390,28,371542.25,2017-05-22
