dailyViewcount,numShare,numSubscriber,watchTime,date
69279,322,73,246677.5,2014-08-27
53771,204,55,191120.633333,2014-08-28
30841,89,19,109805.466667,2014-08-29
20149,43,18,71658.4166667,2014-08-30
20522,49,16,70560.9166667,2014-08-31
26912,97,30,93663.9,2014-09-01
20182,42,9,69386.2166667,2014-09-02
18257,51,11,61846.6166667,2014-09-03
16576,22,7,55452.9333333,2014-09-04
16454,31,4,54776.3666667,2014-09-05
17446,19,11,57319.55,2014-09-06
15085,20,9,49473.45,2014-09-07
14388,22,6,48203.0333333,2014-09-08
15482,31,9,53494.25,2014-09-09
15476,22,9,52287.2333333,2014-09-10
15886,22,8,52786.3,2014-09-11
16575,21,9,54474.4166667,2014-09-12
15861,15,7,51790.45,2014-09-13
14587,13,9,47669.6,2014-09-14
14945,38,3,49478.9,2014-09-15
14820,17,11,48962.3,2014-09-16
13998,18,7,46061.8166667,2014-09-17
13677,24,5,45640.2333333,2014-09-18
16754,16,5,54668.4666667,2014-09-19
17403,14,7,56720.1,2014-09-20
15586,17,5,50154.5,2014-09-21
15372,26,11,49918.2333333,2014-09-22
15689,20,9,51592.9,2014-09-23
15982,25,5,52135.3333333,2014-09-24
16163,23,8,51961.2333333,2014-09-25
17010,15,8,55177.0833333,2014-09-26
17694,21,9,56845.6166667,2014-09-27
15587,22,6,49135.3833333,2014-09-28
14438,22,9,47250.1833333,2014-09-29
14812,14,8,47059.8666667,2014-09-30
14995,16,9,48242.6333333,2014-10-01
15214,13,11,49603.4333333,2014-10-02
16920,22,12,54780.3333333,2014-10-03
16226,15,6,52018.65,2014-10-04
13781,14,2,43959.5,2014-10-05
13377,18,10,43074.7,2014-10-06
14265,13,11,45002.35,2014-10-07
13913,15,11,44372.6166667,2014-10-08
14774,16,2,46820.3,2014-10-09
15397,11,7,49948.3833333,2014-10-10
16522,22,6,51622.4333333,2014-10-11
20342,31,22,62698.1833333,2014-10-12
15341,22,11,47975.6666667,2014-10-13
14315,17,2,44917.1333333,2014-10-14
14438,22,6,45748.1,2014-10-15
14858,20,12,46307.9666667,2014-10-16
15884,18,7,50680.6166667,2014-10-17
16263,20,8,50934.1333333,2014-10-18
14328,17,7,44165.6666667,2014-10-19
14213,18,9,44985.2666667,2014-10-20
14366,11,1,45239.3333333,2014-10-21
16808,12,6,52200.6666667,2014-10-22
19078,18,6,58683.8,2014-10-23
20447,17,11,63368.6833333,2014-10-24
20927,30,11,65062.95,2014-10-25
19580,20,11,58849.1,2014-10-26
18061,25,8,55270.9666667,2014-10-27
17859,18,5,55180.3333333,2014-10-28
