dailyViewcount,numShare,numSubscriber,watchTime,date
137980,409,149,435744.766667,2014-05-21
196800,297,135,543301.55,2014-05-22
166249,202,80,521270.083333,2014-05-23
138168,197,63,472476.333333,2014-05-24
144262,187,75,483760.05,2014-05-25
174696,240,80,565628.083333,2014-05-26
151600,227,93,502243.733333,2014-05-27
146775,234,68,497707.8,2014-05-28
153199,260,92,519645.6,2014-05-29
159818,218,55,550018.8,2014-05-30
163114,197,67,551688.266667,2014-05-31
142402,177,37,478506.616667,2014-06-01
138758,226,67,471702.233333,2014-06-02
140493,219,69,481556.366667,2014-06-03
149867,208,47,507810.433333,2014-06-04
159484,223,70,534378.316667,2014-06-05
166018,215,54,562547.383333,2014-06-06
171942,232,83,571130.966667,2014-06-07
166352,214,77,534748.95,2014-06-08
168453,225,91,542211.966667,2014-06-09
185283,301,102,588700.133333,2014-06-10
170797,259,93,558039.616667,2014-06-11
135183,205,54,454395.716667,2014-06-12
142892,187,46,483713.833333,2014-06-13
169171,187,70,563179.216667,2014-06-14
156585,185,60,513150.316667,2014-06-15
173064,271,70,568115.466667,2014-06-16
177552,283,74,581682.7,2014-06-17
185998,271,67,605872.266667,2014-06-18
191569,266,84,627184.366667,2014-06-19
207034,315,77,679228.166667,2014-06-20
198401,258,69,650027.183333,2014-06-21
172393,204,83,559112.766667,2014-06-22
190362,308,81,607446.583333,2014-06-23
200732,341,74,636819.0,2014-06-24
198261,284,73,634548.7,2014-06-25
189965,301,75,614269.516667,2014-06-26
200391,246,67,650411.633333,2014-06-27
205785,254,79,657401.483333,2014-06-28
183326,223,74,579604.783333,2014-06-29
192817,226,73,612438.616667,2014-06-30
174142,249,70,556508.7,2014-07-01
182245,265,93,583605.4,2014-07-02
190758,243,76,608967.716667,2014-07-03
186428,206,74,594130.6,2014-07-04
170895,229,66,540331.2,2014-07-05
162372,202,73,510115.916667,2014-07-06
170588,262,76,539501.4,2014-07-07
177863,239,66,563127.85,2014-07-08
174377,222,83,559359.383333,2014-07-09
184808,215,62,588766.683333,2014-07-10
201184,239,80,641289.3,2014-07-11
208623,254,97,652458.7,2014-07-12
174852,226,47,542468.116667,2014-07-13
183238,231,81,570784.716667,2014-07-14
194738,218,83,600394.55,2014-07-15
198872,224,92,610716.7,2014-07-16
194660,239,74,595523.0,2014-07-17
200896,217,72,619795.8,2014-07-18
192800,230,64,592511.933333,2014-07-19
170308,176,62,516914.75,2014-07-20
184330,245,85,559233.0,2014-07-21
182443,227,69,557701.683333,2014-07-22
186999,225,66,571093.383333,2014-07-23
181254,206,66,555455.283333,2014-07-24
188554,199,60,580305.066667,2014-07-25
189437,213,51,577662.716667,2014-07-26
169267,174,76,512502.816667,2014-07-27
185288,217,69,559957.233333,2014-07-28
181879,173,77,552169.366667,2014-07-29
185393,218,79,561770.7,2014-07-30
192796,257,76,585687.55,2014-07-31
203265,230,78,620062.216667,2014-08-01
192941,182,61,585650.433333,2014-08-02
170574,184,76,513499.333333,2014-08-03
174303,168,75,529663.066667,2014-08-04
170959,179,70,521573.4,2014-08-05
170641,202,75,519604.05,2014-08-06
172421,199,72,522833.033333,2014-08-07
189985,181,62,573287.2,2014-08-08
191485,178,65,571276.066667,2014-08-09
170653,157,62,503567.1,2014-08-10
173508,150,74,515621.716667,2014-08-11
174618,188,80,518432.116667,2014-08-12
170658,158,78,509231.55,2014-08-13
173932,178,59,522819.516667,2014-08-14
189431,187,69,567095.55,2014-08-15
191553,131,51,568741.466667,2014-08-16
170574,172,70,498581.366667,2014-08-17
163428,153,67,487137.716667,2014-08-18
158264,177,57,474873.416667,2014-08-19
162227,179,60,484593.633333,2014-08-20
160142,137,64,483420.516667,2014-08-21
171231,131,71,518158.966667,2014-08-22
182667,166,60,544204.75,2014-08-23
153897,171,43,455526.083333,2014-08-24
146298,155,61,438517.283333,2014-08-25
154482,170,73,461277.833333,2014-08-26
159868,189,69,479695.216667,2014-08-27
158854,184,67,477289.416667,2014-08-28
165449,157,52,501180.766667,2014-08-29
173366,131,60,516257.633333,2014-08-30
161772,161,58,476424.916667,2014-08-31
154431,148,52,460537.416667,2014-09-01
137812,146,47,415809.416667,2014-09-02
143044,137,47,435371.9,2014-09-03
