dailyViewcount,numShare,numSubscriber,watchTime,date
228221,5307,128,520116.683333,2017-02-03
243733,3337,101,497546.983333,2017-02-04
193040,2440,95,420414.083333,2017-02-05
196948,2561,74,477427.666667,2017-02-06
226677,3053,89,536846.983333,2017-02-07
232975,2864,62,555331.35,2017-02-08
230692,2904,59,552440.8,2017-02-09
274824,2887,77,647817.733333,2017-02-10
294906,2452,84,655661.766667,2017-02-11
236480,2004,74,544805.0,2017-02-12
261291,2165,57,645046.85,2017-02-13
262410,2017,83,648514.266667,2017-02-14
256829,2225,64,629987.183333,2017-02-15
278684,2546,70,693110.1,2017-02-16
286615,2403,66,722685.75,2017-02-17
258371,1806,39,629325.916667,2017-02-18
237030,1709,46,579066.6,2017-02-19
279245,2026,43,700417.45,2017-02-20
292386,2315,62,738618.65,2017-02-21
320081,2478,67,798572.15,2017-02-22
341403,2470,54,854418.766667,2017-02-23
370045,2431,61,920806.116667,2017-02-24
334377,2070,37,803558.466667,2017-02-25
306448,2071,54,738066.216667,2017-02-26
357118,2230,66,880654.833333,2017-02-27
368464,2340,64,903806.516667,2017-02-28
368261,2303,56,898481.75,2017-03-01
376581,2441,51,915723.616667,2017-03-02
407825,2407,43,981375.283333,2017-03-03
374815,2028,50,877768.433333,2017-03-04
331034,2032,61,774525.783333,2017-03-05
365043,2102,63,879418.716667,2017-03-06
375462,2249,69,901805.083333,2017-03-07
385518,2392,69,933041.033333,2017-03-08
387725,2266,62,936655.716667,2017-03-09
399189,2285,51,962070.033333,2017-03-10
371547,1889,51,874560.766667,2017-03-11
325189,1841,40,762456.85,2017-03-12
362209,2046,60,869287.116667,2017-03-13
364598,2099,57,872601.633333,2017-03-14
352515,2034,51,849568.6,2017-03-15
371060,2167,65,897667.95,2017-03-16
415545,2152,49,997525.85,2017-03-17
401146,1919,42,928331.816667,2017-03-18
352548,1919,43,827071.266667,2017-03-19
383954,2101,63,924964.133333,2017-03-20
395483,2210,71,951272.816667,2017-03-21
399259,2344,60,950358.85,2017-03-22
428453,2641,62,1024638.6,2017-03-23
453857,2312,52,1075406.31667,2017-03-24
426230,2107,51,984150.566667,2017-03-25
371602,1900,56,856333.25,2017-03-26
406589,2148,77,963187.216667,2017-03-27
421465,2281,64,993300.716667,2017-03-28
436069,2205,83,1028257.11667,2017-03-29
430461,2241,70,1009873.93333,2017-03-30
468144,2230,65,1086096.66667,2017-03-31
452587,1935,45,1028934.18333,2017-04-01
421648,2341,57,941419.766667,2017-04-02
474401,2320,91,1087871.13333,2017-04-03
487737,2470,85,1129986.45,2017-04-04
484570,2549,86,1119932.98333,2017-04-05
496770,2642,75,1139998.51667,2017-04-06
529586,2617,88,1215284.18333,2017-04-07
533050,2309,62,1199142.63333,2017-04-08
493916,2212,64,1106994.46667,2017-04-09
522785,2409,80,1196330.56667,2017-04-10
541999,2610,91,1236919.38333,2017-04-11
546627,2668,90,1243732.05,2017-04-12
563928,2762,86,1281085.63333,2017-04-13
593269,2777,64,1343283.48333,2017-04-14
537992,2280,63,1217434.93333,2017-04-15
501667,2201,57,1110371.6,2017-04-16
524910,2493,77,1178617.16667,2017-04-17
526335,2786,75,1191502.6,2017-04-18
549606,2760,92,1240340.46667,2017-04-19
579598,2836,89,1306334.86667,2017-04-20
595662,2740,100,1348530.41667,2017-04-21
551728,2417,54,1224436.55,2017-04-22
517266,2446,70,1138665.66667,2017-04-23
543733,2488,101,1217314.48333,2017-04-24
558619,2695,100,1249499.23333,2017-04-25
546249,2578,84,1226581.6,2017-04-26
548631,2649,79,1231720.95,2017-04-27
597857,2687,86,1333314.28333,2017-04-28
576080,2366,75,1253865.35,2017-04-29
492640,2213,59,1071737.3,2017-04-30
501499,2296,81,1108856.56667,2017-05-01
515275,2458,91,1151798.98333,2017-05-02
529781,2498,83,1177430.4,2017-05-03
535550,2415,76,1188286.43333,2017-05-04
568471,2437,79,1260404.46667,2017-05-05
542515,2088,65,1179373.96667,2017-05-06
509007,2070,70,1104522.2,2017-05-07
515921,2210,76,1142767.13333,2017-05-08
530511,2273,95,1174046.26667,2017-05-09
539064,2319,100,1196232.1,2017-05-10
534522,2318,86,1181824.45,2017-05-11
572577,2407,97,1255978.63333,2017-05-12
556512,2097,53,1205462.38333,2017-05-13
509483,2187,68,1102226.65,2017-05-14
496818,2192,80,1102039.31667,2017-05-15
516457,2292,85,1144447.68333,2017-05-16
516249,2288,88,1138563.16667,2017-05-17
536670,2272,81,1174626.05,2017-05-18
573346,2318,84,1246768.68333,2017-05-19
554633,2198,71,1187623.63333,2017-05-20
469699,2916,75,999601.266667,2017-05-21
518217,2525,113,1129581.33333,2017-05-22
