dailyViewcount,numShare,numSubscriber,watchTime,date
6587359,160592,17732,19679858.7833,2017-04-18
5259373,75317,8644,15783014.1833,2017-04-19
3026138,33020,2656,9157833.11667,2017-04-20
2764811,24544,2385,8207603.43333,2017-04-21
2687324,20414,2262,7754372.41667,2017-04-22
2396021,17731,2048,6800059.5,2017-04-23
2702453,17855,2186,7759600.25,2017-04-24
2480984,16044,1802,7186413.55,2017-04-25
2276278,14417,1589,6663084.36667,2017-04-26
2153702,13529,1295,6315750.95,2017-04-27
2373176,12801,1126,6881219.83333,2017-04-28
2427390,11660,1024,6915074.9,2017-04-29
2161459,10352,945,6082273.25,2017-04-30
2399764,11090,1064,6913399.7,2017-05-01
2355775,10387,1055,6873562.46667,2017-05-02
2288491,10031,1033,6684541.4,2017-05-03
2045575,9638,893,5969270.05,2017-05-04
2128261,9350,938,6130482.08333,2017-05-05
2074910,8855,834,5917876.03333,2017-05-06
1708187,7861,707,4850934.18333,2017-05-07
1718574,7943,812,4962443.18333,2017-05-08
1679589,7641,771,4851797.53333,2017-05-09
1703894,6753,760,4915329.33333,2017-05-10
1762489,8043,800,5040720.05,2017-05-11
1901910,7649,809,5427559.53333,2017-05-12
1814679,7181,683,5146159.96667,2017-05-13
1501926,6366,659,4246695.98333,2017-05-14
1465603,6221,639,4215210.46667,2017-05-15
1530071,6400,697,4375504.48333,2017-05-16
1521149,6224,730,4353252.36667,2017-05-17
1502957,6149,638,4336494.46667,2017-05-18
1604052,5876,689,4610341.28333,2017-05-19
1633414,5695,621,4662152.86667,2017-05-20
1322022,5404,573,3775375.03333,2017-05-21
1320630,5198,559,3766646.71667,2017-05-22
