dailyViewcount,numShare,numSubscriber,watchTime,date
26656,247,60,31364.75,2016-12-21
10964,104,31,13783.0,2016-12-22
15725,127,35,17980.3333333,2016-12-23
12251,104,33,15032.9166667,2016-12-24
9147,59,22,11822.1833333,2016-12-25
11021,82,18,13563.6,2016-12-26
7239,59,10,9847.28333333,2016-12-27
8836,61,16,11681.0666667,2016-12-28
6471,40,8,8896.01666667,2016-12-29
6919,65,12,9698.03333333,2016-12-30
5484,34,7,7729.98333333,2016-12-31
5474,55,8,6960.05,2017-01-01
3582,33,2,5404.35,2017-01-02
3180,35,3,5117.13333333,2017-01-03
2989,22,6,4864.6,2017-01-04
