dailyViewcount,numShare,numSubscriber,watchTime,date
24280,23,3,76264.1166667,2017-03-08
19649,19,2,56914.9833333,2017-03-09
20601,17,4,56854.35,2017-03-10
58819,50,10,150326.083333,2017-03-11
85725,47,21,213728.333333,2017-03-12
67303,33,22,166285.75,2017-03-13
143931,74,40,328941.233333,2017-03-14
53856,33,14,124958.316667,2017-03-15
9129,4,3,21505.5666667,2017-03-16
45209,39,18,104035.366667,2017-03-17
61383,47,14,140986.383333,2017-03-18
48590,20,15,104550.383333,2017-03-19
52866,27,16,114711.166667,2017-03-20
32211,7,20,71033.2333333,2017-03-21
31408,21,15,68883.1,2017-03-22
30459,14,14,65806.5833333,2017-03-23
28404,13,10,60953.6666667,2017-03-24
27996,11,5,60131.45,2017-03-25
17253,9,6,38067.8,2017-03-26
9273,10,5,20712.4166667,2017-03-27
5312,5,1,11688.9333333,2017-03-28
2281,3,0,5102.73333333,2017-03-29
2018,1,0,4382.55,2017-03-30
2397,2,1,5220.98333333,2017-03-31
1745,3,2,3637.15,2017-04-01
2176,1,0,4635.06666667,2017-04-02
1697,0,1,3645.71666667,2017-04-03
1320,0,0,2895.1,2017-04-04
1255,0,1,2512.73333333,2017-04-05
1443,1,0,3065.33333333,2017-04-06
1422,1,0,2958.18333333,2017-04-07
1744,1,0,3510.01666667,2017-04-08
1783,2,1,3509.23333333,2017-04-09
1695,0,0,3627.25,2017-04-10
3192,0,0,6620.03333333,2017-04-11
4721,0,1,9393.88333333,2017-04-12
3899,0,0,7919.55,2017-04-13
10859,3,6,23375.8666667,2017-04-14
10842,5,5,22715.9833333,2017-04-15
7310,5,0,15124.5333333,2017-04-16
5061,5,2,10384.7,2017-04-17
4890,2,5,10177.0166667,2017-04-18
4497,2,3,9750.88333333,2017-04-19
3999,2,4,8671.85,2017-04-20
3782,0,4,8182.33333333,2017-04-21
3983,3,4,8327.28333333,2017-04-22
3546,2,1,7187.33333333,2017-04-23
2529,2,0,5135.96666667,2017-04-24
2440,3,0,4992.91666667,2017-04-25
2421,2,1,5144.11666667,2017-04-26
2414,0,1,5119.06666667,2017-04-27
3134,0,3,6418.3,2017-04-28
2548,0,0,5536.83333333,2017-04-29
2729,0,1,5886.88333333,2017-04-30
2107,0,2,4829.4,2017-05-01
2004,4,0,4516.56666667,2017-05-02
1880,2,0,4049.28333333,2017-05-03
1920,2,0,4339.45,2017-05-04
1905,3,1,3704.58333333,2017-05-05
1758,1,0,3560.05,2017-05-06
1534,2,0,3146.83333333,2017-05-07
1403,1,1,2939.01666667,2017-05-08
1331,1,0,2730.95,2017-05-09
1262,0,0,2664.8,2017-05-10
1153,2,3,2379.03333333,2017-05-11
1359,0,0,2700.9,2017-05-12
1732,0,0,3514.56666667,2017-05-13
1792,0,1,3607.45,2017-05-14
1652,0,0,3818.0,2017-05-15
1704,1,0,3499.81666667,2017-05-16
2298,0,3,5092.71666667,2017-05-17
1831,1,2,3739.28333333,2017-05-18
1587,1,3,3073.95,2017-05-19
2061,1,0,4258.63333333,2017-05-20
1962,0,1,4100.8,2017-05-21
2359,0,2,4868.11666667,2017-05-22
