dailyViewcount,numShare,numSubscriber,watchTime,date
149233,2126,86,280310.95,2016-03-25
79665,638,25,169405.533333,2016-03-26
77630,675,28,168863.266667,2016-03-27
91482,736,38,200329.566667,2016-03-28
88234,667,31,197978.483333,2016-03-29
87078,691,32,195601.183333,2016-03-30
67285,492,14,151983.016667,2016-03-31
69640,476,18,158094.366667,2016-04-01
65994,474,17,147593.766667,2016-04-02
62281,446,11,140082.166667,2016-04-03
65665,457,5,150530.283333,2016-04-04
68740,385,9,157406.233333,2016-04-05
72072,393,13,164518.1,2016-04-06
83090,479,21,189727.683333,2016-04-07
94133,443,16,216364.15,2016-04-08
78105,385,16,178033.883333,2016-04-09
59642,422,9,132936.5,2016-04-10
69718,371,23,159886.95,2016-04-11
85080,463,20,198423.783333,2016-04-12
89070,399,20,211191.55,2016-04-13
94927,387,17,231340.85,2016-04-14
98084,388,13,237743.55,2016-04-15
87710,320,15,211604.833333,2016-04-16
68691,350,13,161985.3,2016-04-17
66515,311,12,159154.5,2016-04-18
55113,276,12,128179.5,2016-04-19
54753,269,8,128849.066667,2016-04-20
57024,300,10,132783.266667,2016-04-21
73287,310,9,173121.616667,2016-04-22
74811,288,8,173883.45,2016-04-23
63959,310,11,148322.983333,2016-04-24
66622,294,8,159547.55,2016-04-25
67420,312,11,161285.3,2016-04-26
66726,289,10,156989.0,2016-04-27
69052,375,23,159783.65,2016-04-28
67917,391,12,156746.966667,2016-04-29
72692,438,14,162255.233333,2016-04-30
53275,358,11,119341.483333,2016-05-01
55000,409,6,125025.366667,2016-05-02
53102,351,6,122216.216667,2016-05-03
52671,339,11,120354.35,2016-05-04
53016,314,10,121557.683333,2016-05-05
52700,303,5,121784.35,2016-05-06
50236,321,13,112232.15,2016-05-07
40927,298,9,91785.9166667,2016-05-08
41641,307,8,95579.2833333,2016-05-09
46250,269,10,105452.266667,2016-05-10
45220,272,7,103305.833333,2016-05-11
47870,284,9,109175.4,2016-05-12
50863,296,4,114044.3,2016-05-13
51237,293,4,113568.266667,2016-05-14
42718,303,10,94052.4333333,2016-05-15
40966,250,5,92004.6666667,2016-05-16
40706,267,8,91814.0833333,2016-05-17
39614,233,6,89380.7,2016-05-18
43069,300,5,97032.9166667,2016-05-19
