dailyViewcount,numShare,numSubscriber,watchTime,date
124049,2447,76,221949.533333,2015-10-28
85126,1187,141,169813.966667,2015-10-29
121775,956,129,214789.566667,2015-10-30
97931,774,154,194140.383333,2015-10-31
67868,710,129,157675.533333,2015-11-01
49025,536,71,121487.283333,2015-11-02
59428,691,82,141355.066667,2015-11-03
39809,392,34,102085.9,2015-11-04
41091,382,27,101860.133333,2015-11-05
41653,428,36,99992.95,2015-11-06
41905,376,24,102438.8,2015-11-07
38827,395,31,95682.5166667,2015-11-08
35773,339,25,89243.5,2015-11-09
35888,299,29,87527.7,2015-11-10
38422,364,31,93656.6666667,2015-11-11
37509,357,21,92633.2833333,2015-11-12
40393,345,32,98685.65,2015-11-13
42312,336,31,105520.883333,2015-11-14
39979,338,26,99948.55,2015-11-15
37580,296,22,95087.6166667,2015-11-16
39904,307,31,99810.2166667,2015-11-17
41418,335,41,103375.133333,2015-11-18
41371,275,19,102311.966667,2015-11-19
45620,329,27,110538.0,2015-11-20
52055,375,39,124904.783333,2015-11-21
45215,330,33,110316.866667,2015-11-22
41889,309,34,104018.066667,2015-11-23
41521,312,29,102855.683333,2015-11-24
43207,283,27,107301.783333,2015-11-25
44220,298,29,109130.866667,2015-11-26
47882,330,38,116034.866667,2015-11-27
55674,403,34,136697.183333,2015-11-28
47133,392,27,117422.716667,2015-11-29
47221,310,27,118741.8,2015-11-30
49650,319,23,124216.05,2015-12-01
51362,300,32,129789.516667,2015-12-02
50980,299,29,130341.916667,2015-12-03
55421,300,35,138743.85,2015-12-04
58868,352,39,148499.766667,2015-12-05
54063,282,22,135227.183333,2015-12-06
54765,278,32,139917.033333,2015-12-07
56201,304,23,144078.05,2015-12-08
60953,296,36,156111.016667,2015-12-09
61758,284,27,159086.816667,2015-12-10
65651,313,40,164791.583333,2015-12-11
70264,316,37,177067.233333,2015-12-12
64018,334,39,162228.416667,2015-12-13
64996,297,47,165585.1,2015-12-14
65931,279,28,167889.083333,2015-12-15
66503,298,29,170418.933333,2015-12-16
69570,344,44,174492.833333,2015-12-17
73311,375,31,181158.983333,2015-12-18
78074,394,41,193044.733333,2015-12-19
71223,337,45,176601.35,2015-12-20
74430,320,37,186811.5,2015-12-21
74023,339,34,186710.583333,2015-12-22
79107,336,52,198925.583333,2015-12-23
77331,309,35,195641.45,2015-12-24
67491,356,29,164360.95,2015-12-25
75051,339,41,185654.933333,2015-12-26
80289,413,31,193526.083333,2015-12-27
87137,436,43,219229.133333,2015-12-28
89023,455,38,224275.766667,2015-12-29
92810,390,49,232970.683333,2015-12-30
117800,341,39,296871.5,2015-12-31
72338,325,40,175578.2,2016-01-01
93814,410,56,230675.083333,2016-01-02
90256,425,53,221838.366667,2016-01-03
93101,389,46,231105.183333,2016-01-04
96022,424,49,239311.9,2016-01-05
99885,413,50,250361.0,2016-01-06
102314,404,59,258271.8,2016-01-07
115155,458,46,286204.916667,2016-01-08
126357,475,58,316119.233333,2016-01-09
112937,523,62,280669.75,2016-01-10
110911,448,48,278768.183333,2016-01-11
128600,480,59,317615.533333,2016-01-12
134937,516,70,336350.95,2016-01-13
146758,485,72,363314.55,2016-01-14
158359,617,70,389438.833333,2016-01-15
174040,625,72,430418.316667,2016-01-16
156948,666,82,391280.3,2016-01-17
154516,539,65,390562.383333,2016-01-18
151748,586,80,386024.866667,2016-01-19
164575,584,78,421600.15,2016-01-20
153079,575,70,389210.366667,2016-01-21
163476,527,63,408633.366667,2016-01-22
184413,592,96,460289.666667,2016-01-23
167384,670,89,421816.016667,2016-01-24
167001,582,89,427446.033333,2016-01-25
168782,596,76,429691.116667,2016-01-26
174417,551,61,443509.233333,2016-01-27
180934,618,91,459188.95,2016-01-28
192846,612,70,483659.466667,2016-01-29
206639,643,95,515062.183333,2016-01-30
177479,703,91,444306.266667,2016-01-31
172134,627,69,434863.483333,2016-02-01
172994,591,76,437652.083333,2016-02-02
161392,596,73,410389.283333,2016-02-03
157707,594,76,398540.45,2016-02-04
200469,582,89,498417.85,2016-02-05
217291,668,94,539317.75,2016-02-06
188908,693,97,468488.25,2016-02-07
193112,583,85,487782.3,2016-02-08
197090,540,90,496387.766667,2016-02-09
