dailyViewcount,numShare,numSubscriber,watchTime,date
15,0,0,16.5166666667,2013-08-12
38,0,0,56.1333333333,2013-08-13
35,0,0,30.7166666667,2013-08-14
5,0,0,21.55,2013-08-15
5,0,0,10.4,2013-08-16
0,0,0,0.0,2013-08-17
7,0,0,22.0,2013-08-18
3,0,0,10.4,2013-08-19
2,0,0,0.95,2013-08-20
4,0,0,5.48333333333,2013-08-21
4,0,0,14.4166666667,2013-08-22
4,0,0,15.45,2013-08-23
1,0,0,1.58333333333,2013-08-24
19,0,0,34.4666666667,2013-08-25
48,0,0,106.883333333,2013-08-26
89,0,0,202.266666667,2013-08-27
82,0,0,214.4,2013-08-28
101,0,0,274.1,2013-08-29
164,0,0,382.55,2013-08-30
142,0,0,322.85,2013-08-31
123,0,0,261.516666667,2013-09-01
127,0,0,253.483333333,2013-09-02
107,0,0,263.533333333,2013-09-03
145,0,0,313.966666667,2013-09-04
126,0,0,282.316666667,2013-09-05
144,0,0,322.866666667,2013-09-06
134,0,0,309.866666667,2013-09-07
126,0,0,281.516666667,2013-09-08
93,0,0,255.683333333,2013-09-09
126,0,0,272.916666667,2013-09-10
167,1,0,387.65,2013-09-11
130,0,1,278.366666667,2013-09-12
144,0,1,366.233333333,2013-09-13
166,0,0,389.433333333,2013-09-14
159,0,0,351.916666667,2013-09-15
121,0,0,279.516666667,2013-09-16
103,0,0,241.333333333,2013-09-17
118,0,0,289.566666667,2013-09-18
162,0,0,392.1,2013-09-19
167,0,0,402.95,2013-09-20
209,0,0,507.416666667,2013-09-21
163,0,0,388.216666667,2013-09-22
141,0,0,388.633333333,2013-09-23
167,0,0,454.933333333,2013-09-24
198,0,0,534.533333333,2013-09-25
204,0,0,494.616666667,2013-09-26
223,0,1,612.583333333,2013-09-27
270,0,0,713.7,2013-09-28
248,0,2,592.283333333,2013-09-29
306,0,0,742.283333333,2013-09-30
2384,3,5,5324.8,2013-10-01
1665,0,2,3814.83333333,2013-10-02
1530,0,1,3365.88333333,2013-10-03
971,1,0,2387.21666667,2013-10-04
1188,2,0,2935.38333333,2013-10-05
740,0,1,1914.06666667,2013-10-06
575,0,3,1475.58333333,2013-10-07
530,2,1,1438.91666667,2013-10-08
446,0,0,1152.91666667,2013-10-09
415,0,0,1212.3,2013-10-10
454,0,0,1226.0,2013-10-11
565,0,0,1400.95,2013-10-12
531,0,0,1333.8,2013-10-13
1200,1,0,2817.05,2013-10-14
614,0,0,1427.93333333,2013-10-15
438,0,0,1184.1,2013-10-16
1597,3,0,3875.51666667,2013-10-17
2785,0,1,6536.41666667,2013-10-18
1572,0,1,4100.2,2013-10-19
1780,0,2,4596.3,2013-10-20
1491,1,1,3671.61666667,2013-10-21
1349,1,1,3389.03333333,2013-10-22
1564,1,2,4122.95,2013-10-23
2336,2,2,6111.16666667,2013-10-24
2312,2,1,5995.96666667,2013-10-25
2454,2,1,6382.31666667,2013-10-26
2161,1,2,5375.48333333,2013-10-27
1973,0,4,5135.68333333,2013-10-28
1913,1,2,4797.35,2013-10-29
1888,2,2,4845.5,2013-10-30
3208,1,3,7649.8,2013-10-31
1782,4,0,4135.78333333,2013-11-01
1768,4,2,4510.73333333,2013-11-02
2359,2,2,5798.9,2013-11-03
2731,2,3,6835.75,2013-11-04
2877,2,3,7196.58333333,2013-11-05
2891,1,3,7189.86666667,2013-11-06
2918,2,4,7071.28333333,2013-11-07
4345,2,2,10916.8,2013-11-08
4256,1,7,10441.95,2013-11-09
3682,1,2,9090.68333333,2013-11-10
3361,2,4,8542.51666667,2013-11-11
2994,2,1,7629.6,2013-11-12
3491,1,2,8690.71666667,2013-11-13
3232,4,0,8116.38333333,2013-11-14
3525,1,2,8810.48333333,2013-11-15
4086,4,3,10426.0,2013-11-16
3304,8,2,8213.28333333,2013-11-17
3800,5,5,9494.53333333,2013-11-18
4665,8,0,11458.9666667,2013-11-19
4070,13,3,10199.3833333,2013-11-20
3737,5,2,9557.61666667,2013-11-21
4155,5,4,10321.6,2013-11-22
5375,4,2,13426.75,2013-11-23
5180,7,2,13640.6333333,2013-11-24
5178,11,2,13176.45,2013-11-25
5061,7,2,12727.9833333,2013-11-26
5752,5,2,14489.8666667,2013-11-27
5183,4,3,13071.9833333,2013-11-28
4216,5,1,10555.5333333,2013-11-29
4453,13,6,11747.1666667,2013-11-30
3955,5,0,9707.96666667,2013-12-01
3645,5,7,9312.73333333,2013-12-02
3969,6,2,10133.7166667,2013-12-03
3872,7,1,9916.25,2013-12-04
4270,5,2,10676.7333333,2013-12-05
4840,10,7,12170.9666667,2013-12-06
5119,13,2,13182.35,2013-12-07
4701,7,3,11757.0,2013-12-08
5174,6,6,12645.9166667,2013-12-09
6200,10,6,15032.8333333,2013-12-10
5637,11,2,14005.8666667,2013-12-11
4345,7,4,11239.3666667,2013-12-12
6852,10,8,17383.5833333,2013-12-13
6443,10,5,16980.6666667,2013-12-14
6696,12,3,16951.9833333,2013-12-15
6680,10,7,16935.2333333,2013-12-16
7214,19,5,17839.5,2013-12-17
8061,22,5,20143.4,2013-12-18
8218,9,6,20370.8666667,2013-12-19
8570,12,4,20958.5333333,2013-12-20
8360,17,4,20577.8,2013-12-21
7963,10,1,19755.8666667,2013-12-22
8482,10,2,21292.6333333,2013-12-23
9067,10,4,23431.45,2013-12-24
9474,6,4,23375.0833333,2013-12-25
7657,9,4,19568.35,2013-12-26
7803,6,4,20208.7,2013-12-27
8608,8,4,21760.5,2013-12-28
8365,8,6,20991.8333333,2013-12-29
9440,11,2,23478.25,2013-12-30
10148,8,7,25768.4,2013-12-31
8594,5,5,21339.7,2014-01-01
9131,18,6,22894.2,2014-01-02
9195,9,7,22895.6,2014-01-03
8696,9,9,21123.35,2014-01-04
8119,6,8,19803.4333333,2014-01-05
7201,11,3,17519.5166667,2014-01-06
7319,9,5,18195.25,2014-01-07
7490,5,6,18861.6166667,2014-01-08
7967,18,6,19711.9333333,2014-01-09
