dailyViewcount,numShare,numSubscriber,watchTime,date
80607,1091,97,188863.183333,2016-03-17
300425,2102,341,659279.283333,2016-03-18
175978,1120,79,448167.85,2016-03-19
276914,2290,469,614241.8,2016-03-20
224052,1816,281,555369.633333,2016-03-21
221212,1680,229,564595.533333,2016-03-22
301327,2241,380,738469.383333,2016-03-23
309025,2111,294,768201.5,2016-03-24
312856,1782,210,790530.566667,2016-03-25
289179,1658,179,727043.5,2016-03-26
301765,1678,210,747044.3,2016-03-27
315692,1757,194,753968.466667,2016-03-28
367516,1878,158,869191.466667,2016-03-29
368101,2128,197,886407.3,2016-03-30
377495,1991,190,924379.85,2016-03-31
393181,2100,181,958637.883333,2016-04-01
432442,2415,191,1046009.28333,2016-04-02
411457,2371,171,1008900.71667,2016-04-03
434019,2462,235,1083397.08333,2016-04-04
449339,2334,202,1129356.63333,2016-04-05
482904,2447,265,1207532.2,2016-04-06
544692,2760,297,1319905.8,2016-04-07
587612,2887,322,1422364.58333,2016-04-08
724522,3255,473,1683902.51667,2016-04-09
778584,3784,479,1766019.26667,2016-04-10
800532,3143,490,1914861.88333,2016-04-11
669277,2810,335,1643877.23333,2016-04-12
695918,2872,318,1713670.76667,2016-04-13
830004,2687,368,2045194.15,2016-04-14
1044923,2962,453,2563926.91667,2016-04-15
1092706,3128,464,2666147.88333,2016-04-16
1032400,3296,434,2528424.31667,2016-04-17
1008139,2848,434,2541359.03333,2016-04-18
1183024,3211,479,2931361.0,2016-04-19
1269042,3564,497,3173452.18333,2016-04-20
1329222,3622,482,3313044.81667,2016-04-21
1305248,3416,453,3259492.16667,2016-04-22
1520088,3663,506,3772432.65,2016-04-23
1233197,3743,426,3028605.38333,2016-04-24
1303387,3381,435,3263490.31667,2016-04-25
1432349,3560,452,3599998.76667,2016-04-26
1547276,3784,454,3856197.8,2016-04-27
1430335,3969,408,3615382.53333,2016-04-28
1197568,4329,357,3040346.2,2016-04-29
1155527,4454,366,2924683.95,2016-04-30
1007512,4287,309,2506555.51667,2016-05-01
1102451,4258,372,2791436.11667,2016-05-02
1091118,4271,347,2751368.81667,2016-05-03
1155109,4639,327,2882561.0,2016-05-04
1115882,4503,309,2773917.81667,2016-05-05
1038383,4199,278,2605735.13333,2016-05-06
1045718,4449,313,2585690.78333,2016-05-07
949223,4407,269,2338076.28333,2016-05-08
963750,3919,287,2409331.5,2016-05-09
1093106,4141,315,2687574.08333,2016-05-10
1110620,4205,301,2706622.2,2016-05-11
1187046,4346,323,2886741.51667,2016-05-12
1191659,4355,328,2884709.4,2016-05-13
1157625,4215,308,2812999.51667,2016-05-14
1016336,4321,311,2465771.53333,2016-05-15
997249,3850,299,2457522.1,2016-05-16
898783,3736,244,2198967.65,2016-05-17
868439,3698,246,2121663.76667,2016-05-18
948407,3888,261,2284224.16667,2016-05-19
1124954,3893,273,2699540.93333,2016-05-20
1264253,4204,365,3011500.18333,2016-05-21
1096696,4220,325,2622920.81667,2016-05-22
886868,3563,247,2179479.96667,2016-05-23
846808,3608,227,2083028.05,2016-05-24
861090,3533,248,2105318.48333,2016-05-25
987233,3591,272,2413035.85,2016-05-26
971989,3647,256,2378603.53333,2016-05-27
880538,3793,230,2118356.41667,2016-05-28
830230,3767,213,1985215.48333,2016-05-29
925043,3416,229,2270536.1,2016-05-30
880968,3293,209,2157368.36667,2016-05-31
864774,3414,211,2104024.25,2016-06-01
815619,3561,196,1973995.63333,2016-06-02
861418,3410,189,2059719.28333,2016-06-03
828018,3445,214,1973200.45,2016-06-04
788025,3508,212,1851986.01667,2016-06-05
