dailyViewcount,numShare,numSubscriber,watchTime,date
320464,3138,603,997377.433333,2014-11-19
670879,4035,610,2048629.1,2014-11-20
791947,4099,609,2428289.11667,2014-11-21
839273,3998,633,2708208.85,2014-11-22
1065645,4044,634,3133424.6,2014-11-23
1033180,4000,619,3131654.6,2014-11-24
1046010,3763,578,3228408.71667,2014-11-25
1065495,3870,620,3371984.91667,2014-11-26
1022331,3130,527,3181148.85,2014-11-27
1287797,3406,569,3768390.8,2014-11-28
1206446,3058,512,3625655.86667,2014-11-29
1068444,2772,495,3221473.63333,2014-11-30
1046767,3165,521,3268001.96667,2014-12-01
1067344,3258,546,3333272.15,2014-12-02
1154089,3536,583,3625488.66667,2014-12-03
1205294,3656,651,3806684.41667,2014-12-04
1349683,4083,565,4243508.7,2014-12-05
1350698,3895,676,4507441.91667,2014-12-06
1231974,3430,641,4188317.48333,2014-12-07
1158119,3575,609,4076824.15,2014-12-08
1281737,3872,736,4487301.38333,2014-12-09
1314149,3771,883,4610588.65,2014-12-10
1359645,4013,761,4803852.61667,2014-12-11
1568575,4356,819,5454146.1,2014-12-12
1658600,3959,804,5753576.65,2014-12-13
1591066,3632,821,5385466.05,2014-12-14
1554293,4087,934,5502187.23333,2014-12-15
1581201,4372,911,5668119.65,2014-12-16
1839749,5030,1074,6623482.05,2014-12-17
1863017,4822,1023,6747849.65,2014-12-18
2015795,4882,1021,7228019.81667,2014-12-19
2102250,4461,955,7475204.31667,2014-12-20
1983051,4009,915,6847402.11667,2014-12-21
2046031,4426,1058,7123955.85,2014-12-22
2098356,4167,956,7381832.26667,2014-12-23
2171125,3005,823,7604905.7,2014-12-24
1934214,2335,692,6396977.53333,2014-12-25
1977821,3347,857,6694365.9,2014-12-26
2020209,3494,881,6828909.8,2014-12-27
1921395,3296,815,6473613.98333,2014-12-28
2036436,3879,962,7008968.1,2014-12-29
2124606,3945,943,7294333.4,2014-12-30
2931799,3943,949,10171075.3167,2014-12-31
1945347,3027,867,6464532.06667,2015-01-01
2193942,3864,960,7478774.96667,2015-01-02
2245791,3596,954,7591940.96667,2015-01-03
2061744,3277,915,6972237.51667,2015-01-04
2063091,3818,963,7162164.63333,2015-01-05
2090674,3869,981,7262025.08333,2015-01-06
2221671,4031,1022,7824643.6,2015-01-07
2427187,4223,1160,8499810.5,2015-01-08
2859818,5323,1344,9835288.16667,2015-01-09
3298474,5207,1395,11254659.45,2015-01-10
2756839,4200,1200,9307821.11667,2015-01-11
2555471,4694,1229,8744604.76667,2015-01-12
2734912,5506,1260,9375025.15,2015-01-13
2938165,1715,414,10063143.95,2015-01-14
3081129,4917,1236,10623341.8167,2015-01-15
3540443,6730,1617,12188992.6667,2015-01-16
3968773,5786,1567,13483039.7167,2015-01-17
3406295,4904,1456,11460410.5833,2015-01-18
3188092,5115,1496,10938660.9167,2015-01-19
3101911,5132,1521,10721787.65,2015-01-20
3227326,5161,1508,11137373.2667,2015-01-21
3404312,5707,1573,11760916.2333,2015-01-22
3889625,9719,1762,13331422.5167,2015-01-23
4296800,10379,1744,14595692.7,2015-01-24
3568171,9025,1480,12058357.1667,2015-01-25
3266070,9099,1437,11166154.3833,2015-01-26
3518376,10093,1546,11819519.0,2015-01-27
3815399,11284,1617,12824263.6333,2015-01-28
3823843,11787,1706,13038737.6167,2015-01-29
4334683,12449,1803,14707462.4333,2015-01-30
4829420,11995,1919,16252276.9333,2015-01-31
4014551,10170,1525,13373707.95,2015-02-01
3559908,9268,1519,12088021.5333,2015-02-02
3723349,9499,1557,12525154.1167,2015-02-03
3921256,9745,1539,13137021.3833,2015-02-04
4098229,10211,1675,13665348.1667,2015-02-05
5043198,11675,2196,16686800.4,2015-02-06
5870103,11918,2508,19298857.35,2015-02-07
4752954,10231,2015,15658856.7833,2015-02-08
4235499,9808,1864,14204017.5833,2015-02-09
4340371,9821,1902,14480069.2667,2015-02-10
4429352,9724,1825,14789991.85,2015-02-11
4564688,10055,1908,15251230.4167,2015-02-12
5172853,10678,1961,17193513.4,2015-02-13
5542785,9241,1935,18236739.7667,2015-02-14
4804687,9327,1858,15684451.35,2015-02-15
4700398,9174,1759,15415529.7833,2015-02-16
4521146,9236,1787,14879285.4167,2015-02-17
4593417,8935,1825,15166257.3,2015-02-18
4712127,9978,1844,15563326.8833,2015-02-19
5221960,10602,1923,17087038.7,2015-02-20
5598292,10483,1919,18203851.7,2015-02-21
4691299,9290,1694,15134236.9833,2015-02-22
4229634,8602,1690,13946590.6,2015-02-23
4395920,8837,1745,14436861.15,2015-02-24
4609082,9446,1701,15027324.8167,2015-02-25
4787299,10096,1814,15751179.2833,2015-02-26
5668319,11074,2066,18409405.5667,2015-02-27
6253585,10949,2087,20044174.7167,2015-02-28
4896627,8731,1646,15706729.3333,2015-03-01
4375085,8410,1578,14212200.9333,2015-03-02
4376359,10618,1564,14196723.5833,2015-03-03
4616233,15362,1660,14945825.1333,2015-03-04
4662855,12816,1524,15118615.75,2015-03-05
5140630,13728,1738,16508638.2333,2015-03-06
5799138,14165,1901,18473527.45,2015-03-07
4500520,11240,1422,14259796.45,2015-03-08
4162606,10556,1463,13349481.9333,2015-03-09
4251098,10909,1398,13627229.35,2015-03-10
4493713,11316,1531,14339900.1167,2015-03-11
4242594,11228,1385,13644550.7833,2015-03-12
4775104,12963,1474,15314910.2667,2015-03-13
5631882,14215,1836,17876072.3833,2015-03-14
4763051,12604,1553,15022089.5667,2015-03-15
4446134,11355,1462,14226177.2333,2015-03-16
4467668,11573,1586,14380395.0833,2015-03-17
4605611,11781,1601,14790803.1833,2015-03-18
4807933,11929,1687,15289332.25,2015-03-19
5365129,13479,1724,16917749.2833,2015-03-20
6365428,14215,2044,19853729.4833,2015-03-21
5282666,12937,1781,16266305.7167,2015-03-22
4357463,11269,1446,13723566.9,2015-03-23
4416381,11060,1434,13933630.1,2015-03-24
4464341,10907,1413,14070541.6833,2015-03-25
4531437,11517,1328,14260601.6667,2015-03-26
5224880,11766,1562,16296118.8,2015-03-27
5814655,11588,1665,17971659.6167,2015-03-28
4758043,9912,1372,14532395.85,2015-03-29
4309005,9244,1240,13293497.5333,2015-03-30
4114384,8592,1195,12762455.2,2015-03-31
4335460,9095,1322,13460285.2,2015-04-01
4649124,9627,1394,14408104.5333,2015-04-02
5066631,9474,1426,15637941.7167,2015-04-03
5095230,9359,1498,15701400.9667,2015-04-04
4500755,8083,1299,13683987.0,2015-04-05
4353201,8247,1365,13427973.1167,2015-04-06
4243024,8497,1335,13250802.9167,2015-04-07
4321896,9099,1351,13518246.4333,2015-04-08
4391068,10771,1330,13755392.5,2015-04-09
4797257,11186,1548,14965687.1833,2015-04-10
5254992,11635,1580,16281881.75,2015-04-11
4643302,10331,1383,14265264.1333,2015-04-12
4800296,10457,1583,14808387.2,2015-04-13
4796156,10151,1543,14869853.3833,2015-04-14
4646481,9862,1403,14430968.4667,2015-04-15
4361675,9621,1219,13641022.9167,2015-04-16
4455754,10115,1312,13909089.2667,2015-04-17
5060193,10965,1461,15732584.4167,2015-04-18
4262784,9209,1256,13225841.3333,2015-04-19
3875981,8558,1122,12292751.3833,2015-04-20
3787261,8231,1089,11991807.1667,2015-04-21
3866187,8673,1175,12227346.2167,2015-04-22
3999341,9003,1273,12625769.65,2015-04-23
4515333,10070,1317,14143059.9167,2015-04-24
5148142,10355,1382,15960282.6,2015-04-25
4475295,8911,1247,13725266.05,2015-04-26
3950661,8225,1125,12429012.3333,2015-04-27
3863848,7967,1149,12239180.6333,2015-04-28
