dailyViewcount,numShare,numSubscriber,watchTime,date
481065,1713,49,3624133.2,2016-09-20
1125680,2479,288,7026874.26667,2016-09-21
515924,1093,195,3369910.7,2016-09-22
202593,412,47,1301810.41667,2016-09-23
208225,316,67,1439753.43333,2016-09-24
197309,385,94,1349075.91667,2016-09-25
161628,316,64,1093905.71667,2016-09-26
94226,205,49,637179.966667,2016-09-27
39920,47,15,258462.45,2016-09-28
41594,47,16,268493.766667,2016-09-29
31519,60,12,200582.483333,2016-09-30
27670,40,5,169359.183333,2016-10-01
23395,29,9,144100.316667,2016-10-02
18737,27,5,119856.283333,2016-10-03
27213,37,8,177493.666667,2016-10-04
26775,25,11,175464.933333,2016-10-05
24277,26,9,155412.166667,2016-10-06
21134,27,7,132854.15,2016-10-07
24504,26,8,154870.233333,2016-10-08
23711,24,8,147826.283333,2016-10-09
21890,28,5,135340.5,2016-10-10
18567,21,11,117838.233333,2016-10-11
17144,24,9,106774.583333,2016-10-12
16329,19,8,102085.2,2016-10-13
18402,24,11,112664.416667,2016-10-14
20322,21,3,126434.8,2016-10-15
18435,27,5,113183.55,2016-10-16
15905,7,6,97985.7166667,2016-10-17
15354,23,5,95483.75,2016-10-18
15567,19,3,94861.5833333,2016-10-19
15403,20,4,94797.2666667,2016-10-20
18392,27,7,112351.566667,2016-10-21
19073,22,10,117025.183333,2016-10-22
17892,27,6,111723.766667,2016-10-23
15167,16,7,97069.5666667,2016-10-24
14850,18,3,94579.9666667,2016-10-25
15884,25,3,99852.6833333,2016-10-26
15402,24,12,96298.7333333,2016-10-27
13565,23,3,82689.1333333,2016-10-28
13084,13,5,80221.5333333,2016-10-29
14413,23,11,87938.4333333,2016-10-30
11498,15,7,71252.3,2016-10-31
12229,15,9,75476.8166667,2016-11-01
11987,15,5,74947.8333333,2016-11-02
11582,12,7,72296.8333333,2016-11-03
11219,18,6,70355.7,2016-11-04
12290,13,8,75536.35,2016-11-05
11825,14,3,74641.9666667,2016-11-06
10012,11,7,61551.5666667,2016-11-07
9261,8,4,57079.5166667,2016-11-08
8723,9,5,51739.3333333,2016-11-09
8033,10,5,48561.7,2016-11-10
7829,8,4,47245.0333333,2016-11-11
9287,10,2,54463.8,2016-11-12
8959,14,3,53848.9333333,2016-11-13
7894,14,4,47168.4833333,2016-11-14
7616,18,4,46513.15,2016-11-15
7634,18,4,46637.9,2016-11-16
6914,11,3,41470.85,2016-11-17
7253,4,3,42488.6333333,2016-11-18
6936,6,1,40141.8666667,2016-11-19
7569,5,4,44501.6833333,2016-11-20
6978,3,2,41712.0333333,2016-11-21
8312,6,4,49643.1166667,2016-11-22
7877,13,3,47669.6,2016-11-23
8388,6,4,50155.6,2016-11-24
9049,11,3,54126.0666667,2016-11-25
8686,8,4,52219.1166667,2016-11-26
10509,10,4,64075.6333333,2016-11-27
9900,6,11,59708.2,2016-11-28
9904,7,7,59270.85,2016-11-29
9762,14,5,59607.1333333,2016-11-30
8659,11,3,51925.6166667,2016-12-01
8231,4,1,49984.2,2016-12-02
8046,3,2,47379.85,2016-12-03
7940,5,4,46869.2,2016-12-04
7055,10,2,42502.9666667,2016-12-05
7487,12,5,46675.8666667,2016-12-06
6519,9,4,39181.8166667,2016-12-07
6731,4,3,41034.9166667,2016-12-08
6845,10,1,40955.5,2016-12-09
6980,6,4,41643.9333333,2016-12-10
7200,2,0,42724.7,2016-12-11
6283,8,3,37465.3,2016-12-12
7925,8,7,45348.0833333,2016-12-13
7996,13,3,45747.5666667,2016-12-14
5920,6,7,35847.4666667,2016-12-15
5523,8,7,33023.75,2016-12-16
6416,7,4,38122.8,2016-12-17
6940,6,3,41176.8666667,2016-12-18
7529,6,2,44323.4,2016-12-19
6949,12,2,39927.3833333,2016-12-20
6838,9,3,39567.8666667,2016-12-21
6623,8,4,38212.3,2016-12-22
7047,7,2,40403.6,2016-12-23
6837,5,6,39138.5333333,2016-12-24
6236,3,5,35309.7333333,2016-12-25
8149,2,0,47304.5166667,2016-12-26
8423,5,3,48348.3166667,2016-12-27
10222,12,4,61094.4166667,2016-12-28
8766,4,0,49893.9666667,2016-12-29
8013,3,3,45823.3,2016-12-30
6766,4,3,37415.3833333,2016-12-31
8607,7,1,47288.65,2017-01-01
8794,7,5,51243.6666667,2017-01-02
8653,11,4,47060.4833333,2017-01-03
