dailyViewcount,numShare,numSubscriber,watchTime,date
8,0,0,16.85,2015-04-29
8,0,0,25.05,2015-04-30
4,0,0,5.4,2015-05-01
9,0,0,38.1833333333,2015-05-02
13,1,0,54.0166666667,2015-05-03
11,0,0,38.5833333333,2015-05-04
7,0,0,26.0,2015-05-05
21,0,0,88.7166666667,2015-05-06
13,0,0,53.9333333333,2015-05-07
15,0,0,41.3333333333,2015-05-08
10,0,0,34.2833333333,2015-05-09
10,1,0,39.2833333333,2015-05-10
33,1,0,95.35,2015-05-11
32,2,0,101.4,2015-05-12
57,1,0,221.966666667,2015-05-13
61,2,0,182.633333333,2015-05-14
66,4,0,200.15,2015-05-15
73,0,0,238.983333333,2015-05-16
41,0,0,133.316666667,2015-05-17
41,2,0,139.833333333,2015-05-18
41,0,0,128.633333333,2015-05-19
86,2,0,425.1,2015-05-20
90,3,0,334.916666667,2015-05-21
81,3,0,421.033333333,2015-05-22
82,3,0,309.7,2015-05-23
76,2,0,292.983333333,2015-05-24
95,2,0,392.416666667,2015-05-25
96,5,0,362.35,2015-05-26
44,1,0,159.55,2015-05-27
90,1,0,346.85,2015-05-28
148,1,0,618.183333333,2015-05-29
155,7,0,588.0,2015-05-30
158,11,0,483.583333333,2015-05-31
282,6,0,1105.25,2015-06-01
244,4,0,1051.61666667,2015-06-02
216,5,0,719.583333333,2015-06-03
181,3,0,620.25,2015-06-04
216,1,0,717.3,2015-06-05
253,5,0,886.583333333,2015-06-06
173,1,0,597.933333333,2015-06-07
176,4,0,629.016666667,2015-06-08
181,4,0,614.45,2015-06-09
177,1,0,690.6,2015-06-10
177,2,0,645.45,2015-06-11
250,2,0,1144.71666667,2015-06-12
294,1,0,1088.46666667,2015-06-13
281,2,0,1004.15,2015-06-14
205,2,0,803.283333333,2015-06-15
197,5,0,699.35,2015-06-16
234,2,0,909.383333333,2015-06-17
234,0,0,787.266666667,2015-06-18
240,2,0,1002.91666667,2015-06-19
251,1,0,834.366666667,2015-06-20
179,1,0,556.016666667,2015-06-21
198,0,0,751.983333333,2015-06-22
218,4,0,856.4,2015-06-23
218,2,0,822.0,2015-06-24
225,4,0,775.066666667,2015-06-25
264,6,0,947.816666667,2015-06-26
242,6,0,895.65,2015-06-27
197,1,0,709.283333333,2015-06-28
190,2,0,636.916666667,2015-06-29
143,3,0,513.716666667,2015-06-30
165,0,0,621.516666667,2015-07-01
184,1,0,594.583333333,2015-07-02
272,9,0,873.25,2015-07-03
321,4,0,1109.11666667,2015-07-04
359,7,0,1196.53333333,2015-07-05
348,5,0,1346.38333333,2015-07-06
369,12,0,1168.15,2015-07-07
398,2,0,1453.41666667,2015-07-08
405,7,0,1226.85,2015-07-09
453,4,0,1463.36666667,2015-07-10
