dailyViewcount,numShare,numSubscriber,watchTime,date
45311,1989,0,74079.4333333,2017-01-17
22182,683,0,32264.35,2017-01-18
21240,592,0,32103.55,2017-01-19
26148,654,0,41506.15,2017-01-20
25474,579,0,40572.7666667,2017-01-21
27199,590,0,40614.7833333,2017-01-22
28410,555,0,47570.1166667,2017-01-23
22256,419,0,40176.3833333,2017-01-24
19314,419,0,35150.2666667,2017-01-25
15151,325,0,27466.85,2017-01-26
13734,266,0,25552.3,2017-01-27
13813,253,6,24282.1333333,2017-01-28
11268,192,9,19612.5833333,2017-01-29
11689,212,5,20577.9166667,2017-01-30
12148,238,8,21865.4333333,2017-01-31
11229,199,5,21005.2,2017-02-01
13193,259,7,23034.5666667,2017-02-02
13826,273,3,24927.05,2017-02-03
18576,344,12,31311.6,2017-02-04
15874,336,8,26484.4833333,2017-02-05
15627,325,8,25927.5,2017-02-06
16354,329,10,28427.7333333,2017-02-07
16471,311,7,29261.75,2017-02-08
15903,306,4,29504.0,2017-02-09
18859,353,13,33714.2833333,2017-02-10
17902,303,8,33298.1333333,2017-02-11
13593,238,8,26119.5333333,2017-02-12
13311,241,2,25839.7833333,2017-02-13
13129,188,3,25583.6,2017-02-14
12341,237,7,23123.0,2017-02-15
12764,223,5,24389.6166667,2017-02-16
13892,209,5,26956.0166667,2017-02-17
14114,225,4,26994.3166667,2017-02-18
12027,218,2,22960.4,2017-02-19
11419,212,2,22100.0,2017-02-20
10061,164,2,20634.0333333,2017-02-21
12440,170,4,23698.4833333,2017-02-22
9663,99,1,20217.5333333,2017-02-23
10026,125,1,20747.5166667,2017-02-24
9662,78,2,19501.8333333,2017-02-25
8686,128,2,16730.3666667,2017-02-26
9787,140,1,19001.7333333,2017-02-27
10190,168,4,20190.0166667,2017-02-28
11383,181,2,22115.5166667,2017-03-01
11466,203,6,22745.4166667,2017-03-02
13736,252,3,26590.85,2017-03-03
13305,203,3,26191.9166667,2017-03-04
11626,212,0,22016.0333333,2017-03-05
11023,212,6,22158.65,2017-03-06
11268,219,1,22898.05,2017-03-07
11410,187,2,23255.7833333,2017-03-08
12547,219,7,26647.05,2017-03-09
13201,222,2,27399.0166667,2017-03-10
14286,258,5,28935.1833333,2017-03-11
12623,228,5,24702.0166667,2017-03-12
12418,242,4,25948.35,2017-03-13
12117,198,2,24749.7166667,2017-03-14
13615,249,3,27710.3,2017-03-15
12666,232,2,26421.4,2017-03-16
15603,275,3,31390.3166667,2017-03-17
15924,292,5,31291.4,2017-03-18
14156,259,4,28048.7666667,2017-03-19
14212,232,4,28929.0,2017-03-20
15108,267,8,30462.85,2017-03-21
14808,267,2,30094.2666667,2017-03-22
14546,244,7,29531.9833333,2017-03-23
16670,245,5,34150.45,2017-03-24
17453,252,6,35126.25,2017-03-25
15822,267,2,31124.3166667,2017-03-26
14638,251,1,30531.9166667,2017-03-27
15326,278,1,31503.8666667,2017-03-28
16709,277,5,35032.2,2017-03-29
18464,327,1,38067.0166667,2017-03-30
19485,307,4,41245.7333333,2017-03-31
20188,294,5,42547.6,2017-04-01
18227,305,2,37736.5,2017-04-02
17438,260,6,36327.6333333,2017-04-03
17122,281,2,36170.75,2017-04-04
17773,263,1,38075.9666667,2017-04-05
17849,278,1,37946.8333333,2017-04-06
18036,254,3,38735.1166667,2017-04-07
17326,234,2,36748.2833333,2017-04-08
16521,264,3,34204.15,2017-04-09
15811,214,4,33927.6,2017-04-10
16153,222,3,35040.15,2017-04-11
16012,219,2,34716.3666667,2017-04-12
16770,250,6,35403.7333333,2017-04-13
17362,302,2,35489.45,2017-04-14
16607,214,3,34195.1,2017-04-15
14659,223,2,29342.95,2017-04-16
14539,217,4,29463.2166667,2017-04-17
14598,209,2,30190.15,2017-04-18
14432,207,2,29411.2666667,2017-04-19
15210,218,3,31357.1,2017-04-20
17134,255,2,35742.9833333,2017-04-21
18571,243,6,37595.2833333,2017-04-22
15968,253,3,31275.4833333,2017-04-23
15118,216,2,30832.45,2017-04-24
15365,224,0,31169.2,2017-04-25
16023,223,1,32621.4,2017-04-26
16408,224,4,33355.7333333,2017-04-27
18070,237,4,37045.0833333,2017-04-28
18499,256,2,36648.5833333,2017-04-29
15522,213,5,30056.1333333,2017-04-30
14175,209,1,27903.9,2017-05-01
13945,192,1,28352.1666667,2017-05-02
14090,211,3,28486.9833333,2017-05-03
14919,179,2,30243.75,2017-05-04
16794,189,7,34914.05,2017-05-05
17341,224,1,34849.3666667,2017-05-06
15690,225,4,31182.9,2017-05-07
14302,222,3,30007.4166667,2017-05-08
14944,193,2,31468.8,2017-05-09
14659,211,2,30355.5833333,2017-05-10
14871,204,1,30529.8333333,2017-05-11
18138,251,2,37279.3666667,2017-05-12
18809,243,2,37817.7333333,2017-05-13
15533,206,3,30309.45,2017-05-14
13692,243,1,28158.9833333,2017-05-15
15300,196,2,31467.2,2017-05-16
14575,175,5,29936.0,2017-05-17
14325,211,1,29113.5666667,2017-05-18
15746,209,3,32170.2333333,2017-05-19
17994,185,1,36008.55,2017-05-20
13184,171,1,26646.4333333,2017-05-21
14268,194,1,28856.7166667,2017-05-22
