dailyViewcount,numShare,numSubscriber,watchTime,date
34613,581,9,83569.1,2015-07-27
25996,275,32,62793.65,2015-07-28
28915,232,37,61973.35,2015-07-29
22361,212,17,55583.1333333,2015-07-30
21316,218,30,53391.2166667,2015-07-31
20560,177,23,50934.4,2015-08-01
21278,175,24,52949.15,2015-08-02
22173,170,22,54811.5666667,2015-08-03
21454,194,23,52939.1666667,2015-08-04
24365,263,29,64733.7333333,2015-08-05
25045,256,27,70999.15,2015-08-06
23494,164,24,65760.0,2015-08-07
23390,138,21,62838.4833333,2015-08-08
20667,137,21,55126.2666667,2015-08-09
20129,133,14,52760.25,2015-08-10
20059,113,18,53006.2333333,2015-08-11
18701,134,18,51749.4833333,2015-08-12
18948,136,11,51965.0833333,2015-08-13
20627,135,6,56762.0333333,2015-08-14
19723,124,10,53124.8833333,2015-08-15
17747,119,9,48601.5833333,2015-08-16
19233,144,27,49986.15,2015-08-17
17851,118,13,47584.9166667,2015-08-18
17192,102,11,48043.7,2015-08-19
16608,107,10,46503.4333333,2015-08-20
16957,101,12,47515.95,2015-08-21
16708,99,7,45552.6166667,2015-08-22
16926,91,8,44756.9333333,2015-08-23
15075,91,9,42008.8666667,2015-08-24
14556,104,10,40138.6333333,2015-08-25
14546,104,5,40357.3166667,2015-08-26
14844,91,8,41632.5,2015-08-27
15378,95,8,44445.1166667,2015-08-28
15440,88,6,43295.7166667,2015-08-29
13811,88,12,37846.5833333,2015-08-30
13400,96,10,36375.4333333,2015-08-31
15824,93,12,43872.7666667,2015-09-01
16517,101,12,45751.2166667,2015-09-02
16664,123,12,46095.35,2015-09-03
17291,96,8,48586.7833333,2015-09-04
15520,100,3,42964.5833333,2015-09-05
14350,96,7,39852.4166667,2015-09-06
12991,87,5,36737.1166667,2015-09-07
12162,82,7,33995.6166667,2015-09-08
12716,80,5,35888.55,2015-09-09
12276,68,7,34566.3833333,2015-09-10
12273,85,3,35736.0666667,2015-09-11
12269,63,4,33802.3166667,2015-09-12
11224,81,6,31015.95,2015-09-13
10772,82,4,30300.15,2015-09-14
10795,74,3,30218.2666667,2015-09-15
11220,87,7,31615.8166667,2015-09-16
11016,62,6,31760.0333333,2015-09-17
11891,89,6,34470.1666667,2015-09-18
11732,63,7,32707.1333333,2015-09-19
10064,75,4,27833.7333333,2015-09-20
9864,48,5,28167.5166667,2015-09-21
10167,70,6,28762.5833333,2015-09-22
10256,62,6,28297.3666667,2015-09-23
10613,70,3,30152.0666667,2015-09-24
11738,58,8,34199.6833333,2015-09-25
12051,65,6,34864.9,2015-09-26
10164,56,6,27910.5333333,2015-09-27
10338,76,7,29531.9666667,2015-09-28
10145,63,6,29342.2833333,2015-09-29
10905,69,6,30796.6,2015-09-30
11406,73,9,31739.8166667,2015-10-01
12621,82,5,35943.8666667,2015-10-02
13059,89,6,36421.0666667,2015-10-03
10984,93,1,31121.75,2015-10-04
13063,94,5,37620.2333333,2015-10-05
14348,107,8,40831.2833333,2015-10-06
17181,100,12,48309.2166667,2015-10-07
14268,86,2,41848.7833333,2015-10-08
14992,101,3,44045.2333333,2015-10-09
14260,86,3,41085.8666667,2015-10-10
12140,62,6,35316.1666667,2015-10-11
12452,87,7,36349.8333333,2015-10-12
12895,86,6,37662.05,2015-10-13
13422,74,3,40029.65,2015-10-14
13233,71,2,39088.8833333,2015-10-15
13501,62,4,39704.1333333,2015-10-16
12446,60,5,36790.6,2015-10-17
9665,55,3,28277.8166667,2015-10-18
10770,69,2,32365.3333333,2015-10-19
12022,72,2,36381.2166667,2015-10-20
11576,75,3,34647.5166667,2015-10-21
12234,84,6,35170.4166667,2015-10-22
12929,66,3,38547.9833333,2015-10-23
11977,64,3,35172.2333333,2015-10-24
