dailyViewcount,numShare,numSubscriber,watchTime,date
245025,4450,424,600253.133333,2016-06-25
233814,4181,445,566268.483333,2016-06-26
282430,4319,485,686117.9,2016-06-27
232970,3138,257,542463.766667,2016-06-28
338326,4224,470,846194.866667,2016-06-29
319514,4311,348,835483.85,2016-06-30
285487,3527,236,773138.4,2016-07-01
310622,3248,241,830929.266667,2016-07-02
280684,3406,264,746488.016667,2016-07-03
250219,2884,198,684058.366667,2016-07-04
265695,3439,171,732300.916667,2016-07-05
274197,3379,194,762011.533333,2016-07-06
280301,3063,208,780211.433333,2016-07-07
293036,3144,131,838753.533333,2016-07-08
280580,3129,132,812572.333333,2016-07-09
254163,2864,155,732643.433333,2016-07-10
276589,3370,159,809962.116667,2016-07-11
287436,3428,190,848506.216667,2016-07-12
315411,3654,182,900255.083333,2016-07-13
323337,3823,170,942649.083333,2016-07-14
332233,3531,147,1002591.5,2016-07-15
342001,3360,139,1027062.35,2016-07-16
331089,3371,166,978142.25,2016-07-17
340781,3617,159,1037139.15,2016-07-18
323669,3395,196,986717.666667,2016-07-19
333385,3476,162,1018073.76667,2016-07-20
362103,3730,176,1088236.78333,2016-07-21
390542,3597,180,1175777.81667,2016-07-22
354011,3144,143,1068042.96667,2016-07-23
314261,3246,135,939428.766667,2016-07-24
329995,3554,146,1012135.21667,2016-07-25
349109,3641,154,1070316.16667,2016-07-26
357067,3523,182,1094313.63333,2016-07-27
366556,3407,149,1124954.61667,2016-07-28
407368,3519,159,1251316.16667,2016-07-29
412064,3729,165,1243022.1,2016-07-30
365605,3510,173,1093917.66667,2016-07-31
378712,3507,171,1149040.38333,2016-08-01
371255,3658,142,1140069.06667,2016-08-02
375388,3655,167,1160086.75,2016-08-03
400958,3822,156,1238326.68333,2016-08-04
458787,4002,148,1417420.88333,2016-08-05
449024,3761,137,1370901.16667,2016-08-06
401308,3763,146,1211798.53333,2016-08-07
420234,3952,140,1286346.23333,2016-08-08
431890,4108,199,1323556.8,2016-08-09
446277,4077,158,1349514.98333,2016-08-10
480536,4427,175,1454616.21667,2016-08-11
487735,4176,160,1482842.68333,2016-08-12
461096,3877,155,1389524.11667,2016-08-13
408566,3773,150,1224390.11667,2016-08-14
426428,3748,147,1302925.88333,2016-08-15
429361,3929,161,1312328.81667,2016-08-16
438511,3966,155,1343981.0,2016-08-17
453495,4205,163,1389734.28333,2016-08-18
514594,4400,170,1559110.48333,2016-08-19
518928,4255,197,1562678.21667,2016-08-20
466675,4160,148,1379522.63333,2016-08-21
481443,4201,153,1457214.81667,2016-08-22
481097,4297,144,1463136.98333,2016-08-23
506309,4541,189,1516535.58333,2016-08-24
498023,4560,187,1492482.65,2016-08-25
540720,4582,185,1617349.96667,2016-08-26
554732,4605,187,1637444.18333,2016-08-27
514233,4368,172,1494971.78333,2016-08-28
509402,4364,161,1512683.85,2016-08-29
529003,4356,181,1574700.68333,2016-08-30
545369,4410,200,1619305.61667,2016-08-31
551394,4347,181,1631172.06667,2016-09-01
602186,4272,171,1775546.0,2016-09-02
609634,4303,171,1764162.55,2016-09-03
565048,4153,175,1606793.66667,2016-09-04
535050,3970,170,1545911.5,2016-09-05
518650,4079,152,1529544.96667,2016-09-06
533974,4072,143,1576621.38333,2016-09-07
528206,3877,175,1561285.55,2016-09-08
569860,4053,166,1675761.56667,2016-09-09
642024,4467,198,1845010.73333,2016-09-10
558661,4541,203,1603710.96667,2016-09-11
535652,4081,174,1583539.43333,2016-09-12
534587,3943,133,1578527.2,2016-09-13
526661,4089,110,1559598.3,2016-09-14
529246,4093,171,1569337.48333,2016-09-15
587984,4179,154,1732526.08333,2016-09-16
621676,4195,192,1804406.33333,2016-09-17
531859,4126,142,1525814.06667,2016-09-18
506422,3972,128,1499039.0,2016-09-19
502741,3829,158,1487042.61667,2016-09-20
494145,3664,133,1468525.95,2016-09-21
506324,3583,170,1502747.78333,2016-09-22
557534,4025,124,1648980.95,2016-09-23
597091,3997,178,1738076.65,2016-09-24
533709,4212,158,1530997.95,2016-09-25
493525,3825,151,1453825.66667,2016-09-26
507790,3770,129,1496572.3,2016-09-27
517644,3731,153,1523491.0,2016-09-28
512169,3684,166,1500394.68333,2016-09-29
559349,3735,156,1627584.16667,2016-09-30
596980,3938,152,1710496.96667,2016-10-01
498419,3846,159,1415422.51667,2016-10-02
487059,3881,161,1425870.06667,2016-10-03
420501,2450,134,1250031.53333,2016-10-04
436246,2479,118,1276035.85,2016-10-05
479094,3259,142,1396735.06667,2016-10-06
584025,3513,165,1694679.96667,2016-10-07
554733,3547,139,1596610.38333,2016-10-08
478239,3387,155,1367595.95,2016-10-09
470419,3248,137,1375338.1,2016-10-10
474180,3213,154,1391430.03333,2016-10-11
499662,3494,164,1461912.53333,2016-10-12
500551,3502,171,1469346.21667,2016-10-13
539239,3447,163,1578281.46667,2016-10-14
583370,3716,164,1674353.11667,2016-10-15
490423,3594,169,1396543.83333,2016-10-16
487374,3352,132,1423744.91667,2016-10-17
491475,3265,142,1439125.8,2016-10-18
491289,3430,170,1438036.0,2016-10-19
493234,3342,165,1441880.7,2016-10-20
530900,3179,150,1553127.36667,2016-10-21
556229,3461,141,1607735.36667,2016-10-22
484010,3123,140,1382614.6,2016-10-23
472663,3032,144,1377266.25,2016-10-24
475084,3038,154,1390431.23333,2016-10-25
483402,2866,158,1410587.6,2016-10-26
496253,3034,133,1441555.3,2016-10-27
541421,2923,156,1575645.78333,2016-10-28
555700,2912,144,1611832.61667,2016-10-29
462024,2752,123,1312720.05,2016-10-30
435865,2692,112,1275099.7,2016-10-31
445066,2864,113,1283260.86667,2016-11-01
442956,3010,134,1287812.56667,2016-11-02
444864,3043,133,1288361.7,2016-11-03
476354,2998,122,1376969.2,2016-11-04
509044,3176,159,1455311.03333,2016-11-05
446775,3192,141,1263891.35,2016-11-06
415334,2671,134,1214700.88333,2016-11-07
413747,2461,125,1205179.96667,2016-11-08
403478,2566,103,1175262.95,2016-11-09
436030,2623,137,1278609.36667,2016-11-10
503768,2888,160,1453900.25,2016-11-11
522668,3016,144,1490106.35,2016-11-12
441870,2875,124,1251727.08333,2016-11-13
422556,2525,132,1220092.36667,2016-11-14
430067,2489,110,1243901.71667,2016-11-15
422948,2458,149,1220625.3,2016-11-16
415073,2515,116,1192074.21667,2016-11-17
450011,2539,126,1287574.35,2016-11-18
476653,2647,147,1351014.46667,2016-11-19
402527,2567,110,1129023.15,2016-11-20
382459,2308,109,1092055.48333,2016-11-21
393655,2438,106,1128519.1,2016-11-22
449206,2525,145,1291480.41667,2016-11-23
438334,2174,104,1267790.4,2016-11-24
410316,2195,102,1171777.5,2016-11-25
435042,2438,102,1240244.63333,2016-11-26
364964,2489,93,1030937.78333,2016-11-27
353202,2188,123,1012893.06667,2016-11-28
361260,2254,110,1035213.46667,2016-11-29
349381,2073,98,997274.666667,2016-11-30
355713,2055,113,1013083.93333,2016-12-01
385908,2060,83,1097556.7,2016-12-02
421444,2279,89,1196041.16667,2016-12-03
338060,2242,93,956840.75,2016-12-04
318456,1908,100,917439.016667,2016-12-05
318104,1961,90,909012.5,2016-12-06
336945,1955,87,961272.733333,2016-12-07
341624,1998,77,972945.166667,2016-12-08
349868,2122,79,988683.016667,2016-12-09
369262,2159,91,1032810.08333,2016-12-10
309697,2132,81,861249.016667,2016-12-11
297749,1856,94,839398.4,2016-12-12
299814,1959,84,853390.966667,2016-12-13
289344,1839,70,826528.3,2016-12-14
296749,1901,80,843065.983333,2016-12-15
327448,1894,79,927659.333333,2016-12-16
348315,2030,96,975712.1,2016-12-17
293111,1945,72,817410.333333,2016-12-18
305328,2002,94,858617.766667,2016-12-19
311989,1897,78,881036.65,2016-12-20
296325,1859,88,833982.816667,2016-12-21
303393,1843,73,857471.716667,2016-12-22
322025,1884,90,913308.566667,2016-12-23
329975,1748,63,942560.75,2016-12-24
307344,1791,70,854216.533333,2016-12-25
294305,1913,52,813866.283333,2016-12-26
298948,1937,83,832905.1,2016-12-27
292584,1905,71,815871.083333,2016-12-28
298498,2017,57,829959.466667,2016-12-29
341140,1928,79,953069.816667,2016-12-30
434304,1745,66,1239110.41667,2016-12-31
274751,1695,72,735033.166667,2017-01-01
285025,2009,93,768140.733333,2017-01-02
272047,1819,69,747159.15,2017-01-03
