dailyViewcount,numShare,numSubscriber,watchTime,date
53455,249,61,137257.133333,2013-05-07
74015,389,111,199093.766667,2013-05-08
109037,340,135,263722.4,2013-05-09
65193,270,64,196614.55,2013-05-10
74531,261,68,224835.9,2013-05-11
64688,177,45,200161.433333,2013-05-12
68031,177,61,210059.65,2013-05-13
64426,164,61,192072.316667,2013-05-14
66498,165,54,198780.216667,2013-05-15
69416,160,54,222601.383333,2013-05-16
78630,204,50,245320.433333,2013-05-17
75631,181,49,230876.166667,2013-05-18
72479,167,51,215674.25,2013-05-19
74896,163,39,230264.966667,2013-05-20
83036,199,43,247090.333333,2013-05-21
84861,193,54,259744.616667,2013-05-22
87101,197,70,274099.416667,2013-05-23
196647,389,241,492332.616667,2013-05-24
253372,407,231,599762.466667,2013-05-25
232796,457,218,564307.15,2013-05-26
182309,352,154,481672.8,2013-05-27
113907,233,77,351409.55,2013-05-28
113621,221,64,349374.4,2013-05-29
109204,206,60,343522.916667,2013-05-30
120179,186,65,371648.683333,2013-05-31
122240,213,55,369462.116667,2013-06-01
104451,168,50,312080.316667,2013-06-02
108567,230,48,328268.583333,2013-06-03
113438,164,52,344909.716667,2013-06-04
111857,223,55,338724.566667,2013-06-05
115224,209,56,346956.2,2013-06-06
126185,234,46,376090.633333,2013-06-07
132675,196,56,400867.383333,2013-06-08
108253,187,44,322205.55,2013-06-09
105472,218,53,312795.15,2013-06-10
106248,200,60,317757.616667,2013-06-11
107550,213,53,318579.433333,2013-06-12
109732,222,50,326830.733333,2013-06-13
120741,190,69,363369.316667,2013-06-14
128164,184,60,379363.2,2013-06-15
114438,163,53,332016.683333,2013-06-16
110019,214,58,316908.866667,2013-06-17
109172,221,67,314395.9,2013-06-18
113044,180,51,328660.2,2013-06-19
115003,208,51,329854.983333,2013-06-20
145711,273,76,422577.266667,2013-06-21
146423,248,74,430008.7,2013-06-22
152295,270,79,433083.6,2013-06-23
136504,294,83,404597.266667,2013-06-24
135622,254,82,401245.916667,2013-06-25
139011,291,85,407895.566667,2013-06-26
140037,248,86,408068.75,2013-06-27
159691,237,80,460499.433333,2013-06-28
172560,252,73,487797.616667,2013-06-29
149269,228,78,409875.5,2013-06-30
155456,240,59,432922.516667,2013-07-01
160564,251,62,439847.533333,2013-07-02
169762,216,67,468155.6,2013-07-03
175959,201,68,484392.6,2013-07-04
163139,211,69,446151.733333,2013-07-05
172212,253,81,470736.983333,2013-07-06
172755,250,79,455920.95,2013-07-07
189841,291,120,499548.95,2013-07-08
178254,287,91,475952.333333,2013-07-09
193072,308,109,503841.533333,2013-07-10
174561,298,82,424498.816667,2013-07-11
170997,224,83,414861.316667,2013-07-12
171392,212,72,404481.3,2013-07-13
152486,218,59,350320.95,2013-07-14
154380,232,68,361916.5,2013-07-15
146227,231,69,348513.933333,2013-07-16
147957,222,74,347196.283333,2013-07-17
158014,190,82,384762.4,2013-07-18
