dailyViewcount,numShare,numSubscriber,watchTime,date
80920,2075,220,261743.416667,2016-05-26
74925,1514,93,229788.283333,2016-05-27
73565,1091,65,213823.933333,2016-05-28
68231,1008,55,199401.316667,2016-05-29
53199,959,82,170307.85,2016-05-30
57340,1042,63,180936.216667,2016-05-31
65631,1175,73,203669.85,2016-06-01
139728,2546,253,429405.366667,2016-06-02
128582,2135,97,406946.433333,2016-06-03
131014,1918,102,417660.216667,2016-06-04
111600,1534,75,355708.25,2016-06-05
111765,1539,74,365500.083333,2016-06-06
112025,1546,83,375913.35,2016-06-07
179341,2843,280,572350.016667,2016-06-08
135415,1845,96,456410.133333,2016-06-09
137099,1639,122,454186.966667,2016-06-10
154559,1882,131,496476.733333,2016-06-11
144200,1714,117,468660.916667,2016-06-12
130848,1782,68,444007.366667,2016-06-13
141611,1728,112,474686.616667,2016-06-14
142588,1686,86,483340.666667,2016-06-15
147621,1478,69,507110.866667,2016-06-16
142557,1458,73,489759.016667,2016-06-17
138230,1348,43,476039.016667,2016-06-18
126834,1264,67,427606.6,2016-06-19
129707,1402,48,450390.6,2016-06-20
135853,1445,65,470958.583333,2016-06-21
125301,1312,41,442079.866667,2016-06-22
120989,1424,39,430815.783333,2016-06-23
124605,1333,48,447091.083333,2016-06-24
123148,1414,42,437272.85,2016-06-25
118121,1301,36,406446.383333,2016-06-26
123395,1350,47,431197.266667,2016-06-27
126351,1456,61,445622.366667,2016-06-28
120491,1464,29,434178.8,2016-06-29
118611,1282,37,429186.116667,2016-06-30
127383,1353,35,459819.933333,2016-07-01
126622,1305,31,454169.15,2016-07-02
117402,1398,24,419278.816667,2016-07-03
125355,1275,34,441455.983333,2016-07-04
129193,1549,39,452748.7,2016-07-05
130102,1469,43,460715.85,2016-07-06
134087,1498,38,476994.7,2016-07-07
124130,1310,38,451528.633333,2016-07-08
116566,1212,26,425259.2,2016-07-09
102280,1197,30,371281.85,2016-07-10
105776,1238,30,390168.833333,2016-07-11
105414,1352,24,387311.25,2016-07-12
103242,1309,28,382737.95,2016-07-13
106554,1336,16,395292.35,2016-07-14
112297,1396,20,422616.683333,2016-07-15
108791,1242,21,405932.733333,2016-07-16
95226,1208,17,351133.35,2016-07-17
101662,1357,18,382243.766667,2016-07-18
102965,1326,24,389132.283333,2016-07-19
107906,1342,23,409751.033333,2016-07-20
114873,1378,29,432584.183333,2016-07-21
124770,1521,30,473727.916667,2016-07-22
120765,1415,27,452337.05,2016-07-23
110132,1402,30,405813.866667,2016-07-24
115262,1397,30,432935.25,2016-07-25
122657,1488,28,459402.033333,2016-07-26
134411,1564,25,502327.483333,2016-07-27
144653,1636,43,530445.4,2016-07-28
155148,1604,34,575602.5,2016-07-29
144381,1470,24,535368.166667,2016-07-30
128769,1385,20,471286.6,2016-07-31
131280,1497,37,489880.5,2016-08-01
133079,1561,22,495750.983333,2016-08-02
135946,1638,33,507905.35,2016-08-03
146427,1603,42,546935.716667,2016-08-04
152457,1529,37,580032.866667,2016-08-05
157574,1474,32,589331.983333,2016-08-06
139777,1425,24,516169.083333,2016-08-07
141048,1496,29,527829.45,2016-08-08
139842,1583,35,527781.55,2016-08-09
151545,1672,32,562570.266667,2016-08-10
193564,1902,64,676786.633333,2016-08-11
166038,1610,40,615459.083333,2016-08-12
162315,1543,19,596379.266667,2016-08-13
158900,1680,37,555608.85,2016-08-14
150516,1463,36,554213.816667,2016-08-15
149577,1578,29,557688.516667,2016-08-16
150742,1584,35,567849.383333,2016-08-17
152514,1585,33,577827.966667,2016-08-18
167131,1566,34,627108.516667,2016-08-19
170862,1497,29,632941.716667,2016-08-20
147493,1478,27,542904.7,2016-08-21
147625,1411,27,559641.133333,2016-08-22
149360,1655,37,567312.883333,2016-08-23
147177,1595,28,557125.216667,2016-08-24
150544,1505,33,566940.0,2016-08-25
180030,1618,44,661254.9,2016-08-26
184958,1612,32,671080.116667,2016-08-27
144472,1348,27,526444.416667,2016-08-28
154186,1456,35,573113.3,2016-08-29
154920,1643,26,585873.183333,2016-08-30
155886,1529,33,591892.283333,2016-08-31
160317,1539,35,614363.9,2016-09-01
184956,1659,29,705725.483333,2016-09-02
186195,1485,33,695748.266667,2016-09-03
167182,1409,30,621138.866667,2016-09-04
163887,1424,30,610579.1,2016-09-05
158621,1473,27,593645.2,2016-09-06
167025,1604,26,626480.466667,2016-09-07
174086,1555,26,653521.4,2016-09-08
196493,1623,35,732824.3,2016-09-09
215175,1623,35,779081.683333,2016-09-10
183320,1595,31,659996.816667,2016-09-11
171205,1491,29,643733.35,2016-09-12
179644,1695,27,675766.766667,2016-09-13
183517,1605,34,692358.6,2016-09-14
182504,1598,39,691178.833333,2016-09-15
205320,1621,29,773583.516667,2016-09-16
213313,1581,33,781049.933333,2016-09-17
174108,1561,26,630892.566667,2016-09-18
180561,1639,38,670031.633333,2016-09-19
175637,1528,33,658802.583333,2016-09-20
169713,1506,38,636353.383333,2016-09-21
174312,1449,34,655483.916667,2016-09-22
201118,1431,21,749112.933333,2016-09-23
209871,1472,27,762624.683333,2016-09-24
173165,1393,18,624885.65,2016-09-25
163253,1362,19,609767.883333,2016-09-26
158373,1447,26,595147.216667,2016-09-27
166406,1526,32,616494.016667,2016-09-28
175585,1487,37,644025.25,2016-09-29
184862,1383,28,682707.35,2016-09-30
192629,1323,25,696018.133333,2016-10-01
161609,1291,35,577555.316667,2016-10-02
148966,1274,26,551670.216667,2016-10-03
155046,1422,25,576412.283333,2016-10-04
164607,1144,23,596846.7,2016-10-05
161923,1210,28,602092.916667,2016-10-06
202094,1283,42,740818.816667,2016-10-07
174644,1108,19,636269.65,2016-10-08
148480,1011,23,534654.716667,2016-10-09
150769,1104,35,555359.75,2016-10-10
157105,1119,39,576908.966667,2016-10-11
155686,1127,33,572550.6,2016-10-12
157506,1200,26,584072.483333,2016-10-13
171848,1116,29,634792.7,2016-10-14
182450,1047,31,656366.0,2016-10-15
152441,1040,22,539334.2,2016-10-16
150370,1002,26,551068.3,2016-10-17
151515,1065,25,557392.983333,2016-10-18
150135,1031,37,550442.633333,2016-10-19
156811,1068,22,576003.55,2016-10-20
171215,1095,24,625683.033333,2016-10-21
173089,971,22,620715.016667,2016-10-22
145468,900,28,517239.5,2016-10-23
147455,960,29,532043.416667,2016-10-24
149043,943,22,537143.95,2016-10-25
153828,979,31,555147.05,2016-10-26
156984,1034,33,566078.483333,2016-10-27
166825,924,27,603099.716667,2016-10-28
171496,885,28,609355.4,2016-10-29
135966,832,24,476442.083333,2016-10-30
132859,755,25,482334.666667,2016-10-31
137491,872,25,497961.283333,2016-11-01
148800,913,17,532317.983333,2016-11-02
154294,1016,27,550288.45,2016-11-03
165089,925,26,589670.583333,2016-11-04
165501,814,30,582397.883333,2016-11-05
142503,857,12,497718.583333,2016-11-06
131051,838,20,468850.05,2016-11-07
126681,808,15,452673.016667,2016-11-08
119561,680,26,430201.383333,2016-11-09
135430,821,24,488818.933333,2016-11-10
149746,759,31,531864.516667,2016-11-11
142660,794,23,502146.933333,2016-11-12
118773,841,20,412363.0,2016-11-13
123265,759,14,438974.116667,2016-11-14
126905,834,17,453486.933333,2016-11-15
127202,775,26,452292.4,2016-11-16
127665,794,25,464243.466667,2016-11-17
137418,767,19,493101.066667,2016-11-18
128440,680,20,457584.016667,2016-11-19
109741,705,11,385680.8,2016-11-20
113266,678,21,406524.566667,2016-11-21
123706,792,16,440305.633333,2016-11-22
132639,723,19,477527.916667,2016-11-23
125232,611,9,443128.65,2016-11-24
111522,650,12,394675.9,2016-11-25
115229,676,13,408238.45,2016-11-26
96994,684,15,341230.433333,2016-11-27
99780,651,16,358047.9,2016-11-28
105455,687,22,378462.95,2016-11-29
102475,689,20,368941.1,2016-11-30
109167,746,22,392280.35,2016-12-01
119130,664,17,427667.4,2016-12-02
118811,650,18,420247.7,2016-12-03
92778,581,13,327143.283333,2016-12-04
94831,655,13,341121.116667,2016-12-05
98477,678,15,350408.816667,2016-12-06
98584,671,18,354260.05,2016-12-07
102225,653,23,367038.933333,2016-12-08
109559,627,15,390290.65,2016-12-09
115343,634,16,404646.116667,2016-12-10
101066,598,10,350310.116667,2016-12-11
99681,654,18,352590.383333,2016-12-12
98855,620,20,351366.533333,2016-12-13
93861,605,15,337932.15,2016-12-14
95054,622,20,341836.233333,2016-12-15
115532,607,20,405887.766667,2016-12-16
118820,593,14,412355.616667,2016-12-17
93268,555,11,325647.25,2016-12-18
93169,527,14,330179.7,2016-12-19
97526,588,11,348951.633333,2016-12-20
106339,602,13,375706.25,2016-12-21
109967,600,19,388461.016667,2016-12-22
114795,605,18,410393.433333,2016-12-23
118336,530,16,419926.733333,2016-12-24
94722,582,9,326537.15,2016-12-25
86258,548,7,299120.733333,2016-12-26
90285,576,14,318327.55,2016-12-27
90194,594,15,318976.083333,2016-12-28
90107,569,21,320470.266667,2016-12-29
100262,574,13,356816.666667,2016-12-30
111425,490,7,397391.416667,2016-12-31
77409,478,16,266246.866667,2017-01-01
75388,511,14,262761.083333,2017-01-02
74125,523,12,261283.366667,2017-01-03
78412,485,12,278861.683333,2017-01-04
