dailyViewcount,numShare,numSubscriber,watchTime,date
4030,13,1,12208.85,2017-01-03
1893,5,0,4856.63333333,2017-01-04
1466,3,1,4023.01666667,2017-01-05
1226,5,1,3730.63333333,2017-01-06
1273,1,0,3789.7,2017-01-07
1129,0,0,3469.75,2017-01-08
1084,1,1,3197.93333333,2017-01-09
651,0,0,1920.91666667,2017-01-10
724,1,0,2219.13333333,2017-01-11
627,1,0,1814.36666667,2017-01-12
974,0,0,2990.68333333,2017-01-13
928,0,0,2771.01666667,2017-01-14
923,1,0,2897.51666667,2017-01-15
1110,0,0,3048.85,2017-01-16
1123,1,0,3303.28333333,2017-01-17
986,1,0,3066.88333333,2017-01-18
908,0,0,2715.9,2017-01-19
787,2,0,2345.2,2017-01-20
676,0,0,1979.28333333,2017-01-21
764,6,0,2125.78333333,2017-01-22
689,0,0,2110.21666667,2017-01-23
651,0,0,1990.08333333,2017-01-24
553,0,0,1604.13333333,2017-01-25
569,1,0,1629.48333333,2017-01-26
434,0,0,1169.0,2017-01-27
388,0,0,1175.73333333,2017-01-28
385,0,0,1151.33333333,2017-01-29
354,1,0,1164.16666667,2017-01-30
401,0,0,1293.25,2017-01-31
508,0,0,1629.56666667,2017-02-01
463,0,0,1616.81666667,2017-02-02
399,1,1,1594.55,2017-02-03
365,0,0,1258.95,2017-02-04
307,0,0,1033.21666667,2017-02-05
317,0,0,1095.58333333,2017-02-06
384,0,0,1367.86666667,2017-02-07
340,0,0,1094.53333333,2017-02-08
281,0,0,979.383333333,2017-02-09
259,0,0,822.316666667,2017-02-10
292,1,0,1043.5,2017-02-11
319,0,0,1097.51666667,2017-02-12
297,0,0,1043.91666667,2017-02-13
317,1,0,1019.8,2017-02-14
362,0,0,1261.18333333,2017-02-15
460,1,0,1641.31666667,2017-02-16
503,1,0,1586.61666667,2017-02-17
435,0,0,1403.68333333,2017-02-18
361,0,0,1204.51666667,2017-02-19
407,0,0,1361.31666667,2017-02-20
336,0,0,1058.56666667,2017-02-21
243,0,0,823.233333333,2017-02-22
342,1,0,1250.91666667,2017-02-23
370,0,0,1340.58333333,2017-02-24
366,0,0,1202.1,2017-02-25
276,1,0,866.933333333,2017-02-26
270,0,0,808.483333333,2017-02-27
250,1,0,724.75,2017-02-28
246,0,0,760.85,2017-03-01
304,1,0,1037.15,2017-03-02
256,0,0,894.783333333,2017-03-03
320,0,0,1034.66666667,2017-03-04
268,0,0,890.233333333,2017-03-05
299,0,0,1025.43333333,2017-03-06
289,0,0,924.216666667,2017-03-07
362,0,0,1233.45,2017-03-08
326,0,0,1187.73333333,2017-03-09
351,0,0,1239.38333333,2017-03-10
367,0,0,1382.68333333,2017-03-11
303,0,0,1107.6,2017-03-12
348,0,0,1341.8,2017-03-13
370,0,0,1427.66666667,2017-03-14
334,0,0,1244.2,2017-03-15
322,0,0,1114.85,2017-03-16
319,0,0,1114.0,2017-03-17
352,0,0,1275.46666667,2017-03-18
234,0,0,715.15,2017-03-19
294,0,0,1074.41666667,2017-03-20
240,0,0,863.35,2017-03-21
277,0,0,961.233333333,2017-03-22
423,0,0,1701.55,2017-03-23
395,0,1,1531.05,2017-03-24
424,0,0,1608.96666667,2017-03-25
392,1,0,1530.2,2017-03-26
371,0,0,1385.26666667,2017-03-27
359,0,0,1430.43333333,2017-03-28
415,0,0,1537.98333333,2017-03-29
401,0,0,1472.76666667,2017-03-30
450,0,0,1648.15,2017-03-31
484,0,0,1849.01666667,2017-04-01
453,0,0,1775.73333333,2017-04-02
389,0,0,1374.01666667,2017-04-03
430,0,0,1666.98333333,2017-04-04
423,0,0,1604.75,2017-04-05
454,0,0,1601.21666667,2017-04-06
528,0,0,1676.45,2017-04-07
488,0,0,1583.1,2017-04-08
462,1,0,1582.28333333,2017-04-09
447,0,0,1448.11666667,2017-04-10
471,0,0,1633.9,2017-04-11
601,0,0,1949.0,2017-04-12
513,0,0,1852.01666667,2017-04-13
500,0,0,1753.28333333,2017-04-14
450,0,0,1490.26666667,2017-04-15
464,0,0,1588.91666667,2017-04-16
457,0,0,1500.26666667,2017-04-17
423,1,0,1343.13333333,2017-04-18
460,0,1,1667.18333333,2017-04-19
419,0,1,1391.63333333,2017-04-20
504,0,0,1803.18333333,2017-04-21
562,0,0,2149.93333333,2017-04-22
435,0,0,1639.0,2017-04-23
524,0,0,1903.71666667,2017-04-24
525,1,0,1986.21666667,2017-04-25
525,0,0,1993.73333333,2017-04-26
381,0,0,1346.56666667,2017-04-27
353,0,0,1306.45,2017-04-28
393,0,0,1462.75,2017-04-29
408,0,0,1578.75,2017-04-30
327,1,0,1222.0,2017-05-01
333,0,0,1227.61666667,2017-05-02
303,0,0,1193.88333333,2017-05-03
264,0,0,964.9,2017-05-04
412,0,0,1632.63333333,2017-05-05
332,0,0,1312.13333333,2017-05-06
268,0,0,1039.03333333,2017-05-07
297,1,0,1070.31666667,2017-05-08
283,1,0,1041.55,2017-05-09
290,0,0,994.033333333,2017-05-10
297,2,0,1049.33333333,2017-05-11
284,0,0,1018.05,2017-05-12
348,0,0,1317.61666667,2017-05-13
252,0,0,862.466666667,2017-05-14
272,0,0,951.633333333,2017-05-15
247,0,0,950.383333333,2017-05-16
198,1,0,701.083333333,2017-05-17
245,0,0,862.616666667,2017-05-18
256,0,0,911.483333333,2017-05-19
271,0,0,1051.46666667,2017-05-20
221,0,0,756.066666667,2017-05-21
300,0,0,1076.85,2017-05-22
