dailyViewcount,numShare,numSubscriber,watchTime,date
1866435,35517,2156,5999169.56667,2016-09-04
3719948,30753,3846,10872601.1,2016-09-05
2513485,19215,2998,7376004.05,2016-09-06
1807306,12756,1684,5276353.05,2016-09-07
1457146,9165,1056,4259035.06667,2016-09-08
1298695,7389,872,3828761.65,2016-09-09
1320250,7182,840,3903426.61667,2016-09-10
1087744,6555,658,3225409.23333,2016-09-11
921636,5300,488,2792812.71667,2016-09-12
888562,5224,324,2703945.6,2016-09-13
854313,5166,303,2599204.55,2016-09-14
837695,4824,325,2570092.7,2016-09-15
893365,4557,341,2715571.71667,2016-09-16
938630,4650,335,2839405.05,2016-09-17
871121,4772,438,2598227.41667,2016-09-18
728957,3979,297,2293612.11667,2016-09-19
707537,4049,247,2233487.73333,2016-09-20
696070,4007,250,2196825.23333,2016-09-21
682314,3754,217,2175575.58333,2016-09-22
723837,3601,182,2289266.61667,2016-09-23
765920,3691,288,2391169.06667,2016-09-24
672276,3570,257,2082630.45,2016-09-25
569276,3180,187,1826724.88333,2016-09-26
553631,3176,171,1790123.46667,2016-09-27
578940,3239,202,1876702.55,2016-09-28
594658,3251,191,1932880.06667,2016-09-29
642626,3037,229,2056290.26667,2016-09-30
735460,3363,260,2288200.61667,2016-10-01
604973,3284,211,1890468.91667,2016-10-02
522262,2630,165,1700675.98333,2016-10-03
513940,2591,169,1684715.48333,2016-10-04
518766,2492,166,1701152.71667,2016-10-05
507401,2489,159,1672132.45,2016-10-06
600815,2620,162,1964998.36667,2016-10-07
590533,2587,152,1890893.23333,2016-10-08
490506,2444,136,1555278.05,2016-10-09
461468,2225,159,1509071.06667,2016-10-10
468727,2200,137,1541217.06667,2016-10-11
482576,2285,129,1575961.5,2016-10-12
480546,2223,119,1568211.35,2016-10-13
509878,2007,133,1651837.71667,2016-10-14
509014,2203,123,1610572.11667,2016-10-15
457289,2103,138,1428004.56667,2016-10-16
428666,1901,114,1383354.33333,2016-10-17
428387,2023,117,1390269.95,2016-10-18
431161,1987,117,1395603.0,2016-10-19
454087,2042,137,1479164.65,2016-10-20
490199,2070,131,1585400.93333,2016-10-21
499064,1941,133,1590233.93333,2016-10-22
407319,1969,125,1279841.0,2016-10-23
385960,1772,110,1244906.73333,2016-10-24
392648,1806,123,1267339.76667,2016-10-25
388537,1773,93,1259058.45,2016-10-26
392949,1741,107,1265042.21667,2016-10-27
424396,1715,121,1364140.91667,2016-10-28
444988,1783,125,1416448.83333,2016-10-29
379931,1712,110,1186638.85,2016-10-30
354342,1423,90,1151144.35,2016-10-31
380038,1646,100,1211059.55,2016-11-01
386084,1747,107,1242080.6,2016-11-02
397933,1754,95,1288629.35,2016-11-03
416204,1686,106,1344962.71667,2016-11-04
448704,1762,113,1414889.23333,2016-11-05
386605,1762,123,1207743.16667,2016-11-06
352130,1570,94,1135311.56667,2016-11-07
344954,1505,92,1111419.93333,2016-11-08
333966,1421,98,1069142.96667,2016-11-09
365395,1515,111,1182680.81667,2016-11-10
409152,1642,97,1295937.53333,2016-11-11
398095,1638,93,1244363.98333,2016-11-12
335227,1536,85,1038162.03333,2016-11-13
311727,1428,87,996802.35,2016-11-14
312952,1313,85,1007972.0,2016-11-15
314579,1383,98,1014833.36667,2016-11-16
313575,1309,71,1009746.85,2016-11-17
334038,1315,89,1065422.28333,2016-11-18
353432,1490,91,1100891.3,2016-11-19
304428,1448,76,941451.983333,2016-11-20
293657,1257,62,938196.883333,2016-11-21
301936,1286,61,969067.3,2016-11-22
316426,1297,89,1026686.8,2016-11-23
300835,1173,67,960191.75,2016-11-24
295130,1219,80,928431.65,2016-11-25
318627,1267,91,998884.416667,2016-11-26
269656,1295,88,840450.833333,2016-11-27
262250,1120,80,843165.966667,2016-11-28
272783,1240,71,875357.633333,2016-11-29
369065,1607,89,1156517.11667,2016-11-30
444020,1684,125,1376023.41667,2016-12-01
344161,1359,69,1093944.13333,2016-12-02
432292,1500,91,1329343.33333,2016-12-03
353500,1346,97,1079209.33333,2016-12-04
316509,1127,61,992750.416667,2016-12-05
348634,1362,94,1094101.98333,2016-12-06
352817,1327,86,1118906.98333,2016-12-07
355623,1168,83,1130255.88333,2016-12-08
413892,1449,112,1318178.93333,2016-12-09
394007,1320,91,1255189.18333,2016-12-10
327366,1279,74,1026508.78333,2016-12-11
307804,1164,49,990139.35,2016-12-12
309855,1090,58,998444.016667,2016-12-13
317346,1175,60,1024538.01667,2016-12-14
313750,1118,63,1019742.66667,2016-12-15
314975,1048,62,1015769.9,2016-12-16
320805,1050,62,1016940.06667,2016-12-17
277896,1088,52,876947.183333,2016-12-18
279409,979,62,900935.283333,2016-12-19
290207,1047,52,935284.916667,2016-12-20
294024,1079,52,958444.683333,2016-12-21
300266,1083,38,975763.166667,2016-12-22
300750,1041,43,971619.383333,2016-12-23
280912,878,45,902397.75,2016-12-24
233975,896,41,722345.416667,2016-12-25
262178,1163,47,819916.85,2016-12-26
275867,1246,68,873678.216667,2016-12-27
296990,1247,75,956022.216667,2016-12-28
303983,1268,56,975976.866667,2016-12-29
321731,1250,61,1033065.55,2016-12-30
372279,1070,49,1207198.18333,2016-12-31
232907,922,47,708578.3,2017-01-01
260240,1011,58,813706.216667,2017-01-02
259157,1075,56,819723.7,2017-01-03
271043,1123,50,858339.016667,2017-01-04
