dailyViewcount,numShare,numSubscriber,watchTime,date
25994,20,0,133453.266667,2016-01-30
47891,17,9,254443.933333,2016-01-31
35865,19,11,173674.933333,2016-02-01
35800,5,7,178929.35,2016-02-02
30455,9,10,139249.416667,2016-02-03
12257,6,3,59459.9833333,2016-02-04
5183,2,0,24000.9666667,2016-02-05
3130,0,0,14424.9166667,2016-02-06
1923,1,0,8651.23333333,2016-02-07
1388,1,1,6430.7,2016-02-08
1290,0,1,6115.8,2016-02-09
1476,0,0,7243.16666667,2016-02-10
1188,1,0,5668.25,2016-02-11
971,0,0,4703.41666667,2016-02-12
811,0,0,3858.71666667,2016-02-13
708,1,1,3511.96666667,2016-02-14
819,0,0,3921.31666667,2016-02-15
564,0,1,2851.33333333,2016-02-16
598,0,1,2830.48333333,2016-02-17
558,0,0,2813.71666667,2016-02-18
446,0,0,2085.91666667,2016-02-19
457,0,0,2066.36666667,2016-02-20
505,0,0,2511.3,2016-02-21
420,0,0,2012.13333333,2016-02-22
413,1,0,2159.21666667,2016-02-23
391,0,0,1990.6,2016-02-24
302,0,0,1483.76666667,2016-02-25
259,0,0,1329.83333333,2016-02-26
275,0,0,1439.25,2016-02-27
271,0,0,1372.36666667,2016-02-28
298,0,0,1565.66666667,2016-02-29
303,0,0,1445.83333333,2016-03-01
283,0,0,1505.68333333,2016-03-02
224,0,0,1135.43333333,2016-03-03
187,0,0,1000.81666667,2016-03-04
233,0,0,1062.98333333,2016-03-05
260,0,0,1340.36666667,2016-03-06
248,0,0,1212.65,2016-03-07
239,0,1,1223.23333333,2016-03-08
212,1,1,998.833333333,2016-03-09
274,0,0,1274.6,2016-03-10
210,0,0,1091.51666667,2016-03-11
200,0,0,992.066666667,2016-03-12
213,0,0,974.033333333,2016-03-13
193,0,0,824.433333333,2016-03-14
229,0,0,1011.23333333,2016-03-15
239,0,0,1064.16666667,2016-03-16
274,0,0,1244.88333333,2016-03-17
218,0,0,989.816666667,2016-03-18
211,1,0,1059.91666667,2016-03-19
258,0,0,1187.9,2016-03-20
242,1,0,1140.88333333,2016-03-21
206,0,0,946.616666667,2016-03-22
170,0,0,905.833333333,2016-03-23
170,0,0,765.3,2016-03-24
191,0,0,912.833333333,2016-03-25
213,0,0,1072.53333333,2016-03-26
196,0,0,914.783333333,2016-03-27
203,0,0,1002.26666667,2016-03-28
177,1,0,939.816666667,2016-03-29
156,0,0,734.116666667,2016-03-30
180,0,0,861.833333333,2016-03-31
171,0,0,752.233333333,2016-04-01
179,0,0,923.533333333,2016-04-02
221,0,0,1099.31666667,2016-04-03
282,0,0,1340.45,2016-04-04
275,0,0,1419.68333333,2016-04-05
313,0,0,1468.1,2016-04-06
400,0,0,2070.88333333,2016-04-07
344,0,1,1569.93333333,2016-04-08
411,0,0,1833.85,2016-04-09
388,1,0,1893.8,2016-04-10
347,0,0,1837.38333333,2016-04-11
335,0,0,1613.25,2016-04-12
268,0,0,1330.8,2016-04-13
1779,0,0,9127.21666667,2016-04-14
469,0,0,2132.5,2016-04-15
512,0,0,2334.8,2016-04-16
625,0,0,2933.9,2016-04-17
618,1,0,3023.3,2016-04-18
544,0,0,2658.28333333,2016-04-19
622,0,0,3061.71666667,2016-04-20
575,0,1,2803.61666667,2016-04-21
483,0,0,2243.73333333,2016-04-22
438,0,0,1983.1,2016-04-23
458,0,0,2072.13333333,2016-04-24
457,0,0,2079.33333333,2016-04-25
417,0,0,1936.51666667,2016-04-26
452,0,0,2152.41666667,2016-04-27
435,0,0,1932.75,2016-04-28
407,1,0,1746.6,2016-04-29
382,0,0,1552.08333333,2016-04-30
388,0,0,1751.33333333,2016-05-01
315,0,0,1311.35,2016-05-02
335,0,0,1480.7,2016-05-03
371,3,0,1690.48333333,2016-05-04
360,0,0,1720.96666667,2016-05-05
344,1,0,1564.91666667,2016-05-06
641,0,0,2716.9,2016-05-07
325,0,0,1399.95,2016-05-08
342,0,0,1609.7,2016-05-09
308,0,0,1306.95,2016-05-10
300,0,2,1442.95,2016-05-11
291,0,0,1334.9,2016-05-12
244,0,0,1075.38333333,2016-05-13
255,0,0,1207.56666667,2016-05-14
256,0,0,1205.66666667,2016-05-15
256,0,0,1182.8,2016-05-16
259,0,0,1166.88333333,2016-05-17
269,1,0,1134.51666667,2016-05-18
278,0,2,1051.55,2016-05-19
234,0,0,1005.63333333,2016-05-20
256,0,0,1090.96666667,2016-05-21
269,1,0,1191.35,2016-05-22
322,0,0,1620.15,2016-05-23
202,0,0,953.85,2016-05-24
255,0,0,1169.95,2016-05-25
179,0,0,882.733333333,2016-05-26
159,0,1,850.45,2016-05-27
156,0,0,687.683333333,2016-05-28
201,0,0,994.983333333,2016-05-29
202,0,0,906.383333333,2016-05-30
184,1,0,867.233333333,2016-05-31
218,0,0,1020.65,2016-06-01
190,0,0,891.183333333,2016-06-02
141,2,0,687.25,2016-06-03
155,0,0,701.916666667,2016-06-04
225,0,0,1024.43333333,2016-06-05
199,0,0,977.316666667,2016-06-06
170,0,0,842.533333333,2016-06-07
208,0,0,1020.8,2016-06-08
289,0,0,1339.48333333,2016-06-09
216,0,0,1067.86666667,2016-06-10
210,0,0,981.833333333,2016-06-11
218,0,0,1087.55,2016-06-12
229,0,0,1164.2,2016-06-13
232,0,0,1001.9,2016-06-14
233,0,0,1087.3,2016-06-15
198,0,0,976.366666667,2016-06-16
166,1,0,854.133333333,2016-06-17
161,0,0,639.166666667,2016-06-18
163,0,0,794.816666667,2016-06-19
153,0,0,699.183333333,2016-06-20
184,0,0,801.766666667,2016-06-21
143,0,1,660.15,2016-06-22
160,0,0,692.7,2016-06-23
176,0,0,872.533333333,2016-06-24
116,0,0,501.083333333,2016-06-25
139,0,0,624.566666667,2016-06-26
139,1,0,670.966666667,2016-06-27
146,0,0,592.066666667,2016-06-28
120,0,0,527.0,2016-06-29
143,0,0,680.416666667,2016-06-30
139,0,0,587.166666667,2016-07-01
147,0,0,714.083333333,2016-07-02
148,0,0,712.8,2016-07-03
127,0,0,509.95,2016-07-04
146,0,0,714.6,2016-07-05
152,0,0,642.383333333,2016-07-06
165,0,0,779.316666667,2016-07-07
137,0,0,633.333333333,2016-07-08
148,0,0,713.85,2016-07-09
167,0,0,749.216666667,2016-07-10
170,0,0,860.516666667,2016-07-11
225,0,0,991.816666667,2016-07-12
172,0,0,788.533333333,2016-07-13
152,0,0,818.816666667,2016-07-14
178,0,0,776.05,2016-07-15
152,0,0,622.433333333,2016-07-16
159,0,0,874.916666667,2016-07-17
175,0,0,933.883333333,2016-07-18
150,0,0,756.166666667,2016-07-19
143,0,0,645.866666667,2016-07-20
158,0,0,681.633333333,2016-07-21
145,0,0,694.2,2016-07-22
140,0,1,723.683333333,2016-07-23
128,0,0,596.166666667,2016-07-24
167,0,0,775.8,2016-07-25
160,0,0,745.733333333,2016-07-26
153,0,0,809.116666667,2016-07-27
213,0,0,1008.36666667,2016-07-28
197,0,0,934.9,2016-07-29
168,0,0,758.0,2016-07-30
208,0,0,988.966666667,2016-07-31
236,0,0,1181.51666667,2016-08-01
214,0,0,1038.41666667,2016-08-02
293,0,0,1516.23333333,2016-08-03
351,0,0,1726.01666667,2016-08-04
267,1,0,1216.03333333,2016-08-05
316,0,0,1507.48333333,2016-08-06
311,0,0,1542.48333333,2016-08-07
289,0,0,1563.33333333,2016-08-08
283,2,0,1419.21666667,2016-08-09
284,0,0,1467.43333333,2016-08-10
276,0,0,1317.18333333,2016-08-11
237,0,0,1133.86666667,2016-08-12
233,1,0,1084.06666667,2016-08-13
290,0,0,1403.08333333,2016-08-14
251,0,0,1322.38333333,2016-08-15
248,0,0,1239.83333333,2016-08-16
219,0,0,1087.7,2016-08-17
231,0,0,1054.76666667,2016-08-18
172,0,0,866.0,2016-08-19
174,0,0,832.25,2016-08-20
170,0,0,798.4,2016-08-21
183,0,0,983.933333333,2016-08-22
195,0,0,895.25,2016-08-23
192,0,0,907.966666667,2016-08-24
197,0,0,941.25,2016-08-25
168,0,1,717.966666667,2016-08-26
187,0,0,812.166666667,2016-08-27
174,0,0,791.25,2016-08-28
192,0,0,855.433333333,2016-08-29
174,0,0,847.9,2016-08-30
145,0,0,617.1,2016-08-31
155,1,0,718.183333333,2016-09-01
163,0,0,735.2,2016-09-02
