dailyViewcount,numShare,numSubscriber,watchTime,date
4637163,83638,4902,12291220.55,2015-11-02
4295705,32506,3596,11055903.9167,2015-11-03
3400509,23305,3164,9053301.6,2015-11-04
2851637,18376,2437,7489364.18333,2015-11-05
3044120,17486,2200,7441777.5,2015-11-06
2864653,15376,1762,7067624.4,2015-11-07
2214624,12868,1351,5721447.16667,2015-11-08
1901720,10806,1143,5014032.01667,2015-11-09
1926717,10004,1144,4930679.45,2015-11-10
1923261,9856,1085,4889568.61667,2015-11-11
2083232,9878,1308,5210052.05,2015-11-12
2319656,10772,1320,5560835.16667,2015-11-13
2387346,11087,1109,5710342.18333,2015-11-14
2004366,9643,919,4948364.78333,2015-11-15
1816512,7751,683,4496871.4,2015-11-16
2466155,8567,1015,5854010.28333,2015-11-17
2420927,8822,1048,5825530.6,2015-11-18
2168622,7810,852,5387040.68333,2015-11-19
2082368,7353,730,5095925.41667,2015-11-20
1985184,7043,726,4836211.23333,2015-11-21
1837536,7551,617,4569580.08333,2015-11-22
1803856,6878,580,4549367.2,2015-11-23
1741442,6643,605,4419422.33333,2015-11-24
1703216,6394,489,4351335.53333,2015-11-25
1692761,6123,512,4264460.06667,2015-11-26
1870223,6221,515,4524582.96667,2015-11-27
1944140,6481,652,4661224.25,2015-11-28
1590065,6621,511,3984610.83333,2015-11-29
1599915,5607,514,4062981.26667,2015-11-30
1637541,5351,468,4158287.8,2015-12-01
1530333,5012,406,3908228.8,2015-12-02
1446863,4737,374,3702787.26667,2015-12-03
1449587,4648,391,3630812.7,2015-12-04
1625649,5059,482,3996418.36667,2015-12-05
1512989,5213,420,3742244.01667,2015-12-06
1377722,4711,324,3497278.33333,2015-12-07
1308080,4587,339,3316012.01667,2015-12-08
1328889,4439,343,3345241.61667,2015-12-09
1395191,4358,350,3489245.86667,2015-12-10
1453013,4375,399,3558242.85,2015-12-11
1515445,4581,429,3666518.38333,2015-12-12
1368512,4777,337,3365315.6,2015-12-13
1326090,4415,320,3313440.86667,2015-12-14
1336357,4210,348,3330152.83333,2015-12-15
1296027,4102,316,3209629.0,2015-12-16
1298112,4122,293,3188921.63333,2015-12-17
1385276,4116,326,3312601.45,2015-12-18
1406900,4442,361,3329055.5,2015-12-19
1350223,4463,331,3225247.28333,2015-12-20
1431421,4384,319,3497740.1,2015-12-21
1444692,4146,311,3506163.71667,2015-12-22
1447548,4292,336,3498593.05,2015-12-23
1340702,3790,271,3234418.58333,2015-12-24
1122570,4181,250,2629062.26667,2015-12-25
1178204,4143,269,2794082.7,2015-12-26
1080656,4041,252,2579893.43333,2015-12-27
1166819,4268,279,2813068.5,2015-12-28
1203975,4417,292,2895946.9,2015-12-29
1246958,4394,289,2990971.71667,2015-12-30
1367688,3340,242,3273852.93333,2015-12-31
1037382,3531,201,2397003.21667,2016-01-01
1229740,4275,278,2879260.98333,2016-01-02
1186890,4289,287,2783433.6,2016-01-03
1268457,4117,280,3034219.03333,2016-01-04
1253833,3974,264,3002777.35,2016-01-05
1273735,4251,254,3047325.56667,2016-01-06
1262010,4142,291,3028066.86667,2016-01-07
1288684,4128,299,3041421.15,2016-01-08
1384010,4490,277,3209816.81667,2016-01-09
1275717,4470,280,2988884.63333,2016-01-10
1248914,3884,247,2976813.33333,2016-01-11
1256322,3891,268,3004177.56667,2016-01-12
1213494,3883,277,2907023.95,2016-01-13
1186120,3804,277,2862109.0,2016-01-14
1244013,3920,246,2951212.45,2016-01-15
1295878,3961,316,3029483.98333,2016-01-16
1159046,4133,252,2732071.66667,2016-01-17
1164132,3714,250,2787424.23333,2016-01-18
1156119,3734,223,2744588.66667,2016-01-19
1102898,3669,246,2631056.8,2016-01-20
1000507,3765,222,2404548.33333,2016-01-21
995317,3687,231,2351065.86667,2016-01-22
1109802,4006,269,2579365.66667,2016-01-23
1022972,4029,198,2401142.01667,2016-01-24
969681,3537,227,2335340.91667,2016-01-25
930848,3504,253,2237182.06667,2016-01-26
922668,3518,234,2219041.6,2016-01-27
965379,3672,218,2303533.33333,2016-01-28
993358,3543,225,2337946.4,2016-01-29
1077584,3865,264,2512884.46667,2016-01-30
1088039,3909,270,2556828.48333,2016-01-31
1077178,3388,238,2578471.08333,2016-02-01
1097080,3471,233,2644488.78333,2016-02-02
1100667,3311,226,2640619.43333,2016-02-03
1124227,3419,240,2674125.88333,2016-02-04
1184687,3680,253,2772344.0,2016-02-05
1211660,3923,265,2778268.0,2016-02-06
1068444,3538,252,2497569.85,2016-02-07
957238,3112,220,2277717.05,2016-02-08
951927,3081,208,2242179.36667,2016-02-09
959194,3070,195,2253834.81667,2016-02-10
1001281,3074,207,2349965.08333,2016-02-11
1043391,3149,205,2401016.81667,2016-02-12
1077095,3256,284,2446371.38333,2016-02-13
870397,3153,197,2014318.36667,2016-02-14
858657,2966,178,2016381.13333,2016-02-15
871919,3073,206,2057069.98333,2016-02-16
851916,2745,179,2019601.08333,2016-02-17
804242,2766,179,1912512.91667,2016-02-18
785928,2857,205,1835282.95,2016-02-19
849477,3038,209,1960313.21667,2016-02-20
828040,3092,206,1932718.28333,2016-02-21
846424,2578,180,2028631.06667,2016-02-22
874115,2675,184,2099769.51667,2016-02-23
899305,2776,151,2144684.45,2016-02-24
883116,2919,212,2106525.6,2016-02-25
914890,2835,170,2154391.4,2016-02-26
941986,3109,237,2188432.81667,2016-02-27
798056,2994,183,1876834.9,2016-02-28
759406,2551,144,1841086.08333,2016-02-29
798275,2913,175,1927917.85,2016-03-01
