dailyViewcount,numShare,numSubscriber,watchTime,date
27616,1068,9,59800.6166667,2017-02-17
14350,503,6,38045.9333333,2017-02-18
10417,350,2,26895.8333333,2017-02-19
12559,390,6,30815.3166667,2017-02-20
9989,315,2,26368.7666667,2017-02-21
9461,229,6,24924.5166667,2017-02-22
9330,269,4,24398.4,2017-02-23
6557,154,0,20046.2,2017-02-24
7200,205,1,19369.5333333,2017-02-25
5957,136,0,16254.6666667,2017-02-26
4657,102,0,13891.8666667,2017-02-27
5537,105,1,16110.3166667,2017-02-28
5543,104,3,16594.65,2017-03-01
5326,84,2,16061.0666667,2017-03-02
4767,79,0,14587.45,2017-03-03
5125,101,1,15202.15,2017-03-04
4532,96,2,13269.1166667,2017-03-05
5116,81,0,15093.6833333,2017-03-06
3935,60,0,12227.95,2017-03-07
4089,78,2,12255.8,2017-03-08
4609,71,1,13558.6666667,2017-03-09
4833,76,1,14329.9,2017-03-10
4904,71,0,14236.5166667,2017-03-11
4469,60,1,13371.0166667,2017-03-12
4662,76,1,13260.7166667,2017-03-13
4996,83,0,14274.2666667,2017-03-14
5078,80,0,14932.8166667,2017-03-15
4826,75,1,14286.8833333,2017-03-16
4105,56,0,12322.35,2017-03-17
4101,55,1,11759.3,2017-03-18
3855,59,0,11224.8833333,2017-03-19
3545,44,0,10651.2666667,2017-03-20
4112,43,0,11751.5,2017-03-21
4136,53,0,12336.05,2017-03-22
4721,66,1,14195.6666667,2017-03-23
4842,59,0,14813.8333333,2017-03-24
5255,64,0,14909.1666667,2017-03-25
4754,50,0,14033.15,2017-03-26
4619,61,0,13956.4666667,2017-03-27
5375,84,2,15880.4833333,2017-03-28
5199,55,1,15623.9333333,2017-03-29
4788,73,1,14119.7666667,2017-03-30
4572,47,0,13494.1166667,2017-03-31
4225,39,2,12707.8,2017-04-01
3678,45,0,10992.6166667,2017-04-02
3497,33,0,11058.1166667,2017-04-03
3742,32,0,11394.7,2017-04-04
3731,40,0,11132.2833333,2017-04-05
3464,42,1,10594.35,2017-04-06
3413,36,1,10691.7333333,2017-04-07
3351,39,0,10238.1666667,2017-04-08
3121,42,1,8989.38333333,2017-04-09
3070,44,0,9392.61666667,2017-04-10
2993,32,0,9076.76666667,2017-04-11
3221,46,1,10126.3666667,2017-04-12
4208,54,1,13318.9666667,2017-04-13
4304,47,0,12665.4833333,2017-04-14
3988,42,1,11602.4166667,2017-04-15
4325,43,0,12577.9166667,2017-04-16
4232,40,0,12920.7833333,2017-04-17
4464,38,0,13756.95,2017-04-18
4147,35,1,12405.9166667,2017-04-19
3418,44,0,10175.9666667,2017-04-20
3623,34,0,10724.15,2017-04-21
3912,32,0,11464.7666667,2017-04-22
3384,28,1,10068.3,2017-04-23
3696,33,0,11260.6833333,2017-04-24
3599,46,0,11069.1833333,2017-04-25
3013,39,0,9410.45,2017-04-26
2796,41,1,8790.21666667,2017-04-27
2975,31,1,9048.73333333,2017-04-28
3104,44,0,9017.55,2017-04-29
2747,30,0,8164.9,2017-04-30
3109,39,0,9178.46666667,2017-05-01
2740,31,0,8311.61666667,2017-05-02
3099,34,1,9705.83333333,2017-05-03
3236,32,0,9877.11666667,2017-05-04
3328,43,0,10369.4833333,2017-05-05
2994,32,0,9146.05,2017-05-06
3194,43,0,9792.4,2017-05-07
2933,34,2,8766.4,2017-05-08
3176,38,1,9728.25,2017-05-09
2894,50,0,9078.03333333,2017-05-10
2828,37,0,8534.2,2017-05-11
2917,30,1,8705.88333333,2017-05-12
3049,33,1,8927.55,2017-05-13
2681,23,0,8086.76666667,2017-05-14
2835,33,2,8800.11666667,2017-05-15
2522,29,0,7630.56666667,2017-05-16
2689,33,0,8315.45,2017-05-17
2485,24,0,7487.81666667,2017-05-18
2467,28,1,7355.16666667,2017-05-19
2306,20,0,7092.43333333,2017-05-20
2147,28,0,6652.15,2017-05-21
2454,24,1,7515.61666667,2017-05-22
