dailyViewcount,numShare,numSubscriber,watchTime,date
337406,4335,833,792704.966667,2016-03-25
233598,1789,288,504862.566667,2016-03-26
188996,1232,169,375337.9,2016-03-27
172359,1079,131,369541.4,2016-03-28
189423,1280,213,427266.666667,2016-03-29
252058,1669,398,577468.95,2016-03-30
316427,1826,352,716773.45,2016-03-31
260726,1292,242,587918.883333,2016-04-01
216410,961,170,481318.316667,2016-04-02
201435,910,136,447996.783333,2016-04-03
224646,986,165,493359.116667,2016-04-04
207649,923,122,471127.583333,2016-04-05
185345,797,120,438526.933333,2016-04-06
192245,682,102,454838.65,2016-04-07
208903,656,111,482831.166667,2016-04-08
206149,608,110,476643.05,2016-04-09
173906,582,103,412603.233333,2016-04-10
172221,599,106,423914.416667,2016-04-11
138003,504,60,339144.566667,2016-04-12
128106,489,43,317085.416667,2016-04-13
137386,461,63,336240.1,2016-04-14
144247,396,68,352974.466667,2016-04-15
133760,378,50,322677.95,2016-04-16
113952,371,53,277067.333333,2016-04-17
120456,395,53,297572.95,2016-04-18
115238,349,35,290050.366667,2016-04-19
109717,399,52,278234.25,2016-04-20
115448,427,46,288416.416667,2016-04-21
263828,490,83,683823.966667,2016-04-22
171999,420,67,431962.466667,2016-04-23
105481,373,40,252906.85,2016-04-24
99791,407,28,247659.266667,2016-04-25
98324,335,36,243151.616667,2016-04-26
100575,341,46,251904.9,2016-04-27
101162,390,23,250328.233333,2016-04-28
96903,461,38,240006.016667,2016-04-29
94371,373,16,229687.216667,2016-04-30
83260,359,28,198341.666667,2016-05-01
94675,385,24,229461.616667,2016-05-02
92057,347,27,219926.183333,2016-05-03
89291,350,28,214455.233333,2016-05-04
78917,302,21,191829.766667,2016-05-05
72165,288,14,179280.9,2016-05-06
68175,252,20,165473.95,2016-05-07
58248,236,15,139555.633333,2016-05-08
55975,248,16,134762.233333,2016-05-09
55747,244,18,135592.1,2016-05-10
55686,269,19,133874.516667,2016-05-11
59903,234,16,144594.4,2016-05-12
66617,262,24,159895.716667,2016-05-13
61061,225,12,144750.516667,2016-05-14
53237,236,13,125742.75,2016-05-15
55546,237,15,132014.033333,2016-05-16
52528,232,21,125262.95,2016-05-17
53708,269,18,127550.366667,2016-05-18
54837,249,20,130061.15,2016-05-19
58522,200,11,137974.166667,2016-05-20
53366,214,12,127136.833333,2016-05-21
45622,180,9,106792.15,2016-05-22
44579,198,10,106760.716667,2016-05-23
46456,209,12,110548.616667,2016-05-24
49430,209,20,115943.95,2016-05-25
61304,282,30,142187.683333,2016-05-26
64738,224,15,152512.883333,2016-05-27
57646,190,13,136904.883333,2016-05-28
49690,190,13,115846.983333,2016-05-29
44021,181,15,103294.1,2016-05-30
45793,193,12,107374.616667,2016-05-31
46479,217,15,110665.05,2016-06-01
51174,215,11,122533.083333,2016-06-02
52589,217,18,126578.05,2016-06-03
46869,175,14,110620.333333,2016-06-04
42918,203,12,98895.2333333,2016-06-05
43782,186,14,102899.516667,2016-06-06
43643,200,8,103312.033333,2016-06-07
42488,166,9,101193.55,2016-06-08
43619,184,8,104090.316667,2016-06-09
45935,187,9,109131.1,2016-06-10
44599,183,10,106211.283333,2016-06-11
40372,177,10,96169.85,2016-06-12
41311,145,9,99509.8833333,2016-06-13
41171,145,9,98998.2,2016-06-14
41896,164,14,100329.6,2016-06-15
41934,218,11,98955.05,2016-06-16
44335,194,13,105518.366667,2016-06-17
42887,177,13,102444.116667,2016-06-18
38054,161,16,90548.7666667,2016-06-19
37311,144,9,89690.85,2016-06-20
36708,166,10,88300.6333333,2016-06-21
36655,179,7,88128.1833333,2016-06-22
37796,165,8,91212.7666667,2016-06-23
40257,176,15,98124.8333333,2016-06-24
36824,136,7,89462.2166667,2016-06-25
32514,141,8,77571.0166667,2016-06-26
37238,187,11,87954.4,2016-06-27
34616,170,9,82188.1166667,2016-06-28
34590,159,3,82805.45,2016-06-29
34905,180,7,84843.75,2016-06-30
36144,140,8,86485.5666667,2016-07-01
34882,144,10,82949.3166667,2016-07-02
33281,155,2,78708.4166667,2016-07-03
34140,143,9,79495.9333333,2016-07-04
34271,138,13,79852.8833333,2016-07-05
33757,150,13,78770.0833333,2016-07-06
33610,163,13,79276.4333333,2016-07-07
34536,139,9,82627.55,2016-07-08
34333,126,8,81591.3333333,2016-07-09
30221,134,5,71291.2,2016-07-10
31511,137,4,74752.2666667,2016-07-11
29903,139,5,70992.4,2016-07-12
29599,148,6,70979.5,2016-07-13
30432,145,6,73635.6333333,2016-07-14
32122,123,7,77953.55,2016-07-15
31394,134,2,76448.5333333,2016-07-16
28141,126,3,67470.2166667,2016-07-17
28998,122,8,69517.6833333,2016-07-18
28752,124,6,69043.05,2016-07-19
28586,139,5,68863.2666667,2016-07-20
28098,106,2,66888.4666667,2016-07-21
30723,118,4,73792.6,2016-07-22
30269,113,3,72077.35,2016-07-23
25782,127,8,60352.6166667,2016-07-24
27013,127,5,63229.7833333,2016-07-25
27991,99,11,65925.5166667,2016-07-26
26726,109,3,64007.9166667,2016-07-27
26549,125,7,63026.9833333,2016-07-28
27354,123,5,65729.4833333,2016-07-29
26673,104,2,63028.5333333,2016-07-30
23736,100,6,56126.8166667,2016-07-31
25016,107,7,59315.4166667,2016-08-01
25346,112,8,59373.0,2016-08-02
25048,113,4,59283.8333333,2016-08-03
24838,116,10,58860.65,2016-08-04
26390,82,5,62366.3833333,2016-08-05
25341,78,8,59682.7333333,2016-08-06
22897,67,3,53164.5833333,2016-08-07
25795,115,10,60173.9166667,2016-08-08
24053,109,2,55823.1166667,2016-08-09
25194,101,5,58411.8666667,2016-08-10
25057,89,5,58697.0833333,2016-08-11
27216,81,6,63635.6666667,2016-08-12
26532,93,4,61221.25,2016-08-13
23619,95,4,54465.0833333,2016-08-14
22798,83,4,52549.7166667,2016-08-15
21930,82,5,51244.1833333,2016-08-16
22909,88,4,53621.1,2016-08-17
23092,77,5,54566.4333333,2016-08-18
24209,96,6,57251.45,2016-08-19
23212,81,4,54839.75,2016-08-20
20404,94,8,47331.2,2016-08-21
20256,74,5,47074.2833333,2016-08-22
20868,89,4,48568.3,2016-08-23
22168,70,3,51497.3666667,2016-08-24
22865,105,1,53606.9,2016-08-25
24323,87,3,56914.05,2016-08-26
23556,76,10,54148.8,2016-08-27
21737,95,8,49612.7833333,2016-08-28
23061,77,5,52756.8666667,2016-08-29
22148,101,7,52119.65,2016-08-30
21970,85,7,51911.1833333,2016-08-31
21318,88,2,49722.7,2016-09-01
23034,92,3,53985.8,2016-09-02
22018,82,6,52135.75,2016-09-03
20165,95,2,46517.2833333,2016-09-04
19474,77,3,45439.1333333,2016-09-05
19750,93,6,46473.3666667,2016-09-06
20141,96,7,47199.0166667,2016-09-07
21345,103,7,49295.0166667,2016-09-08
22340,100,5,52548.9833333,2016-09-09
22476,81,9,52215.5166667,2016-09-10
19503,57,4,44264.6833333,2016-09-11
20270,71,7,46981.0833333,2016-09-12
20997,97,5,48745.1333333,2016-09-13
20633,73,5,48581.3666667,2016-09-14
20092,88,4,46906.65,2016-09-15
