dailyViewcount,numShare,numSubscriber,watchTime,date
37677,892,73,78417.2333333,2016-10-22
82135,1293,224,176308.766667,2016-10-23
86360,1123,246,187653.183333,2016-10-24
49576,525,106,117409.166667,2016-10-25
34397,301,30,87821.6166667,2016-10-26
32195,282,46,83073.7666667,2016-10-27
34568,279,30,86355.9833333,2016-10-28
24906,167,18,67957.4833333,2016-10-29
23083,182,23,61933.4833333,2016-10-30
20612,153,16,59942.6166667,2016-10-31
21897,137,17,60664.1666667,2016-11-01
20402,146,12,57888.3666667,2016-11-02
18768,133,16,54314.9166667,2016-11-03
19053,122,13,54351.7166667,2016-11-04
17917,108,16,51103.4166667,2016-11-05
17636,116,15,51539.5333333,2016-11-06
18730,122,21,55344.75,2016-11-07
18042,119,14,54337.8166667,2016-11-08
16872,97,5,50768.2,2016-11-09
10286,59,7,32029.3166667,2016-11-10
29,1,0,81.6,2016-11-11
8,0,0,25.45,2016-11-12
4,0,0,16.45,2016-11-13
1,0,0,4.98333333333,2016-11-14
2,0,0,6.33333333333,2016-11-15
0,0,0,0.0,2016-11-16
0,0,0,0.0,2016-11-17
1,0,0,0.0333333333333,2016-11-18
0,0,0,0.0,2016-11-19
0,0,0,0.0,2016-11-20
0,0,0,0.0,2016-11-21
0,0,0,0.0,2016-11-22
2,0,0,0.0166666666667,2016-11-23
0,0,0,0.0,2016-11-24
0,0,0,0.0,2016-11-25
0,0,0,0.0,2016-11-26
1,0,0,5.03333333333,2016-11-27
10,0,0,20.45,2016-11-28
1852,14,0,4966.73333333,2016-11-29
2977,32,1,8664.96666667,2016-11-30
3637,41,1,10177.55,2016-12-01
3923,46,1,10331.4333333,2016-12-02
5462,61,2,14478.0,2016-12-03
5642,52,3,14828.7833333,2016-12-04
5592,49,7,15867.2,2016-12-05
5598,68,4,15604.25,2016-12-06
5906,64,2,16436.35,2016-12-07
5134,42,3,14378.1833333,2016-12-08
4835,41,1,13501.8166667,2016-12-09
5413,52,2,14734.4833333,2016-12-10
5153,42,7,14226.15,2016-12-11
5211,49,7,14920.1166667,2016-12-12
4987,43,3,14644.55,2016-12-13
4834,38,3,14166.2833333,2016-12-14
5483,53,6,14742.95,2016-12-15
5421,67,5,14360.1166667,2016-12-16
6582,66,12,16675.8666667,2016-12-17
6032,69,2,15351.65,2016-12-18
6762,86,5,17570.5833333,2016-12-19
6674,68,8,16971.5,2016-12-20
5955,60,4,16289.0166667,2016-12-21
6783,85,6,17108.0833333,2016-12-22
6930,68,7,17529.9166667,2016-12-23
6616,73,1,16717.9333333,2016-12-24
5706,64,4,14177.95,2016-12-25
6994,74,6,17063.9333333,2016-12-26
7181,79,7,17752.8333333,2016-12-27
8059,108,5,19690.15,2016-12-28
8378,112,5,20510.2666667,2016-12-29
8082,100,5,20495.2166667,2016-12-30
7353,70,5,19219.1833333,2016-12-31
7295,89,9,16725.6666667,2017-01-01
6467,78,5,15599.4666667,2017-01-02
6336,57,2,16235.9333333,2017-01-03
