dailyViewcount,numShare,numSubscriber,watchTime,date
160742,96,8,346422.733333,2016-12-01
65849,37,3,137157.166667,2016-12-02
27186,21,0,58633.3,2016-12-03
14456,8,2,31671.4333333,2016-12-04
6241,5,0,14048.1833333,2016-12-05
5106,1,0,11349.4,2016-12-06
3057,2,1,6641.16666667,2016-12-07
1876,1,0,4135.5,2016-12-08
884,0,0,1918.23333333,2016-12-09
2269,1,0,5034.01666667,2016-12-10
2670,1,0,5591.71666667,2016-12-11
3242,0,0,6984.53333333,2016-12-12
1884,0,0,4109.26666667,2016-12-13
1966,3,0,4307.71666667,2016-12-14
1380,0,0,2939.25,2016-12-15
481,1,0,941.516666667,2016-12-16
765,2,0,1512.48333333,2016-12-17
590,0,0,1159.26666667,2016-12-18
446,0,0,819.183333333,2016-12-19
411,1,0,758.983333333,2016-12-20
347,0,0,639.466666667,2016-12-21
377,0,0,710.366666667,2016-12-22
377,0,0,690.35,2016-12-23
563,0,0,1018.3,2016-12-24
399,0,0,696.583333333,2016-12-25
424,0,0,725.2,2016-12-26
518,0,0,896.766666667,2016-12-27
552,1,0,1020.75,2016-12-28
731,0,1,1327.7,2016-12-29
2834,0,0,4554.78333333,2016-12-30
2423,4,0,4001.88333333,2016-12-31
452,1,0,727.85,2017-01-01
233,0,0,422.133333333,2017-01-02
199,0,0,335.35,2017-01-03
246,0,0,418.233333333,2017-01-04
