dailyViewcount,numShare,numSubscriber,watchTime,date
1592800,53968,2794,3013155.68333,2017-02-24
1774211,40150,2133,3509529.83333,2017-02-25
1159290,26086,999,2251122.51667,2017-02-26
758930,14852,703,1550679.75,2017-02-27
663227,12039,557,1334254.78333,2017-02-28
646625,10997,504,1276713.18333,2017-03-01
554388,8815,408,1095087.91667,2017-03-02
561800,8284,331,1096304.86667,2017-03-03
639612,9397,361,1228185.5,2017-03-04
517001,9716,299,987684.666667,2017-03-05
371194,6046,180,729218.2,2017-03-06
361679,5612,173,710163.866667,2017-03-07
389578,6020,209,764567.833333,2017-03-08
339553,5173,166,667397.85,2017-03-09
426218,5657,218,816966.966667,2017-03-10
581174,6853,280,1105873.91667,2017-03-11
469417,6532,255,890712.866667,2017-03-12
349499,4445,139,678027.8,2017-03-13
363046,4631,152,705387.766667,2017-03-14
417949,5104,158,805678.283333,2017-03-15
380782,4309,156,739415.466667,2017-03-16
429130,4658,196,816459.45,2017-03-17
575233,6094,226,1089352.93333,2017-03-18
442315,5777,166,836060.316667,2017-03-19
322984,3858,132,625933.8,2017-03-20
339430,4131,151,663153.6,2017-03-21
397808,5102,184,776102.383333,2017-03-22
360333,4262,165,705835.533333,2017-03-23
397707,4071,173,771335.216667,2017-03-24
512580,5325,174,989043.6,2017-03-25
407240,4925,157,788557.183333,2017-03-26
314199,3688,139,615700.6,2017-03-27
311607,3423,107,607007.9,2017-03-28
356177,4038,132,694651.8,2017-03-29
319188,3637,126,624777.0,2017-03-30
367229,3767,134,705396.766667,2017-03-31
451841,4632,180,855317.633333,2017-04-01
370760,4436,129,697295.633333,2017-04-02
315056,3377,117,603102.0,2017-04-03
307344,3213,122,586801.1,2017-04-04
322882,3479,133,612713.916667,2017-04-05
303863,3280,122,579038.833333,2017-04-06
334871,3536,126,635937.433333,2017-04-07
386407,4011,123,729317.6,2017-04-08
326724,3688,105,614107.066667,2017-04-09
303620,3243,118,577335.533333,2017-04-10
298441,3028,105,570808.716667,2017-04-11
308150,3290,113,588851.816667,2017-04-12
327727,3381,131,627440.883333,2017-04-13
347506,3484,107,656821.733333,2017-04-14
362502,3691,126,677093.316667,2017-04-15
344878,3248,113,640492.066667,2017-04-16
338038,3420,115,634809.366667,2017-04-17
292014,2673,120,554765.833333,2017-04-18
288473,2761,95,546183.066667,2017-04-19
258134,2503,81,489780.45,2017-04-20
296142,2616,93,558143.233333,2017-04-21
342827,3104,110,639002.483333,2017-04-22
280232,3130,90,518458.183333,2017-04-23
232255,2350,75,433980.05,2017-04-24
242841,2228,91,452649.2,2017-04-25
286794,2697,102,532797.233333,2017-04-26
283031,2543,91,532410.216667,2017-04-27
319908,2696,99,595024.95,2017-04-28
363802,3167,118,672826.45,2017-04-29
306297,2880,116,558500.6,2017-04-30
288609,2982,103,530419.466667,2017-05-01
218050,1992,74,403075.066667,2017-05-02
256740,2455,101,470150.6,2017-05-03
228074,2214,81,420777.983333,2017-05-04
263167,2155,86,484496.483333,2017-05-05
353538,2994,114,648503.766667,2017-05-06
310558,2676,104,568892.1,2017-05-07
281396,2708,95,520572.783333,2017-05-08
225064,2026,75,421491.133333,2017-05-09
260971,2300,112,490232.983333,2017-05-10
246518,2111,72,461133.466667,2017-05-11
279676,2189,83,516362.983333,2017-05-12
351833,2847,87,646878.866667,2017-05-13
264401,2712,78,476913.966667,2017-05-14
194353,1886,66,357602.683333,2017-05-15
213252,1800,79,391035.383333,2017-05-16
255374,2186,98,467229.15,2017-05-17
247640,2166,89,455799.216667,2017-05-18
291694,2196,80,536230.633333,2017-05-19
340411,2552,93,624283.766667,2017-05-20
267659,2251,86,492075.383333,2017-05-21
215747,1722,66,401460.4,2017-05-22
