dailyViewcount,numShare,numSubscriber,watchTime,date
216046,4362,481,680736.966667,2017-02-03
140403,2256,183,401670.433333,2017-02-04
199827,3211,300,541773.816667,2017-02-05
201556,3095,361,559758.583333,2017-02-06
219406,3280,301,610725.683333,2017-02-07
230525,3322,266,620061.433333,2017-02-08
235493,3385,257,615857.433333,2017-02-09
217875,2641,198,584304.716667,2017-02-10
204346,2170,167,540177.916667,2017-02-11
169334,1972,120,437854.516667,2017-02-12
180837,2172,159,475402.583333,2017-02-13
174035,1970,156,474639.383333,2017-02-14
159963,1594,130,433425.4,2017-02-15
152629,1502,129,423932.05,2017-02-16
167120,1470,115,463587.616667,2017-02-17
162273,1441,94,454578.1,2017-02-18
144638,1336,92,399501.233333,2017-02-19
140622,1168,90,392978.05,2017-02-20
129289,1107,87,365388.016667,2017-02-21
117749,943,56,331677.466667,2017-02-22
128184,998,58,363451.4,2017-02-23
139324,1066,77,390389.666667,2017-02-24
137058,995,68,386124.583333,2017-02-25
114150,909,50,315819.7,2017-02-26
114906,931,60,323817.866667,2017-02-27
115909,865,67,324807.083333,2017-02-28
126134,926,69,342270.233333,2017-03-01
117851,898,70,326828.316667,2017-03-02
128045,928,59,354694.816667,2017-03-03
134145,968,61,370364.583333,2017-03-04
113085,898,40,308645.05,2017-03-05
110042,799,39,304122.133333,2017-03-06
108278,739,51,301894.816667,2017-03-07
103647,725,41,289658.116667,2017-03-08
107889,775,43,303641.666667,2017-03-09
116941,742,49,332816.083333,2017-03-10
121349,817,33,343818.533333,2017-03-11
97026,751,31,272081.183333,2017-03-12
93072,684,34,262805.95,2017-03-13
100437,684,37,282847.616667,2017-03-14
98133,724,43,277250.333333,2017-03-15
94628,691,38,265453.6,2017-03-16
102949,661,36,290918.533333,2017-03-17
108218,713,37,306028.7,2017-03-18
89027,667,29,250219.483333,2017-03-19
85400,608,32,241740.766667,2017-03-20
88370,629,29,249378.933333,2017-03-21
84103,591,33,239899.3,2017-03-22
81945,574,53,236382.766667,2017-03-23
93320,621,40,268432.733333,2017-03-24
98887,608,27,284079.166667,2017-03-25
81905,562,23,232101.816667,2017-03-26
79698,557,28,226356.816667,2017-03-27
78314,533,38,225897.366667,2017-03-28
74572,565,25,213517.366667,2017-03-29
75482,472,40,216981.516667,2017-03-30
85489,612,27,246326.266667,2017-03-31
91528,666,29,263130.65,2017-04-01
74858,563,21,211502.55,2017-04-02
71534,525,21,203478.916667,2017-04-03
72908,516,25,206464.6,2017-04-04
77106,517,32,216658.133333,2017-04-05
80463,547,23,223306.133333,2017-04-06
83756,510,31,234999.033333,2017-04-07
87849,497,28,245459.916667,2017-04-08
72806,461,24,203720.616667,2017-04-09
69312,456,23,194752.0,2017-04-10
67245,447,31,190616.1,2017-04-11
66696,419,15,188280.1,2017-04-12
75091,483,38,211150.516667,2017-04-13
76016,452,16,215009.183333,2017-04-14
79597,430,33,226354.5,2017-04-15
71040,448,24,198161.1,2017-04-16
63629,455,19,176341.766667,2017-04-17
62184,387,27,173115.133333,2017-04-18
63900,393,28,175903.216667,2017-04-19
66389,496,18,184924.583333,2017-04-20
75542,507,26,211718.133333,2017-04-21
80873,419,23,228333.3,2017-04-22
66411,442,22,183686.45,2017-04-23
65671,402,17,183184.85,2017-04-24
68950,457,34,193212.8,2017-04-25
63955,355,23,178882.516667,2017-04-26
62778,392,22,176897.75,2017-04-27
68668,396,20,194467.8,2017-04-28
70952,405,23,198308.783333,2017-04-29
61453,392,15,167697.75,2017-04-30
59459,361,19,165366.133333,2017-05-01
55991,325,12,158708.783333,2017-05-02
56946,325,19,162346.966667,2017-05-03
59470,354,14,169019.333333,2017-05-04
64478,387,25,186731.616667,2017-05-05
65999,320,21,190993.55,2017-05-06
55466,363,17,157587.816667,2017-05-07
51473,337,14,147603.45,2017-05-08
53006,301,13,152234.083333,2017-05-09
53990,292,16,155975.616667,2017-05-10
55242,347,18,158921.966667,2017-05-11
62549,357,18,179907.233333,2017-05-12
67111,343,17,190916.65,2017-05-13
58354,317,23,161675.5,2017-05-14
54473,293,19,153848.583333,2017-05-15
57477,312,28,162063.666667,2017-05-16
55476,328,27,159213.55,2017-05-17
54064,317,17,152641.75,2017-05-18
62425,403,18,178428.966667,2017-05-19
62924,348,14,179934.1,2017-05-20
49598,360,9,139996.766667,2017-05-21
49982,274,16,139454.983333,2017-05-22
