dailyViewcount,numShare,numSubscriber,watchTime,date
10455,83,17,18890.4,2015-06-22
9237,43,39,18601.85,2015-06-23
7934,43,42,16588.3,2015-06-24
6080,34,19,13801.8166667,2015-06-25
6161,28,22,14276.9666667,2015-06-26
5779,25,12,13480.35,2015-06-27
6515,47,21,15333.7,2015-06-28
7092,45,18,18183.0,2015-06-29
6582,37,20,17661.7166667,2015-06-30
5879,28,11,15966.9833333,2015-07-01
5277,23,10,13997.0333333,2015-07-02
6119,38,7,16441.5666667,2015-07-03
17673,59,35,54717.3,2015-07-04
16951,84,28,50674.75,2015-07-05
17778,88,16,55571.0666667,2015-07-06
18226,96,18,56413.0166667,2015-07-07
18193,94,21,56935.6166667,2015-07-08
17677,104,27,53579.4666667,2015-07-09
18330,85,22,56611.6,2015-07-10
18931,79,22,57804.25,2015-07-11
18190,101,21,54043.5166667,2015-07-12
18093,61,25,53924.3166667,2015-07-13
16990,87,28,51737.0166667,2015-07-14
17020,85,20,51562.7333333,2015-07-15
19004,64,19,56863.4,2015-07-16
19864,80,23,58681.05,2015-07-17
19484,66,28,56364.2333333,2015-07-18
17705,90,20,51803.8166667,2015-07-19
19758,80,16,57773.3166667,2015-07-20
19952,82,32,59336.65,2015-07-21
19446,71,23,56454.6833333,2015-07-22
20642,74,23,60159.4333333,2015-07-23
21918,68,25,65065.2333333,2015-07-24
22774,110,27,64391.4833333,2015-07-25
23008,90,53,62501.2666667,2015-07-26
23563,121,41,66292.8,2015-07-27
24928,117,38,68978.0333333,2015-07-28
29025,150,40,82067.7166667,2015-07-29
28720,135,51,79649.5833333,2015-07-30
29486,152,39,83365.85,2015-07-31
29182,146,38,81181.1,2015-08-01
27175,145,50,74201.2333333,2015-08-02
28814,143,28,80217.7666667,2015-08-03
33786,165,37,95321.3666667,2015-08-04
31122,139,33,88280.9,2015-08-05
31034,146,28,88255.7666667,2015-08-06
31002,149,32,89013.1666667,2015-08-07
29996,137,32,85886.6333333,2015-08-08
29265,144,36,81217.1833333,2015-08-09
30284,113,36,87283.1666667,2015-08-10
28226,118,29,80740.0,2015-08-11
28343,114,38,79811.2833333,2015-08-12
28020,132,33,79546.7,2015-08-13
30868,142,36,86578.75,2015-08-14
31684,172,39,89582.5,2015-08-15
28490,170,33,79319.1333333,2015-08-16
38651,239,50,101846.2,2015-08-17
43316,206,62,120954.433333,2015-08-18
41582,200,58,116728.066667,2015-08-19
44597,206,46,123690.183333,2015-08-20
47009,174,40,131916.166667,2015-08-21
46684,215,35,128767.733333,2015-08-22
43221,207,46,116108.6,2015-08-23
43870,217,52,122500.616667,2015-08-24
43891,229,62,122158.133333,2015-08-25
46930,204,60,129499.233333,2015-08-26
52091,251,47,142417.066667,2015-08-27
56883,244,48,157640.75,2015-08-28
62126,242,38,164753.933333,2015-08-29
60804,316,74,157453.8,2015-08-30
57441,327,72,144947.65,2015-08-31
65500,294,62,178284.1,2015-09-01
67498,328,67,183150.983333,2015-09-02
68902,330,65,185541.216667,2015-09-03
89930,399,86,242712.666667,2015-09-04
95050,434,98,252836.716667,2015-09-05
91440,501,83,243568.15,2015-09-06
87614,470,81,232879.2,2015-09-07
82726,453,76,229766.166667,2015-09-08
81784,434,74,228519.683333,2015-09-09
82734,412,62,228943.5,2015-09-10
91274,388,67,255630.283333,2015-09-11
105195,474,78,283302.633333,2015-09-12
100079,619,108,270070.566667,2015-09-13
108909,660,109,314518.983333,2015-09-14
111540,623,96,319055.766667,2015-09-15
117911,674,100,331399.65,2015-09-16
120138,583,89,335575.85,2015-09-17
133985,599,91,364680.366667,2015-09-18
141445,677,76,377466.233333,2015-09-19
125224,660,102,329188.866667,2015-09-20
110617,579,93,310004.433333,2015-09-21
77043,455,64,217435.0,2015-09-22
77348,434,76,219581.333333,2015-09-23
75195,393,54,216381.316667,2015-09-24
77203,373,59,218521.783333,2015-09-25
78533,415,63,214426.3,2015-09-26
67001,396,58,181429.283333,2015-09-27
64887,435,61,185742.2,2015-09-28
65018,491,43,183263.666667,2015-09-29
67199,441,63,190325.25,2015-09-30
67925,466,59,189114.116667,2015-10-01
82301,597,117,221737.9,2015-10-02
86461,622,93,228613.966667,2015-10-03
76021,693,109,199420.433333,2015-10-04
75152,636,108,207499.25,2015-10-05
81104,664,75,224173.333333,2015-10-06
80454,679,80,220794.466667,2015-10-07
85197,689,86,236542.05,2015-10-08
93351,784,62,254081.016667,2015-10-09
98876,733,82,260581.116667,2015-10-10
87476,826,87,227165.35,2015-10-11
87482,823,76,237875.35,2015-10-12
92349,1078,75,245523.083333,2015-10-13
99789,904,72,277866.366667,2015-10-14
97973,845,77,271126.416667,2015-10-15
106745,822,95,297928.3,2015-10-16
107762,885,68,292041.966667,2015-10-17
91103,982,87,242275.5,2015-10-18
91523,975,72,253488.933333,2015-10-19
96008,858,79,265769.916667,2015-10-20
93914,849,66,259387.8,2015-10-21
97136,899,77,265317.5,2015-10-22
109455,908,70,298105.3,2015-10-23
117134,916,76,313721.616667,2015-10-24
97899,937,82,259056.7,2015-10-25
91312,810,64,252073.4,2015-10-26
91650,867,65,251504.866667,2015-10-27
92229,891,63,251216.216667,2015-10-28
93994,800,85,257797.933333,2015-10-29
107794,782,68,295407.133333,2015-10-30
111532,759,60,303533.366667,2015-10-31
97232,828,85,256460.666667,2015-11-01
92049,756,70,251946.55,2015-11-02
93719,797,70,256101.583333,2015-11-03
93245,726,76,252047.466667,2015-11-04
96969,824,72,260863.45,2015-11-05
105469,785,76,283443.7,2015-11-06
107912,820,62,282432.483333,2015-11-07
92155,836,94,241430.1,2015-11-08
92275,832,77,253632.833333,2015-11-09
91845,743,79,248258.6,2015-11-10
95185,789,61,254988.183333,2015-11-11
93306,793,61,252110.8,2015-11-12
105475,842,70,283130.8,2015-11-13
109397,811,91,288712.133333,2015-11-14
94523,864,67,248361.983333,2015-11-15
99549,771,63,274591.55,2015-11-16
101564,855,75,276804.083333,2015-11-17
91900,845,65,252662.116667,2015-11-18
93569,786,76,259129.8,2015-11-19
106629,805,78,299631.966667,2015-11-20
108050,775,85,299852.333333,2015-11-21
97182,889,101,266603.633333,2015-11-22
97799,819,86,276456.5,2015-11-23
99882,817,81,278504.3,2015-11-24
106234,912,69,293510.883333,2015-11-25
102887,774,71,278313.7,2015-11-26
