dailyViewcount,numShare,numSubscriber,watchTime,date
9718,87,5,16280.05,2016-06-06
3223,34,1,5713.58333333,2016-06-07
4411,50,4,6866.51666667,2016-06-08
5654,56,3,8239.25,2016-06-09
14280,149,3,23496.7,2016-06-10
19925,174,6,30558.8666667,2016-06-11
8028,93,1,13988.4333333,2016-06-12
8337,78,2,13847.9333333,2016-06-13
13609,125,8,21360.4166667,2016-06-14
10226,98,4,16907.2166667,2016-06-15
7055,79,0,12123.0333333,2016-06-16
6464,59,4,10966.0666667,2016-06-17
5609,47,2,9318.6,2016-06-18
7222,88,2,11659.5833333,2016-06-19
6668,56,0,10982.8666667,2016-06-20
6312,61,1,10419.5166667,2016-06-21
4834,38,0,8299.23333333,2016-06-22
6126,46,3,10287.8666667,2016-06-23
4408,32,1,7293.41666667,2016-06-24
4053,27,0,6793.55,2016-06-25
3836,23,1,6395.9,2016-06-26
4264,27,2,7122.53333333,2016-06-27
4944,42,1,8469.68333333,2016-06-28
4369,36,0,7254.65,2016-06-29
4449,27,2,7452.31666667,2016-06-30
3441,42,0,6030.83333333,2016-07-01
3288,15,1,5670.93333333,2016-07-02
3440,38,1,5704.58333333,2016-07-03
3576,20,0,5935.58333333,2016-07-04
4299,32,1,7210.8,2016-07-05
3527,33,0,6267.05,2016-07-06
3420,24,1,6041.56666667,2016-07-07
3085,9,0,5239.36666667,2016-07-08
3066,14,1,5266.2,2016-07-09
2790,17,0,4967.68333333,2016-07-10
2987,18,1,5174.31666667,2016-07-11
2877,26,1,4943.48333333,2016-07-12
2936,19,1,4884.16666667,2016-07-13
3863,32,1,6302.08333333,2016-07-14
3077,28,1,5303.51666667,2016-07-15
2577,22,1,4263.53333333,2016-07-16
2466,29,0,4247.35,2016-07-17
3043,24,1,5003.5,2016-07-18
2711,18,0,4625.21666667,2016-07-19
2759,17,1,4661.0,2016-07-20
2705,17,0,4415.63333333,2016-07-21
2599,16,0,4423.36666667,2016-07-22
2403,17,1,3848.21666667,2016-07-23
2200,19,0,3595.61666667,2016-07-24
2229,14,2,3754.3,2016-07-25
2499,16,0,4068.35,2016-07-26
2510,25,0,3819.81666667,2016-07-27
2378,20,0,3667.36666667,2016-07-28
2293,11,0,3718.15,2016-07-29
2003,21,0,3163.46666667,2016-07-30
2178,15,0,3493.16666667,2016-07-31
2474,26,0,3912.71666667,2016-08-01
2378,18,0,3835.36666667,2016-08-02
2201,20,0,3595.9,2016-08-03
2208,14,0,3710.05,2016-08-04
2036,9,0,3515.56666667,2016-08-05
1849,10,1,2911.5,2016-08-06
1766,10,1,2834.3,2016-08-07
1775,17,2,2882.33333333,2016-08-08
1764,16,0,3052.01666667,2016-08-09
1968,12,0,3312.4,2016-08-10
1823,12,0,3052.48333333,2016-08-11
1573,17,0,2676.31666667,2016-08-12
1895,20,0,2946.36666667,2016-08-13
1599,8,1,2442.96666667,2016-08-14
2154,11,0,3276.81666667,2016-08-15
1955,9,1,3178.16666667,2016-08-16
1792,9,0,2769.65,2016-08-17
1650,10,1,2496.85,2016-08-18
1648,10,1,2421.73333333,2016-08-19
1464,10,0,2286.58333333,2016-08-20
1447,12,1,2300.31666667,2016-08-21
1685,6,0,2650.75,2016-08-22
1513,12,0,2384.08333333,2016-08-23
1625,7,0,2599.1,2016-08-24
1616,16,0,2561.0,2016-08-25
1446,8,0,2385.33333333,2016-08-26
1298,16,0,2219.51666667,2016-08-27
1465,14,0,2292.55,2016-08-28
2467,18,0,3759.0,2016-08-29
1583,10,0,2749.98333333,2016-08-30
1636,13,0,2631.98333333,2016-08-31
1575,11,0,2682.88333333,2016-09-01
1950,9,0,2859.1,2016-09-02
1757,13,1,2697.16666667,2016-09-03
1935,7,2,2798.33333333,2016-09-04
2103,18,0,3333.9,2016-09-05
1802,10,0,2908.38333333,2016-09-06
1903,8,0,2968.26666667,2016-09-07
1758,17,0,2904.15,2016-09-08
1987,17,1,3170.9,2016-09-09
1752,10,0,2761.86666667,2016-09-10
1371,13,0,2149.66666667,2016-09-11
1725,16,0,2743.0,2016-09-12
1394,9,1,2221.21666667,2016-09-13
1500,12,0,2287.33333333,2016-09-14
1664,14,1,2710.11666667,2016-09-15
1286,12,0,2130.73333333,2016-09-16
1293,16,0,1961.15,2016-09-17
1125,9,0,1780.16666667,2016-09-18
1115,14,0,1927.6,2016-09-19
1123,10,1,1918.65,2016-09-20
1202,12,0,1995.68333333,2016-09-21
1168,6,1,2037.78333333,2016-09-22
1098,6,0,1955.26666667,2016-09-23
1035,6,0,1847.8,2016-09-24
1181,9,0,1850.45,2016-09-25
1014,3,1,1861.15,2016-09-26
960,6,0,1636.0,2016-09-27
952,6,0,1814.08333333,2016-09-28
1064,17,0,1600.21666667,2016-09-29
782,6,0,1310.83333333,2016-09-30
799,9,0,1336.26666667,2016-10-01
746,5,0,1328.31666667,2016-10-02
729,6,1,1230.86666667,2016-10-03
746,7,0,1179.75,2016-10-04
779,8,0,1287.3,2016-10-05
832,9,0,1349.83333333,2016-10-06
887,6,1,1330.81666667,2016-10-07
902,4,1,1423.56666667,2016-10-08
850,9,1,1288.78333333,2016-10-09
901,5,0,1370.98333333,2016-10-10
941,4,1,1505.8,2016-10-11
972,7,0,1462.28333333,2016-10-12
943,4,0,1568.65,2016-10-13
943,8,0,1515.68333333,2016-10-14
1018,5,0,1768.65,2016-10-15
1041,6,0,1569.88333333,2016-10-16
909,9,0,1379.06666667,2016-10-17
936,7,0,1377.1,2016-10-18
994,4,0,1535.2,2016-10-19
823,4,0,1408.65,2016-10-20
848,11,0,1349.75,2016-10-21
920,4,0,1325.56666667,2016-10-22
794,3,0,1180.61666667,2016-10-23
761,7,1,1093.86666667,2016-10-24
777,3,0,1225.16666667,2016-10-25
778,7,0,1233.85,2016-10-26
755,5,0,1279.51666667,2016-10-27
761,3,0,1146.88333333,2016-10-28
776,4,0,1160.56666667,2016-10-29
727,7,0,1000.4,2016-10-30
648,9,0,1081.23333333,2016-10-31
699,7,0,1159.96666667,2016-11-01
775,5,0,1269.01666667,2016-11-02
750,7,0,1196.23333333,2016-11-03
736,2,0,1042.3,2016-11-04
727,4,1,1095.85,2016-11-05
798,3,0,1122.55,2016-11-06
727,4,1,1126.05,2016-11-07
704,7,0,1024.13333333,2016-11-08
653,2,0,1131.81666667,2016-11-09
717,1,0,1214.06666667,2016-11-10
769,5,0,1233.96666667,2016-11-11
719,4,0,1097.83333333,2016-11-12
695,6,0,1104.5,2016-11-13
718,4,0,1244.35,2016-11-14
644,4,0,1031.18333333,2016-11-15
680,4,0,991.383333333,2016-11-16
615,5,0,921.683333333,2016-11-17
599,1,0,1002.83333333,2016-11-18
529,0,0,853.366666667,2016-11-19
529,4,0,808.916666667,2016-11-20
507,7,0,844.15,2016-11-21
465,3,0,755.333333333,2016-11-22
498,5,0,825.933333333,2016-11-23
436,2,0,699.2,2016-11-24
381,3,0,650.866666667,2016-11-25
435,3,0,634.5,2016-11-26
370,0,0,618.416666667,2016-11-27
397,2,0,707.4,2016-11-28
527,2,0,900.35,2016-11-29
482,2,0,775.816666667,2016-11-30
454,2,2,749.133333333,2016-12-01
456,5,0,720.166666667,2016-12-02
420,3,0,736.316666667,2016-12-03
430,1,0,637.466666667,2016-12-04
426,1,0,628.966666667,2016-12-05
389,6,0,627.083333333,2016-12-06
448,2,0,734.183333333,2016-12-07
413,3,0,615.616666667,2016-12-08
439,2,0,705.0,2016-12-09
430,5,0,645.183333333,2016-12-10
430,3,0,621.15,2016-12-11
419,2,0,647.65,2016-12-12
417,2,3,609.516666667,2016-12-13
393,2,0,575.033333333,2016-12-14
377,1,0,536.183333333,2016-12-15
382,5,0,574.7,2016-12-16
443,1,0,701.7,2016-12-17
392,2,0,590.716666667,2016-12-18
382,2,0,622.15,2016-12-19
358,3,0,583.583333333,2016-12-20
357,3,0,569.766666667,2016-12-21
315,4,0,473.416666667,2016-12-22
359,2,0,547.266666667,2016-12-23
334,2,0,475.9,2016-12-24
297,4,0,424.033333333,2016-12-25
282,1,0,437.3,2016-12-26
330,0,0,574.433333333,2016-12-27
310,3,0,459.85,2016-12-28
334,1,0,517.116666667,2016-12-29
359,0,0,599.016666667,2016-12-30
307,3,0,443.883333333,2016-12-31
265,0,0,580.216666667,2017-01-01
278,1,0,440.6,2017-01-02
282,3,0,406.2,2017-01-03
