dailyViewcount,numShare,numSubscriber,watchTime,date
642765,1102,1877,1779490.0,2013-04-25
391011,913,864,1225243.93333,2013-04-26
191057,540,591,608765.0,2013-04-27
144494,317,369,452950.216667,2013-04-28
116345,239,282,361880.566667,2013-04-29
73642,132,188,236842.283333,2013-04-30
66709,152,191,215388.866667,2013-05-01
58671,121,177,190718.683333,2013-05-02
106895,443,736,341783.433333,2013-05-03
120615,419,644,418954.45,2013-05-04
126482,394,605,426798.15,2013-05-05
114470,298,489,378231.983333,2013-05-06
95578,218,380,324367.866667,2013-05-07
74879,136,227,263240.733333,2013-05-08
75131,150,230,253136.85,2013-05-09
63792,119,180,215468.316667,2013-05-10
51802,111,157,179647.05,2013-05-11
42146,90,124,145618.433333,2013-05-12
51334,78,118,167878.416667,2013-05-13
47423,106,166,153827.1,2013-05-14
45948,109,169,156784.666667,2013-05-15
37939,89,93,130698.6,2013-05-16
34491,52,79,118346.85,2013-05-17
29561,48,74,101338.2,2013-05-18
28192,44,86,95432.55,2013-05-19
27394,59,72,93032.8333333,2013-05-20
22951,33,66,78911.65,2013-05-21
35335,62,145,119258.65,2013-05-22
37608,55,145,127499.533333,2013-05-23
30297,55,93,103301.566667,2013-05-24
25841,29,62,87744.3,2013-05-25
22740,51,62,77815.8333333,2013-05-26
21528,31,51,72711.7,2013-05-27
22685,36,60,75515.6833333,2013-05-28
22230,33,60,74948.4833333,2013-05-29
20450,39,50,69781.6666667,2013-05-30
21636,49,63,73017.85,2013-05-31
20232,34,66,68219.75,2013-06-01
19767,32,74,66851.4666667,2013-06-02
21528,37,75,73400.6,2013-06-03
19393,29,68,66449.3,2013-06-04
18917,41,64,66479.4,2013-06-05
18803,38,46,65707.6333333,2013-06-06
16992,32,30,58779.3833333,2013-06-07
15875,17,37,54155.1333333,2013-06-08
14014,23,32,49208.1833333,2013-06-09
13606,12,39,47161.25,2013-06-10
12872,23,30,44534.2666667,2013-06-11
24678,33,78,74067.0,2013-06-12
17324,15,70,57384.9833333,2013-06-13
14710,25,49,50384.7666667,2013-06-14
13021,15,32,45353.8666667,2013-06-15
