dailyViewcount,numShare,numSubscriber,watchTime,date
246694,4002,401,505885.083333,2016-12-15
295982,4098,438,547638.05,2016-12-16
238545,2550,314,504940.083333,2016-12-17
246848,2159,257,507230.983333,2016-12-18
241002,1940,254,522660.95,2016-12-19
201804,1620,192,440170.883333,2016-12-20
154244,1198,133,360291.633333,2016-12-21
132244,1102,102,309952.8,2016-12-22
123401,951,75,300103.166667,2016-12-23
108262,712,47,273216.966667,2016-12-24
96775,670,54,236654.5,2016-12-25
100415,754,65,246748.45,2016-12-26
99753,716,71,249737.533333,2016-12-27
107486,653,67,270622.566667,2016-12-28
98179,670,43,254484.916667,2016-12-29
92289,632,45,239463.783333,2016-12-30
101459,519,47,275932.666667,2016-12-31
69382,490,48,168009.583333,2017-01-01
83903,660,43,206414.066667,2017-01-02
81678,596,49,202043.8,2017-01-03
