dailyViewcount,numShare,numSubscriber,watchTime,date
146744,492,269,478893.933333,2014-12-02
188845,295,239,561608.316667,2014-12-03
103402,152,161,324158.233333,2014-12-04
36288,79,62,150166.816667,2014-12-05
31829,66,49,130468.033333,2014-12-06
81376,77,86,230030.5,2014-12-07
93445,109,101,271727.75,2014-12-08
82491,110,88,268916.55,2014-12-09
71271,73,88,246197.2,2014-12-10
42935,66,49,172622.583333,2014-12-11
45813,48,59,180005.066667,2014-12-12
43149,46,46,169253.616667,2014-12-13
37245,38,39,142884.333333,2014-12-14
35260,37,41,139628.05,2014-12-15
33796,43,31,134395.6,2014-12-16
34851,28,29,134773.116667,2014-12-17
37185,45,31,141434.6,2014-12-18
38621,55,36,148035.6,2014-12-19
39379,37,37,147365.15,2014-12-20
35620,37,37,130288.25,2014-12-21
35163,47,31,130450.966667,2014-12-22
36450,25,35,137976.933333,2014-12-23
37917,34,31,146531.716667,2014-12-24
34989,30,32,130147.1,2014-12-25
33749,34,33,125820.483333,2014-12-26
34555,29,24,128918.65,2014-12-27
32063,51,27,119317.366667,2014-12-28
33178,33,34,123448.65,2014-12-29
32376,36,29,124450.633333,2014-12-30
37038,18,20,144616.566667,2014-12-31
27714,23,16,103610.466667,2015-01-01
29921,30,36,116228.033333,2015-01-02
28984,19,21,109403.35,2015-01-03
26226,22,17,99024.0,2015-01-04
26684,25,29,100604.016667,2015-01-05
27119,42,32,102923.0,2015-01-06
25847,28,29,101744.733333,2015-01-07
26928,23,19,103958.283333,2015-01-08
30317,30,24,117150.516667,2015-01-09
30456,29,26,117192.216667,2015-01-10
26562,23,28,99499.7666667,2015-01-11
27466,19,36,105721.65,2015-01-12
28419,36,24,110491.75,2015-01-13
28110,7,4,106789.883333,2015-01-14
28599,18,16,110158.6,2015-01-15
33819,37,22,125098.55,2015-01-16
33297,25,28,123976.9,2015-01-17
27367,22,21,102220.133333,2015-01-18
26582,27,23,100160.3,2015-01-19
24820,30,12,96685.1166667,2015-01-20
24402,28,20,93470.6666667,2015-01-21
26616,22,23,101704.416667,2015-01-22
29431,37,22,113234.566667,2015-01-23
30615,46,23,116725.283333,2015-01-24
25896,48,18,97352.55,2015-01-25
26851,49,24,103786.716667,2015-01-26
28309,68,24,107046.15,2015-01-27
26994,41,15,103123.933333,2015-01-28
27759,50,21,105400.466667,2015-01-29
29680,56,25,117027.383333,2015-01-30
30943,40,31,118823.35,2015-01-31
24969,38,17,94252.1333333,2015-02-01
23321,61,23,90941.4833333,2015-02-02
24154,23,29,94319.6,2015-02-03
23548,40,25,91261.2833333,2015-02-04
23932,41,28,93792.35,2015-02-05
26354,43,19,103986.833333,2015-02-06
27685,46,28,107986.416667,2015-02-07
23097,42,29,89665.5833333,2015-02-08
22412,44,24,88681.0833333,2015-02-09
22576,37,14,87308.4,2015-02-10
22639,28,17,88354.8833333,2015-02-11
22707,33,23,88723.15,2015-02-12
25599,40,15,99845.65,2015-02-13
31066,54,23,115731.35,2015-02-14
29143,41,28,106778.666667,2015-02-15
29193,45,19,107744.483333,2015-02-16
28616,46,28,106867.9,2015-02-17
33459,58,29,122939.2,2015-02-18
51532,65,36,150358.166667,2015-02-19
59201,81,31,167322.183333,2015-02-20
53952,87,41,161758.433333,2015-02-21
43313,57,40,135097.566667,2015-02-22
39235,68,40,129494.916667,2015-02-23
36776,60,25,124456.15,2015-02-24
38800,60,34,132005.45,2015-02-25
40730,58,44,139733.7,2015-02-26
44659,63,36,156811.1,2015-02-27
45720,58,52,158986.366667,2015-02-28
41602,40,48,143917.483333,2015-03-01
41251,78,38,143485.016667,2015-03-02
44483,84,57,160808.216667,2015-03-03
48973,134,62,179954.866667,2015-03-04
45917,113,43,168347.683333,2015-03-05
47514,101,48,173680.533333,2015-03-06
48303,90,36,174281.55,2015-03-07
41668,84,38,148469.75,2015-03-08
41330,73,49,151781.183333,2015-03-09
41993,80,33,150744.1,2015-03-10
41814,91,36,152245.133333,2015-03-11
42369,74,36,156026.333333,2015-03-12
44538,80,47,165865.6,2015-03-13
45874,92,40,168497.333333,2015-03-14
39563,76,40,142252.783333,2015-03-15
39108,69,35,142501.016667,2015-03-16
39366,83,39,141181.5,2015-03-17
39181,66,37,140153.616667,2015-03-18
41579,61,36,150226.85,2015-03-19
44414,62,35,160963.416667,2015-03-20
45520,60,36,164224.8,2015-03-21
41356,94,38,144228.366667,2015-03-22
43793,76,42,153131.8,2015-03-23
41614,63,49,147670.5,2015-03-24
40039,62,37,142013.266667,2015-03-25
39513,88,31,142687.6,2015-03-26
40840,48,31,148603.183333,2015-03-27
41543,55,32,151316.283333,2015-03-28
36233,59,24,129142.683333,2015-03-29
35721,42,35,128827.216667,2015-03-30
36954,73,29,132474.533333,2015-03-31
37143,52,37,133622.016667,2015-04-01
38099,76,26,135675.333333,2015-04-02
40131,63,30,143721.383333,2015-04-03
39075,56,26,138976.333333,2015-04-04
36505,49,33,128090.016667,2015-04-05
37127,56,43,130457.166667,2015-04-06
36562,58,41,129823.766667,2015-04-07
38299,68,26,137215.3,2015-04-08
40069,74,29,143336.1,2015-04-09
39630,86,25,145788.616667,2015-04-10
40206,77,27,144758.0,2015-04-11
38378,80,28,135720.65,2015-04-12
39504,75,30,138725.533333,2015-04-13
39945,93,27,140981.466667,2015-04-14
38825,87,26,137982.55,2015-04-15
34894,76,32,126878.916667,2015-04-16
35029,64,27,129752.85,2015-04-17
35740,69,26,129391.083333,2015-04-18
30954,45,26,109499.633333,2015-04-19
31300,64,21,113162.7,2015-04-20
28823,36,27,104182.683333,2015-04-21
28523,44,25,104834.2,2015-04-22
29699,55,14,107729.55,2015-04-23
33856,44,35,123538.783333,2015-04-24
35149,55,24,126272.983333,2015-04-25
30098,46,22,108198.216667,2015-04-26
31694,50,35,115227.75,2015-04-27
29453,44,36,107347.216667,2015-04-28
30291,40,24,110081.983333,2015-04-29
31990,55,24,116223.816667,2015-04-30
34607,60,19,125248.5,2015-05-01
33525,50,16,121532.016667,2015-05-02
29608,59,25,105517.516667,2015-05-03
28824,47,24,104048.066667,2015-05-04
29011,76,22,104612.883333,2015-05-05
29248,67,24,106412.533333,2015-05-06
30066,63,22,108403.466667,2015-05-07
41841,66,36,142478.116667,2015-05-08
36946,57,35,130689.5,2015-05-09
32471,81,48,113880.166667,2015-05-10
31064,54,26,111088.8,2015-05-11
28056,70,25,102448.383333,2015-05-12
28599,82,22,103324.366667,2015-05-13
30791,79,20,108861.25,2015-05-14
31899,84,29,115944.666667,2015-05-15
31440,77,20,115678.55,2015-05-16
28712,68,26,102727.95,2015-05-17
28849,102,17,104321.2,2015-05-18
28117,73,32,102566.716667,2015-05-19
27758,66,24,101970.7,2015-05-20
27266,87,24,100279.183333,2015-05-21
29525,60,21,109751.5,2015-05-22
29887,65,29,109691.816667,2015-05-23
26496,83,28,96595.7333333,2015-05-24
25764,69,27,92690.85,2015-05-25
24314,71,21,87542.25,2015-05-26
24642,58,16,89089.7666667,2015-05-27
25389,64,22,91304.6333333,2015-05-28
22474,74,13,81798.2833333,2015-05-29
21755,72,17,79151.5,2015-05-30
19686,84,17,69881.0333333,2015-05-31
19483,67,16,71046.5833333,2015-06-01
23811,60,21,85039.3333333,2015-06-02
24045,70,26,85834.85,2015-06-03
23762,60,19,84693.8166667,2015-06-04
25953,67,25,95285.6166667,2015-06-05
26523,76,28,95286.75,2015-06-06
25320,87,18,88220.9333333,2015-06-07
26823,74,37,93701.9833333,2015-06-08
26676,73,26,92721.75,2015-06-09
27440,58,22,95156.45,2015-06-10
30590,81,29,104768.15,2015-06-11
30268,78,37,106388.716667,2015-06-12
30573,85,27,108105.283333,2015-06-13
27435,66,24,94992.5166667,2015-06-14
27206,74,30,95507.5833333,2015-06-15
26092,82,29,90433.7333333,2015-06-16
