dailyViewcount,numShare,numSubscriber,watchTime,date
5250243,84256,6218,11263553.7833,2017-01-13
4769633,57043,4455,10421892.5333,2017-01-14
3189559,37112,2402,7690892.4,2017-01-15
2735217,28127,1630,6789591.96667,2017-01-16
2582557,24718,0,6379721.86667,2017-01-17
3001927,23367,0,7522704.93333,2017-01-18
2734249,19821,0,7018147.83333,2017-01-19
2749689,18801,0,6967920.66667,2017-01-20
2866313,18362,0,7222165.91667,2017-01-21
2690641,18775,0,6947968.21667,2017-01-22
2767559,16280,0,7374232.61667,2017-01-23
2849654,16846,0,7492187.55,2017-01-24
2875273,16113,0,7553932.18333,2017-01-25
2795222,15553,0,7320226.58333,2017-01-26
2852736,15687,0,7348001.5,2017-01-27
2994191,15291,958,7715174.41667,2017-01-28
2865185,15367,839,7502432.13333,2017-01-29
2975817,14527,957,8015669.53333,2017-01-30
3124131,15046,971,8321330.93333,2017-01-31
3100775,14930,950,8318983.65,2017-02-01
3020578,14133,934,8126848.51667,2017-02-02
3125743,15024,937,8294280.56667,2017-02-03
3476747,15705,917,9159871.11667,2017-02-04
3224424,15615,907,8611830.83333,2017-02-05
3255471,13971,887,8935191.26667,2017-02-06
3325807,13616,852,9189019.63333,2017-02-07
3433577,13384,854,9458762.73333,2017-02-08
3528564,13651,839,9657439.95,2017-02-09
3618470,13289,883,9786628.55,2017-02-10
3532866,13763,834,9557165.83333,2017-02-11
3188454,13833,766,8748993.88333,2017-02-12
3197528,11838,777,8987659.65,2017-02-13
3234729,11266,710,9099458.63333,2017-02-14
3224128,11975,717,9026174.26667,2017-02-15
3335967,12960,772,9274541.18333,2017-02-16
3377765,12599,746,9236019.28333,2017-02-17
3391748,12595,727,9228164.45,2017-02-18
3081278,12456,683,8506876.08333,2017-02-19
3075862,10396,651,8755532.26667,2017-02-20
3014250,10497,680,8531151.5,2017-02-21
4291297,15192,1383,10748511.05,2017-02-22
2885835,10561,567,8232902.66667,2017-02-23
2940172,10961,593,8272412.18333,2017-02-24
2960302,11062,607,8251125.26667,2017-02-25
2670498,10873,542,7561634.11667,2017-02-26
2733966,9157,513,7862611.53333,2017-02-27
2791173,8950,537,8026838.2,2017-02-28
2721409,9003,491,7804181.3,2017-03-01
2707708,9137,504,7799245.68333,2017-03-02
2765837,9415,531,7893900.18333,2017-03-03
2949412,10027,531,8320778.21667,2017-03-04
2635492,10242,515,7526745.38333,2017-03-05
2558274,8518,459,7432400.18333,2017-03-06
1902457,7281,354,5521219.8,2017-03-07
703478,5538,156,2025665.25,2017-03-08
657948,5509,163,1894683.16667,2017-03-09
710786,6005,189,1991994.65,2017-03-10
786107,6389,180,2169770.63333,2017-03-11
596001,6081,144,1652005.85,2017-03-12
508740,4855,108,1454467.1,2017-03-13
959392,5329,162,2787580.28333,2017-03-14
1669669,6441,298,4843742.91667,2017-03-15
1540400,6143,288,4475639.45,2017-03-16
1571849,6369,281,4506661.56667,2017-03-17
1716270,7636,350,4759662.75,2017-03-18
2019808,8203,350,5720548.85,2017-03-19
2018858,6694,344,5844933.31667,2017-03-20
1950166,6414,347,5666013.88333,2017-03-21
1756590,6061,248,5148976.85,2017-03-22
1669877,6115,285,4879852.36667,2017-03-23
1718258,6278,323,4966313.53333,2017-03-24
1767811,7164,335,5054435.71667,2017-03-25
1605716,7291,337,4654104.21667,2017-03-26
1582513,6342,325,4642307.23333,2017-03-27
1559464,6080,321,4573919.16667,2017-03-28
1581529,5831,312,4640674.96667,2017-03-29
1519755,5809,262,4448763.38333,2017-03-30
1521521,5987,267,4354307.51667,2017-03-31
1568062,6595,292,4401578.68333,2017-04-01
1450667,6670,253,4107228.71667,2017-04-02
1390252,5518,245,4032752.96667,2017-04-03
1403636,5304,257,4059795.05,2017-04-04
1307232,5179,263,3768679.7,2017-04-05
1304661,5544,206,3645628.7,2017-04-06
1359386,6404,245,3711511.76667,2017-04-07
1363430,6155,217,3732352.85,2017-04-08
1147658,6121,204,3195531.98333,2017-04-09
1142586,5454,206,3255326.11667,2017-04-10
1090172,5396,174,3092811.0,2017-04-11
1110451,5665,180,3076588.55,2017-04-12
1091604,5791,166,2987413.35,2017-04-13
1054578,5393,181,2861291.08333,2017-04-14
1053750,5173,167,2849170.91667,2017-04-15
946685,4816,161,2540560.71667,2017-04-16
989020,5156,173,2654625.35,2017-04-17
1082703,4853,198,2973122.5,2017-04-18
1003932,4548,156,2790572.68333,2017-04-19
943389,4586,192,2607985.68333,2017-04-20
980163,4583,173,2691366.1,2017-04-21
985259,4789,206,2718222.9,2017-04-22
872259,4661,164,2414527.8,2017-04-23
779448,3959,156,2212242.21667,2017-04-24
843430,4223,139,2385347.55,2017-04-25
785662,3996,141,2213949.8,2017-04-26
817317,4038,144,2291521.38333,2017-04-27
916840,4349,171,2532421.75,2017-04-28
934106,4665,153,2537756.11667,2017-04-29
829266,4156,160,2261297.45,2017-04-30
833017,4272,165,2313672.41667,2017-05-01
780464,3499,153,2197214.8,2017-05-02
756114,3399,111,2136685.0,2017-05-03
723920,3499,117,2041725.13333,2017-05-04
753337,3519,136,2100160.05,2017-05-05
759383,3714,130,2098334.43333,2017-05-06
696085,3684,138,1948816.75,2017-05-07
654471,3134,115,1863042.96667,2017-05-08
646788,3010,105,1833021.46667,2017-05-09
681022,3106,130,1923068.33333,2017-05-10
672471,3296,111,1890292.95,2017-05-11
634471,3130,135,1747380.9,2017-05-12
645970,3223,122,1748026.78333,2017-05-13
584479,3303,111,1582007.85,2017-05-14
555075,2915,105,1558057.78333,2017-05-15
537939,2662,97,1515580.16667,2017-05-16
536299,2710,92,1507117.48333,2017-05-17
537198,2975,105,1503468.58333,2017-05-18
577452,2965,93,1597329.73333,2017-05-19
600421,3254,106,1629234.21667,2017-05-20
512592,3317,114,1398388.05,2017-05-21
526657,2803,93,1471421.08333,2017-05-22
