dailyViewcount,numShare,numSubscriber,watchTime,date
1017933,8571,3905,3642435.21667,2013-10-25
612447,2046,1558,2377140.21667,2013-10-26
429877,1102,994,1684539.95,2013-10-27
289950,689,658,1147133.73333,2013-10-28
303489,562,623,1185180.36667,2013-10-29
314286,529,886,1173735.98333,2013-10-30
291012,444,757,1095959.8,2013-10-31
344274,505,1045,1260383.53333,2013-11-01
451416,629,1380,1559729.5,2013-11-02
480753,517,1542,1603681.55,2013-11-03
379705,452,1197,1287952.46667,2013-11-04
396137,457,1058,1365121.63333,2013-11-05
392308,387,968,1377181.75,2013-11-06
382376,345,814,1326921.01667,2013-11-07
443994,409,879,1393294.1,2013-11-08
515153,420,1068,1606850.73333,2013-11-09
437740,298,854,1357078.76667,2013-11-10
370687,306,635,1203127.25,2013-11-11
338857,275,598,1138610.46667,2013-11-12
347047,287,619,1154514.86667,2013-11-13
360190,478,547,1181741.56667,2013-11-14
408533,920,762,1301116.51667,2013-11-15
479125,937,846,1545752.45,2013-11-16
416919,756,735,1339831.0,2013-11-17
359027,669,608,1141921.95,2013-11-18
388860,816,708,1220823.11667,2013-11-19
372319,767,666,1179933.03333,2013-11-20
360184,698,618,1143849.15,2013-11-21
374545,734,591,1156084.51667,2013-11-22
404504,721,754,1225636.26667,2013-11-23
344359,618,487,1082336.83333,2013-11-24
270405,483,394,855583.65,2013-11-25
278487,526,373,879277.7,2013-11-26
295835,493,412,932063.5,2013-11-27
314609,575,453,968216.75,2013-11-28
392066,810,616,1163996.5,2013-11-29
392885,736,568,1197901.05,2013-11-30
276377,515,358,872469.633333,2013-12-01
243772,450,313,776114.6,2013-12-02
249791,511,275,788838.05,2013-12-03
232472,461,341,743026.233333,2013-12-04
248561,478,340,786243.15,2013-12-05
291345,617,480,914079.366667,2013-12-06
343722,679,544,1068841.4,2013-12-07
326636,610,500,998917.316667,2013-12-08
284065,587,443,877779.766667,2013-12-09
308566,584,491,946328.716667,2013-12-10
304657,664,439,936820.4,2013-12-11
307138,606,441,946313.5,2013-12-12
341855,730,491,1030520.45,2013-12-13
369872,764,566,1116633.3,2013-12-14
318456,576,478,967427.833333,2013-12-15
281901,563,466,860732.75,2013-12-16
290263,614,464,878880.233333,2013-12-17
348058,715,602,1037997.21667,2013-12-18
461728,796,706,1330575.1,2013-12-19
406331,744,539,1190545.38333,2013-12-20
339206,636,438,1022553.86667,2013-12-21
313296,535,401,935299.416667,2013-12-22
307199,514,391,928446.533333,2013-12-23
272422,401,290,810027.916667,2013-12-24
