dailyViewcount,numShare,numSubscriber,watchTime,date
47832,559,45,104398.55,2012-11-21
96767,803,98,240955.033333,2012-11-22
176860,1069,217,400673.283333,2012-11-23
206592,1082,223,473934.2,2012-11-24
203078,1109,200,482113.616667,2012-11-25
198052,1073,201,488932.316667,2012-11-26
216023,1167,199,528480.433333,2012-11-27
211401,1223,208,526247.366667,2012-11-28
269695,1305,240,642880.316667,2012-11-29
101184,539,59,303635.433333,2012-11-30
89316,534,45,269325.716667,2012-12-01
83198,492,41,248493.133333,2012-12-02
76913,443,43,241206.316667,2012-12-03
72158,472,31,221214.3,2012-12-04
71026,395,43,220011.9,2012-12-05
67034,402,40,209530.616667,2012-12-06
66109,385,75,207140.9,2012-12-07
68505,326,50,209172.833333,2012-12-08
73697,442,56,222325.766667,2012-12-09
74223,486,76,235308.7,2012-12-10
78166,513,69,261038.416667,2012-12-11
78468,522,78,275260.033333,2012-12-12
84497,560,76,291853.783333,2012-12-13
84383,494,54,285093.55,2012-12-14
92091,455,65,306236.033333,2012-12-15
83696,516,45,279057.6,2012-12-16
83105,543,63,288059.716667,2012-12-17
83758,576,49,293597.7,2012-12-18
85532,523,63,291106.816667,2012-12-19
88645,545,41,296766.416667,2012-12-20
98116,496,78,320040.683333,2012-12-21
100325,548,62,320666.233333,2012-12-22
93672,469,59,303441.016667,2012-12-23
102077,447,46,329511.566667,2012-12-24
111327,361,67,331729.8,2012-12-25
101179,533,60,317469.716667,2012-12-26
99446,481,61,323550.45,2012-12-27
99501,554,76,326028.45,2012-12-28
98748,430,54,320366.416667,2012-12-29
91136,460,43,291233.6,2012-12-30
100479,379,54,323661.666667,2012-12-31
77929,371,38,256261.816667,2013-01-01
89779,488,39,298468.416667,2013-01-02
89490,500,53,298757.616667,2013-01-03
95855,465,68,320235.466667,2013-01-04
101686,518,53,332473.216667,2013-01-05
93989,441,50,306975.2,2013-01-06
83814,477,53,289007.5,2013-01-07
86282,490,57,290419.833333,2013-01-08
87092,493,36,294303.533333,2013-01-09
92259,535,54,314519.5,2013-01-10
97747,455,61,327558.566667,2013-01-11
117185,522,55,363341.583333,2013-01-12
102984,398,34,321952.083333,2013-01-13
86455,494,60,293680.333333,2013-01-14
87945,505,53,302726.3,2013-01-15
